Web Search interest: abt
Worldwide 2004 - present

Interest over time
Week,abt
2004-01-04 - 2004-01-10,91
2004-01-11 - 2004-01-17,88
2004-01-18 - 2004-01-24,88
2004-01-25 - 2004-01-31,90
2004-02-01 - 2004-02-07,84
2004-02-08 - 2004-02-14,91
2004-02-15 - 2004-02-21,89
2004-02-22 - 2004-02-28,99
2004-02-29 - 2004-03-06,90
2004-03-07 - 2004-03-13,92
2004-03-14 - 2004-03-20,87
2004-03-21 - 2004-03-27,72
2004-03-28 - 2004-04-03,92
2004-04-04 - 2004-04-10,97
2004-04-11 - 2004-04-17,87
2004-04-18 - 2004-04-24,92
2004-04-25 - 2004-05-01,94
2004-05-02 - 2004-05-08,79
2004-05-09 - 2004-05-15,91
2004-05-16 - 2004-05-22,91
2004-05-23 - 2004-05-29,90
2004-05-30 - 2004-06-05,90
2004-06-06 - 2004-06-12,87
2004-06-13 - 2004-06-19,99
2004-06-20 - 2004-06-26,97
2004-06-27 - 2004-07-03,93
2004-07-04 - 2004-07-10,90
2004-07-11 - 2004-07-17,94
2004-07-18 - 2004-07-24,86
2004-07-25 - 2004-07-31,88
2004-08-01 - 2004-08-07,98
2004-08-08 - 2004-08-14,86
2004-08-15 - 2004-08-21,93
2004-08-22 - 2004-08-28,76
2004-08-29 - 2004-09-04,78
2004-09-05 - 2004-09-11,80
2004-09-12 - 2004-09-18,77
2004-09-19 - 2004-09-25,85
2004-09-26 - 2004-10-02,83
2004-10-03 - 2004-10-09,81
2004-10-10 - 2004-10-16,79
2004-10-17 - 2004-10-23,90
2004-10-24 - 2004-10-30,84
2004-10-31 - 2004-11-06,83
2004-11-07 - 2004-11-13,87
2004-11-14 - 2004-11-20,87
2004-11-21 - 2004-11-27,100
2004-11-28 - 2004-12-04,95
2004-12-05 - 2004-12-11,89
2004-12-12 - 2004-12-18,89
2004-12-19 - 2004-12-25,91
2004-12-26 - 2005-01-01,99
2005-01-02 - 2005-01-08,85
2005-01-09 - 2005-01-15,84
2005-01-16 - 2005-01-22,88
2005-01-23 - 2005-01-29,79
2005-01-30 - 2005-02-05,89
2005-02-06 - 2005-02-12,80
2005-02-13 - 2005-02-19,80
2005-02-20 - 2005-02-26,81
2005-02-27 - 2005-03-05,81
2005-03-06 - 2005-03-12,80
2005-03-13 - 2005-03-19,88
2005-03-20 - 2005-03-26,82
2005-03-27 - 2005-04-02,82
2005-04-03 - 2005-04-09,74
2005-04-10 - 2005-04-16,78
2005-04-17 - 2005-04-23,82
2005-04-24 - 2005-04-30,82
2005-05-01 - 2005-05-07,83
2005-05-08 - 2005-05-14,77
2005-05-15 - 2005-05-21,81
2005-05-22 - 2005-05-28,78
2005-05-29 - 2005-06-04,75
2005-06-05 - 2005-06-11,79
2005-06-12 - 2005-06-18,82
2005-06-19 - 2005-06-25,85
2005-06-26 - 2005-07-02,79
2005-07-03 - 2005-07-09,87
2005-07-10 - 2005-07-16,91
2005-07-17 - 2005-07-23,88
2005-07-24 - 2005-07-30,84
2005-07-31 - 2005-08-06,76
2005-08-07 - 2005-08-13,93
2005-08-14 - 2005-08-20,86
2005-08-21 - 2005-08-27,82
2005-08-28 - 2005-09-03,78
2005-09-04 - 2005-09-10,74
2005-09-11 - 2005-09-17,74
2005-09-18 - 2005-09-24,82
2005-09-25 - 2005-10-01,78
2005-10-02 - 2005-10-08,78
2005-10-09 - 2005-10-15,76
2005-10-16 - 2005-10-22,87
2005-10-23 - 2005-10-29,84
2005-10-30 - 2005-11-05,75
2005-11-06 - 2005-11-12,79
2005-11-13 - 2005-11-19,78
2005-11-20 - 2005-11-26,89
2005-11-27 - 2005-12-03,83
2005-12-04 - 2005-12-10,80
2005-12-11 - 2005-12-17,79
2005-12-18 - 2005-12-24,83
2005-12-25 - 2005-12-31,82
2006-01-01 - 2006-01-07,78
2006-01-08 - 2006-01-14,78
2006-01-15 - 2006-01-21,76
2006-01-22 - 2006-01-28,82
2006-01-29 - 2006-02-04,79
2006-02-05 - 2006-02-11,82
2006-02-12 - 2006-02-18,78
2006-02-19 - 2006-02-25,87
2006-02-26 - 2006-03-04,79
2006-03-05 - 2006-03-11,85
2006-03-12 - 2006-03-18,84
2006-03-19 - 2006-03-25,76
2006-03-26 - 2006-04-01,80
2006-04-02 - 2006-04-08,82
2006-04-09 - 2006-04-15,86
2006-04-16 - 2006-04-22,78
2006-04-23 - 2006-04-29,78
2006-04-30 - 2006-05-06,81
2006-05-07 - 2006-05-13,75
2006-05-14 - 2006-05-20,72
2006-05-21 - 2006-05-27,76
2006-05-28 - 2006-06-03,76
2006-06-04 - 2006-06-10,69
2006-06-11 - 2006-06-17,71
2006-06-18 - 2006-06-24,73
2006-06-25 - 2006-07-01,72
2006-07-02 - 2006-07-08,75
2006-07-09 - 2006-07-15,78
2006-07-16 - 2006-07-22,76
2006-07-23 - 2006-07-29,77
2006-07-30 - 2006-08-05,79
2006-08-06 - 2006-08-12,85
2006-08-13 - 2006-08-19,75
2006-08-20 - 2006-08-26,80
2006-08-27 - 2006-09-02,70
2006-09-03 - 2006-09-09,76
2006-09-10 - 2006-09-16,73
2006-09-17 - 2006-09-23,74
2006-09-24 - 2006-09-30,76
2006-10-01 - 2006-10-07,77
2006-10-08 - 2006-10-14,77
2006-10-15 - 2006-10-21,72
2006-10-22 - 2006-10-28,75
2006-10-29 - 2006-11-04,72
2006-11-05 - 2006-11-11,75
2006-11-12 - 2006-11-18,70
2006-11-19 - 2006-11-25,77
2006-11-26 - 2006-12-02,77
2006-12-03 - 2006-12-09,84
2006-12-10 - 2006-12-16,86
2006-12-17 - 2006-12-23,80
2006-12-24 - 2006-12-30,82
2006-12-31 - 2007-01-06,76
2007-01-07 - 2007-01-13,77
2007-01-14 - 2007-01-20,73
2007-01-21 - 2007-01-27,75
2007-01-28 - 2007-02-03,82
2007-02-04 - 2007-02-10,76
2007-02-11 - 2007-02-17,74
2007-02-18 - 2007-02-24,76
2007-02-25 - 2007-03-03,77
2007-03-04 - 2007-03-10,73
2007-03-11 - 2007-03-17,69
2007-03-18 - 2007-03-24,67
2007-03-25 - 2007-03-31,72
2007-04-01 - 2007-04-07,79
2007-04-08 - 2007-04-14,79
2007-04-15 - 2007-04-21,84
2007-04-22 - 2007-04-28,81
2007-04-29 - 2007-05-05,76
2007-05-06 - 2007-05-12,78
2007-05-13 - 2007-05-19,80
2007-05-20 - 2007-05-26,79
2007-05-27 - 2007-06-02,77
2007-06-03 - 2007-06-09,73
2007-06-10 - 2007-06-16,77
2007-06-17 - 2007-06-23,74
2007-06-24 - 2007-06-30,70
2007-07-01 - 2007-07-07,74
2007-07-08 - 2007-07-14,79
2007-07-15 - 2007-07-21,74
2007-07-22 - 2007-07-28,70
2007-07-29 - 2007-08-04,65
2007-08-05 - 2007-08-11,71
2007-08-12 - 2007-08-18,75
2007-08-19 - 2007-08-25,71
2007-08-26 - 2007-09-01,74
2007-09-02 - 2007-09-08,66
2007-09-09 - 2007-09-15,69
2007-09-16 - 2007-09-22,66
2007-09-23 - 2007-09-29,67
2007-09-30 - 2007-10-06,65
2007-10-07 - 2007-10-13,69
2007-10-14 - 2007-10-20,69
2007-10-21 - 2007-10-27,66
2007-10-28 - 2007-11-03,68
2007-11-04 - 2007-11-10,70
2007-11-11 - 2007-11-17,65
2007-11-18 - 2007-11-24,77
2007-11-25 - 2007-12-01,78
2007-12-02 - 2007-12-08,74
2007-12-09 - 2007-12-15,72
2007-12-16 - 2007-12-22,75
2007-12-23 - 2007-12-29,75
2007-12-30 - 2008-01-05,72
2008-01-06 - 2008-01-12,70
2008-01-13 - 2008-01-19,72
2008-01-20 - 2008-01-26,70
2008-01-27 - 2008-02-02,69
2008-02-03 - 2008-02-09,78
2008-02-10 - 2008-02-16,75
2008-02-17 - 2008-02-23,70
2008-02-24 - 2008-03-01,70
2008-03-02 - 2008-03-08,68
2008-03-09 - 2008-03-15,70
2008-03-16 - 2008-03-22,68
2008-03-23 - 2008-03-29,69
2008-03-30 - 2008-04-05,70
2008-04-06 - 2008-04-12,71
2008-04-13 - 2008-04-19,71
2008-04-20 - 2008-04-26,75
2008-04-27 - 2008-05-03,73
2008-05-04 - 2008-05-10,71
2008-05-11 - 2008-05-17,66
2008-05-18 - 2008-05-24,69
2008-05-25 - 2008-05-31,67
2008-06-01 - 2008-06-07,67
2008-06-08 - 2008-06-14,65
2008-06-15 - 2008-06-21,67
2008-06-22 - 2008-06-28,66
2008-06-29 - 2008-07-05,67
2008-07-06 - 2008-07-12,71
2008-07-13 - 2008-07-19,69
2008-07-20 - 2008-07-26,68
2008-07-27 - 2008-08-02,62
2008-08-03 - 2008-08-09,67
2008-08-10 - 2008-08-16,66
2008-08-17 - 2008-08-23,66
2008-08-24 - 2008-08-30,67
2008-08-31 - 2008-09-06,67
2008-09-07 - 2008-09-13,68
2008-09-14 - 2008-09-20,66
2008-09-21 - 2008-09-27,70
2008-09-28 - 2008-10-04,66
2008-10-05 - 2008-10-11,64
2008-10-12 - 2008-10-18,68
2008-10-19 - 2008-10-25,67
2008-10-26 - 2008-11-01,64
2008-11-02 - 2008-11-08,64
2008-11-09 - 2008-11-15,63
2008-11-16 - 2008-11-22,65
2008-11-23 - 2008-11-29,75
2008-11-30 - 2008-12-06,73
2008-12-07 - 2008-12-13,63
2008-12-14 - 2008-12-20,68
2008-12-21 - 2008-12-27,71
2008-12-28 - 2009-01-03,69
2009-01-04 - 2009-01-10,68
2009-01-11 - 2009-01-17,69
2009-01-18 - 2009-01-24,68
2009-01-25 - 2009-01-31,75
2009-02-01 - 2009-02-07,69
2009-02-08 - 2009-02-14,67
2009-02-15 - 2009-02-21,68
2009-02-22 - 2009-02-28,67
2009-03-01 - 2009-03-07,69
2009-03-08 - 2009-03-14,67
2009-03-15 - 2009-03-21,68
2009-03-22 - 2009-03-28,71
2009-03-29 - 2009-04-04,65
2009-04-05 - 2009-04-11,71
2009-04-12 - 2009-04-18,66
2009-04-19 - 2009-04-25,69
2009-04-26 - 2009-05-02,70
2009-05-03 - 2009-05-09,66
2009-05-10 - 2009-05-16,68
2009-05-17 - 2009-05-23,68
2009-05-24 - 2009-05-30,65
2009-05-31 - 2009-06-06,63
2009-06-07 - 2009-06-13,67
2009-06-14 - 2009-06-20,68
2009-06-21 - 2009-06-27,69
2009-06-28 - 2009-07-04,68
2009-07-05 - 2009-07-11,70
2009-07-12 - 2009-07-18,69
2009-07-19 - 2009-07-25,67
2009-07-26 - 2009-08-01,65
2009-08-02 - 2009-08-08,65
2009-08-09 - 2009-08-15,68
2009-08-16 - 2009-08-22,72
2009-08-23 - 2009-08-29,68
2009-08-30 - 2009-09-05,69
2009-09-06 - 2009-09-12,65
2009-09-13 - 2009-09-19,69
2009-09-20 - 2009-09-26,66
2009-09-27 - 2009-10-03,66
2009-10-04 - 2009-10-10,67
2009-10-11 - 2009-10-17,69
2009-10-18 - 2009-10-24,66
2009-10-25 - 2009-10-31,66
2009-11-01 - 2009-11-07,64
2009-11-08 - 2009-11-14,63
2009-11-15 - 2009-11-21,64
2009-11-22 - 2009-11-28,69
2009-11-29 - 2009-12-05,64
2009-12-06 - 2009-12-12,64
2009-12-13 - 2009-12-19,63
2009-12-20 - 2009-12-26,68
2009-12-27 - 2010-01-02,65
2010-01-03 - 2010-01-09,63
2010-01-10 - 2010-01-16,63
2010-01-17 - 2010-01-23,60
2010-01-24 - 2010-01-30,59
2010-01-31 - 2010-02-06,60
2010-02-07 - 2010-02-13,62
2010-02-14 - 2010-02-20,62
2010-02-21 - 2010-02-27,61
2010-02-28 - 2010-03-06,64
2010-03-07 - 2010-03-13,65
2010-03-14 - 2010-03-20,64
2010-03-21 - 2010-03-27,62
2010-03-28 - 2010-04-03,65
2010-04-04 - 2010-04-10,61
2010-04-11 - 2010-04-17,70
2010-04-18 - 2010-04-24,64
2010-04-25 - 2010-05-01,67
2010-05-02 - 2010-05-08,65
2010-05-09 - 2010-05-15,65
2010-05-16 - 2010-05-22,68
2010-05-23 - 2010-05-29,67
2010-05-30 - 2010-06-05,64
2010-06-06 - 2010-06-12,62
2010-06-13 - 2010-06-19,61
2010-06-20 - 2010-06-26,63
2010-06-27 - 2010-07-03,62
2010-07-04 - 2010-07-10,70
2010-07-11 - 2010-07-17,62
2010-07-18 - 2010-07-24,60
2010-07-25 - 2010-07-31,63
2010-08-01 - 2010-08-07,64
2010-08-08 - 2010-08-14,65
2010-08-15 - 2010-08-21,66
2010-08-22 - 2010-08-28,63
2010-08-29 - 2010-09-04,65
2010-09-05 - 2010-09-11,65
2010-09-12 - 2010-09-18,60
2010-09-19 - 2010-09-25,64
2010-09-26 - 2010-10-02,63
2010-10-03 - 2010-10-09,70
2010-10-10 - 2010-10-16,61
2010-10-17 - 2010-10-23,60
2010-10-24 - 2010-10-30,61
2010-10-31 - 2010-11-06,62
2010-11-07 - 2010-11-13,59
2010-11-14 - 2010-11-20,63
2010-11-21 - 2010-11-27,65
2010-11-28 - 2010-12-04,63
2010-12-05 - 2010-12-11,62
2010-12-12 - 2010-12-18,65
2010-12-19 - 2010-12-25,68
2010-12-26 - 2011-01-01,65
2011-01-02 - 2011-01-08,63
2011-01-09 - 2011-01-15,63
2011-01-16 - 2011-01-22,60
2011-01-23 - 2011-01-29,61
2011-01-30 - 2011-02-05,57
2011-02-06 - 2011-02-12,61
2011-02-13 - 2011-02-19,61
2011-02-20 - 2011-02-26,58
2011-02-27 - 2011-03-05,61
2011-03-06 - 2011-03-12,58
2011-03-13 - 2011-03-19,57
2011-03-20 - 2011-03-26,60
2011-03-27 - 2011-04-02,58
2011-04-03 - 2011-04-09,59
2011-04-10 - 2011-04-16,63
2011-04-17 - 2011-04-23,63
2011-04-24 - 2011-04-30,57
2011-05-01 - 2011-05-07,60
2011-05-08 - 2011-05-14,65
2011-05-15 - 2011-05-21,64
2011-05-22 - 2011-05-28,63
2011-05-29 - 2011-06-04,64
2011-06-05 - 2011-06-11,65
2011-06-12 - 2011-06-18,60
2011-06-19 - 2011-06-25,63
2011-06-26 - 2011-07-02,59
2011-07-03 - 2011-07-09,62
2011-07-10 - 2011-07-16,60
2011-07-17 - 2011-07-23,61
2011-07-24 - 2011-07-30,59
2011-07-31 - 2011-08-06,60
2011-08-07 - 2011-08-13,61
2011-08-14 - 2011-08-20,60
2011-08-21 - 2011-08-27,60
2011-08-28 - 2011-09-03,61
2011-09-04 - 2011-09-10,60
2011-09-11 - 2011-09-17,59
2011-09-18 - 2011-09-24,58
2011-09-25 - 2011-10-01,58
2011-10-02 - 2011-10-08,57
2011-10-09 - 2011-10-15,55
2011-10-16 - 2011-10-22,54
2011-10-23 - 2011-10-29,55
2011-10-30 - 2011-11-05,57
2011-11-06 - 2011-11-12,57
2011-11-13 - 2011-11-19,56
2011-11-20 - 2011-11-26,62
2011-11-27 - 2011-12-03,61
2011-12-04 - 2011-12-10,56
2011-12-11 - 2011-12-17,58
2011-12-18 - 2011-12-24,58
2011-12-25 - 2011-12-31,61
2012-01-01 - 2012-01-07,62
2012-01-08 - 2012-01-14,57
2012-01-15 - 2012-01-21,58
2012-01-22 - 2012-01-28,59
2012-01-29 - 2012-02-04,58
2012-02-05 - 2012-02-11,57
2012-02-12 - 2012-02-18,55
2012-02-19 - 2012-02-25,55
2012-02-26 - 2012-03-03,55
2012-03-04 - 2012-03-10,55
2012-03-11 - 2012-03-17,54
2012-03-18 - 2012-03-24,55
2012-03-25 - 2012-03-31,53
2012-04-01 - 2012-04-07,55
2012-04-08 - 2012-04-14,53
2012-04-15 - 2012-04-21,54
2012-04-22 - 2012-04-28,52
2012-04-29 - 2012-05-05,52
2012-05-06 - 2012-05-12,55
2012-05-13 - 2012-05-19,53
2012-05-20 - 2012-05-26,56
2012-05-27 - 2012-06-02,57
2012-06-03 - 2012-06-09,56
2012-06-10 - 2012-06-16,54
2012-06-17 - 2012-06-23,56
2012-06-24 - 2012-06-30,55
2012-07-01 - 2012-07-07,57
2012-07-08 - 2012-07-14,54
2012-07-15 - 2012-07-21,53
2012-07-22 - 2012-07-28,52
2012-07-29 - 2012-08-04,50
2012-08-05 - 2012-08-11,49
2012-08-12 - 2012-08-18,52
2012-08-19 - 2012-08-25,51
2012-08-26 - 2012-09-01,52
2012-09-02 - 2012-09-08,53
2012-09-09 - 2012-09-15,51
2012-09-16 - 2012-09-22,50
2012-09-23 - 2012-09-29,49
2012-09-30 - 2012-10-06,48
2012-10-07 - 2012-10-13,48
2012-10-14 - 2012-10-20,50
2012-10-21 - 2012-10-27,48
2012-10-28 - 2012-11-03,47
2012-11-04 - 2012-11-10,50
2012-11-11 - 2012-11-17,48
2012-11-18 - 2012-11-24,54
2012-11-25 - 2012-12-01,51
2012-12-02 - 2012-12-08,48
2012-12-09 - 2012-12-15,51
2012-12-16 - 2012-12-22,53
2012-12-23 - 2012-12-29,51
2012-12-30 - 2013-01-05,53
2013-01-06 - 2013-01-12,49
2013-01-13 - 2013-01-19,49
2013-01-20 - 2013-01-26,62
2013-01-27 - 2013-02-02,54
2013-02-03 - 2013-02-09,49
2013-02-10 - 2013-02-16,48
2013-02-17 - 2013-02-23,49
2013-02-24 - 2013-03-02,47
2013-03-03 - 2013-03-09,50
2013-03-10 - 2013-03-16,48
2013-03-17 - 2013-03-23,50
2013-03-24 - 2013-03-30,49
2013-03-31 - 2013-04-06,48
2013-04-07 - 2013-04-13,48
2013-04-14 - 2013-04-20,47
2013-04-21 - 2013-04-27,48
2013-04-28 - 2013-05-04,48
2013-05-05 - 2013-05-11,51
2013-05-12 - 2013-05-18,51
2013-05-19 - 2013-05-25,50
2013-05-26 - 2013-06-01,53
2013-06-02 - 2013-06-08,49
2013-06-09 - 2013-06-15,49
2013-06-16 - 2013-06-22,49
2013-06-23 - 2013-06-29,50
2013-06-30 - 2013-07-06,50
2013-07-07 - 2013-07-13,50
2013-07-14 - 2013-07-20,50
2013-07-21 - 2013-07-27,47
2013-07-28 - 2013-08-03,47
2013-08-04 - 2013-08-10,48
2013-08-11 - 2013-08-17,45
2013-08-18 - 2013-08-24,47
2013-08-25 - 2013-08-31,46
2013-09-01 - 2013-09-07,50
2013-09-08 - 2013-09-14,47
2013-09-15 - 2013-09-21,46
2013-09-22 - 2013-09-28,44
2013-09-29 - 2013-10-05,47
2013-10-06 - 2013-10-12,46
2013-10-13 - 2013-10-19,45
2013-10-20 - 2013-10-26,47
2013-10-27 - 2013-11-02,47
2013-11-03 - 2013-11-09,47
2013-11-10 - 2013-11-16,49
2013-11-17 - 2013-11-23,48
2013-11-24 - 2013-11-30,54
2013-12-01 - 2013-12-07,50
2013-12-08 - 2013-12-14,48
2013-12-15 - 2013-12-21,47
2013-12-22 - 2013-12-28,47
2013-12-29 - 2014-01-04,45
2014-01-05 - 2014-01-11,48
2014-01-12 - 2014-01-18,48
2014-01-19 - 2014-01-25,49
2014-01-26 - 2014-02-01,49
2014-02-02 - 2014-02-08,48
2014-02-09 - 2014-02-15,47
2014-02-16 - 2014-02-22,46
2014-02-23 - 2014-03-01,47
2014-03-02 - 2014-03-08,48
2014-03-09 - 2014-03-15,49
2014-03-16 - 2014-03-22,48
2014-03-23 - 2014-03-29,48
2014-03-30 - 2014-04-05,46
2014-04-06 - 2014-04-12,49
2014-04-13 - 2014-04-19,48
2014-04-20 - 2014-04-26,47
2014-04-27 - 2014-05-03,48
2014-05-04 - 2014-05-10,50
2014-05-11 - 2014-05-17,52
2014-05-18 - 2014-05-24,52
2014-05-25 - 2014-05-31,52
2014-06-01 - 2014-06-07,52
2014-06-08 - 2014-06-14,49
2014-06-15 - 2014-06-21,48
2014-06-22 - 2014-06-28,48
2014-06-29 - 2014-07-05,49
2014-07-06 - 2014-07-12,52
2014-07-13 - 2014-07-19,47
2014-07-20 - 2014-07-26,49
2014-07-27 - 2014-08-02,48
2014-08-03 - 2014-08-09,52
2014-08-10 - 2014-08-16,50
2014-08-17 - 2014-08-23,50
2014-08-24 - 2014-08-30,52
2014-08-31 - 2014-09-06,49
2014-09-07 - 2014-09-13,49
2014-09-14 - 2014-09-20,49
2014-09-21 - 2014-09-27,48
2014-09-28 - 2014-10-04,50
2014-10-05 - 2014-10-11,47
2014-10-12 - 2014-10-18,49
2014-10-19 - 2014-10-25,48
2014-10-26 - 2014-11-01,49
2014-11-02 - 2014-11-08,48
2014-11-09 - 2014-11-15,48
2014-11-16 - 2014-11-22,51
2014-11-23 - 2014-11-29,54
2014-11-30 - 2014-12-06,50
2014-12-07 - 2014-12-13,53
2014-12-14 - 2014-12-20,50
2014-12-21 - 2014-12-27,46
2014-12-28 - 2015-01-03,47
2015-01-04 - 2015-01-10,48
2015-01-11 - 2015-01-17,48
2015-01-18 - 2015-01-24,48
2015-01-25 - 2015-01-31,49
2015-02-01 - 2015-02-07,47
2015-02-08 - 2015-02-14,46
2015-02-15 - 2015-02-21,48
2015-02-22 - 2015-02-28,47
2015-03-01 - 2015-03-07,50
2015-03-08 - 2015-03-14,50
2015-03-15 - 2015-03-21,49
2015-03-22 - 2015-03-28,49
2015-03-29 - 2015-04-04,47
2015-04-05 - 2015-04-11,47
2015-04-12 - 2015-04-18,47
2015-04-19 - 2015-04-25,50
2015-04-26 - 2015-05-02,49
2015-05-03 - 2015-05-09,48
2015-05-10 - 2015-05-16,49
2015-05-17 - 2015-05-23,52
2015-05-24 - 2015-05-30,48
2015-05-31 - 2015-06-06,47
2015-06-07 - 2015-06-13,49
2015-06-14 - 2015-06-20,47
2015-06-21 - 2015-06-27,50
2015-06-28 - 2015-07-04,51
2015-07-05 - 2015-07-11,48
2015-07-12 - 2015-07-18,48
2015-07-19 - 2015-07-25,48
2015-07-26 - 2015-08-01,49
2015-08-02 - 2015-08-08,48
2015-08-09 - 2015-08-15,47
2015-08-16 - 2015-08-22,47
2015-08-23 - 2015-08-29,47
2015-08-30 - 2015-09-05,46
2015-09-06 - 2015-09-12,46
2015-09-13 - 2015-09-19,45
2015-09-20 - 2015-09-26,45
2015-09-27 - 2015-10-03,46
2015-10-04 - 2015-10-10,45
2015-10-11 - 2015-10-17,45
2015-10-18 - 2015-10-24,45
2015-10-25 - 2015-10-31,46
2015-11-01 - 2015-11-07,46
2015-11-08 - 2015-11-14,46
2015-11-15 - 2015-11-21,46
2015-11-22 - 2015-11-28,50
2015-11-29 - 2015-12-05,49
2015-12-06 - 2015-12-12,46
2015-12-13 - 2015-12-19,46
2015-12-20 - 2015-12-26,46
2015-12-27 - 2016-01-02,45
2016-01-03 - 2016-01-09,47
2016-01-10 - 2016-01-16,47
2016-01-17 - 2016-01-23,46
2016-01-24 - 2016-01-30,48
2016-01-31 - 2016-02-06,47
2016-02-07 - 2016-02-13,46
2016-02-14 - 2016-02-20,46
2016-02-21 - 2016-02-27,46
2016-02-28 - 2016-03-05,47
2016-03-06 - 2016-03-12,48
2016-03-13 - 2016-03-19,49
2016-03-20 - 2016-03-26,47
2016-03-27 - 2016-04-02,45
2016-04-03 - 2016-04-09,46
2016-04-10 - 2016-04-16,47
2016-04-17 - 2016-04-23,47
2016-04-24 - 2016-04-30,53


Top regions for abt
Region,abt
Nigeria,100
Uganda,87
Zimbabwe,83
Ghana,64
Kenya,58
Nepal,54
Switzerland,47
India,45
Germany,39
Luxembourg,38
Bolivia,35
South Africa,34
Austria,29
Singapore,19
Netherlands,18
United States,18
Pakistan,16
Algeria,14
United Arab Emirates,14
Belgium,11
Sweden,10
Hungary,10
Poland,9
Denmark,9
Slovakia,8
Malaysia,8
Greece,8
Hong Kong,7
Finland,7
Norway,7
Australia,7
Bulgaria,7
Czech Republic,6
Taiwan,6
Croatia,6
United Kingdom,5
Portugal,5
Romania,5
Philippines,5
Thailand,4
Ireland,4
Canada,4
France,4
New Zealand,4
Italy,4
Turkey,4
Spain,3
South Korea,3
China,3
Brazil,3
Saudi Arabia,3
Russia,3
Ukraine,3
Indonesia,2
Vietnam,2
Chile,2
Japan,2
Argentina,1
Mexico,1


Top cities for abt
City,abt
Arlington Heights (United States),100
Elmhurst (United States),67
Coimbatore (India),60
Ulm (Germany),33
Chennai (India),30
Chicago (United States),28
Lagos (Nigeria),22
Bangalore (India),16
Nairobi (Kenya),13
Johannesburg (South Africa),11
Stuttgart (Germany),11
Zurich (Switzerland),10
Munich (Germany),9
Hyderabad (India),7
Mumbai (India),7



Top searches for abt
audi abt,100
abt tuning,85
abt electronics,75
abt travels,60
golf abt,30
vw abt,25
abt associates,25
abt ballet,20
abt online,20
abt audi tuning,20
abt service,20
mtm,20
abt appliances,15
abt sportsline,15
kpn travels,15
abt tv,15
abt parcel,15
abt chicago,15
