Web Search interest: aiv
Worldwide 2004 - present

Interest over time
Week,aiv
2004-01-04 - 2004-01-10,70
2004-01-11 - 2004-01-17,68
2004-01-18 - 2004-01-24,67
2004-01-25 - 2004-01-31,93
2004-02-01 - 2004-02-07,68
2004-02-08 - 2004-02-14,61
2004-02-15 - 2004-02-21,60
2004-02-22 - 2004-02-28,51
2004-02-29 - 2004-03-06,77
2004-03-07 - 2004-03-13,65
2004-03-14 - 2004-03-20,71
2004-03-21 - 2004-03-27,76
2004-03-28 - 2004-04-03,57
2004-04-04 - 2004-04-10,87
2004-04-11 - 2004-04-17,41
2004-04-18 - 2004-04-24,67
2004-04-25 - 2004-05-01,60
2004-05-02 - 2004-05-08,51
2004-05-09 - 2004-05-15,51
2004-05-16 - 2004-05-22,77
2004-05-23 - 2004-05-29,73
2004-05-30 - 2004-06-05,58
2004-06-06 - 2004-06-12,59
2004-06-13 - 2004-06-19,54
2004-06-20 - 2004-06-26,80
2004-06-27 - 2004-07-03,61
2004-07-04 - 2004-07-10,61
2004-07-11 - 2004-07-17,69
2004-07-18 - 2004-07-24,66
2004-07-25 - 2004-07-31,64
2004-08-01 - 2004-08-07,26
2004-08-08 - 2004-08-14,53
2004-08-15 - 2004-08-21,52
2004-08-22 - 2004-08-28,43
2004-08-29 - 2004-09-04,78
2004-09-05 - 2004-09-11,67
2004-09-12 - 2004-09-18,76
2004-09-19 - 2004-09-25,69
2004-09-26 - 2004-10-02,69
2004-10-03 - 2004-10-09,57
2004-10-10 - 2004-10-16,62
2004-10-17 - 2004-10-23,66
2004-10-24 - 2004-10-30,44
2004-10-31 - 2004-11-06,77
2004-11-07 - 2004-11-13,54
2004-11-14 - 2004-11-20,53
2004-11-21 - 2004-11-27,62
2004-11-28 - 2004-12-04,62
2004-12-05 - 2004-12-11,69
2004-12-12 - 2004-12-18,54
2004-12-19 - 2004-12-25,64
2004-12-26 - 2005-01-01,50
2005-01-02 - 2005-01-08,77
2005-01-09 - 2005-01-15,55
2005-01-16 - 2005-01-22,70
2005-01-23 - 2005-01-29,73
2005-01-30 - 2005-02-05,82
2005-02-06 - 2005-02-12,61
2005-02-13 - 2005-02-19,59
2005-02-20 - 2005-02-26,52
2005-02-27 - 2005-03-05,68
2005-03-06 - 2005-03-12,55
2005-03-13 - 2005-03-19,61
2005-03-20 - 2005-03-26,42
2005-03-27 - 2005-04-02,63
2005-04-03 - 2005-04-09,70
2005-04-10 - 2005-04-16,57
2005-04-17 - 2005-04-23,73
2005-04-24 - 2005-04-30,46
2005-05-01 - 2005-05-07,68
2005-05-08 - 2005-05-14,57
2005-05-15 - 2005-05-21,66
2005-05-22 - 2005-05-28,77
2005-05-29 - 2005-06-04,56
2005-06-05 - 2005-06-11,79
2005-06-12 - 2005-06-18,50
2005-06-19 - 2005-06-25,53
2005-06-26 - 2005-07-02,80
2005-07-03 - 2005-07-09,73
2005-07-10 - 2005-07-16,58
2005-07-17 - 2005-07-23,70
2005-07-24 - 2005-07-30,47
2005-07-31 - 2005-08-06,75
2005-08-07 - 2005-08-13,84
2005-08-14 - 2005-08-20,47
2005-08-21 - 2005-08-27,61
2005-08-28 - 2005-09-03,75
2005-09-04 - 2005-09-10,53
2005-09-11 - 2005-09-17,63
2005-09-18 - 2005-09-24,58
2005-09-25 - 2005-10-01,64
2005-10-02 - 2005-10-08,73
2005-10-09 - 2005-10-15,67
2005-10-16 - 2005-10-22,73
2005-10-23 - 2005-10-29,69
2005-10-30 - 2005-11-05,60
2005-11-06 - 2005-11-12,89
2005-11-13 - 2005-11-19,55
2005-11-20 - 2005-11-26,67
2005-11-27 - 2005-12-03,52
2005-12-04 - 2005-12-10,54
2005-12-11 - 2005-12-17,52
2005-12-18 - 2005-12-24,52
2005-12-25 - 2005-12-31,52
2006-01-01 - 2006-01-07,85
2006-01-08 - 2006-01-14,77
2006-01-15 - 2006-01-21,63
2006-01-22 - 2006-01-28,62
2006-01-29 - 2006-02-04,50
2006-02-05 - 2006-02-11,68
2006-02-12 - 2006-02-18,75
2006-02-19 - 2006-02-25,58
2006-02-26 - 2006-03-04,49
2006-03-05 - 2006-03-11,72
2006-03-12 - 2006-03-18,59
2006-03-19 - 2006-03-25,47
2006-03-26 - 2006-04-01,59
2006-04-02 - 2006-04-08,63
2006-04-09 - 2006-04-15,59
2006-04-16 - 2006-04-22,62
2006-04-23 - 2006-04-29,45
2006-04-30 - 2006-05-06,61
2006-05-07 - 2006-05-13,53
2006-05-14 - 2006-05-20,55
2006-05-21 - 2006-05-27,61
2006-05-28 - 2006-06-03,64
2006-06-04 - 2006-06-10,68
2006-06-11 - 2006-06-17,57
2006-06-18 - 2006-06-24,59
2006-06-25 - 2006-07-01,67
2006-07-02 - 2006-07-08,62
2006-07-09 - 2006-07-15,55
2006-07-16 - 2006-07-22,53
2006-07-23 - 2006-07-29,53
2006-07-30 - 2006-08-05,72
2006-08-06 - 2006-08-12,53
2006-08-13 - 2006-08-19,50
2006-08-20 - 2006-08-26,49
