Web Search interest: alle
Worldwide 2004 - present

Interest over time
Week,alle
2004-01-04 - 2004-01-10,73
2004-01-11 - 2004-01-17,70
2004-01-18 - 2004-01-24,72
2004-01-25 - 2004-01-31,71
2004-02-01 - 2004-02-07,66
2004-02-08 - 2004-02-14,69
2004-02-15 - 2004-02-21,70
2004-02-22 - 2004-02-28,66
2004-02-29 - 2004-03-06,67
2004-03-07 - 2004-03-13,67
2004-03-14 - 2004-03-20,66
2004-03-21 - 2004-03-27,72
2004-03-28 - 2004-04-03,65
2004-04-04 - 2004-04-10,62
2004-04-11 - 2004-04-17,67
2004-04-18 - 2004-04-24,69
2004-04-25 - 2004-05-01,69
2004-05-02 - 2004-05-08,72
2004-05-09 - 2004-05-15,67
2004-05-16 - 2004-05-22,63
2004-05-23 - 2004-05-29,66
2004-05-30 - 2004-06-05,69
2004-06-06 - 2004-06-12,70
2004-06-13 - 2004-06-19,71
2004-06-20 - 2004-06-26,72
2004-06-27 - 2004-07-03,67
2004-07-04 - 2004-07-10,65
2004-07-11 - 2004-07-17,66
2004-07-18 - 2004-07-24,60
2004-07-25 - 2004-07-31,58
2004-08-01 - 2004-08-07,56
2004-08-08 - 2004-08-14,61
2004-08-15 - 2004-08-21,67
2004-08-22 - 2004-08-28,65
2004-08-29 - 2004-09-04,63
2004-09-05 - 2004-09-11,67
2004-09-12 - 2004-09-18,63
2004-09-19 - 2004-09-25,66
2004-09-26 - 2004-10-02,65
2004-10-03 - 2004-10-09,63
2004-10-10 - 2004-10-16,66
2004-10-17 - 2004-10-23,64
2004-10-24 - 2004-10-30,65
2004-10-31 - 2004-11-06,66
2004-11-07 - 2004-11-13,70
2004-11-14 - 2004-11-20,67
2004-11-21 - 2004-11-27,74
2004-11-28 - 2004-12-04,70
2004-12-05 - 2004-12-11,71
2004-12-12 - 2004-12-18,70
2004-12-19 - 2004-12-25,74
2004-12-26 - 2005-01-01,72
2005-01-02 - 2005-01-08,69
2005-01-09 - 2005-01-15,75
2005-01-16 - 2005-01-22,74
2005-01-23 - 2005-01-29,74
2005-01-30 - 2005-02-05,71
2005-02-06 - 2005-02-12,70
2005-02-13 - 2005-02-19,71
2005-02-20 - 2005-02-26,73
2005-02-27 - 2005-03-05,71
2005-03-06 - 2005-03-12,72
2005-03-13 - 2005-03-19,68
2005-03-20 - 2005-03-26,64
2005-03-27 - 2005-04-02,67
2005-04-03 - 2005-04-09,73
2005-04-10 - 2005-04-16,67
2005-04-17 - 2005-04-23,72
2005-04-24 - 2005-04-30,67
2005-05-01 - 2005-05-07,66
2005-05-08 - 2005-05-14,65
2005-05-15 - 2005-05-21,65
2005-05-22 - 2005-05-28,64
2005-05-29 - 2005-06-04,71
2005-06-05 - 2005-06-11,73
2005-06-12 - 2005-06-18,68
2005-06-19 - 2005-06-25,64
2005-06-26 - 2005-07-02,67
2005-07-03 - 2005-07-09,67
2005-07-10 - 2005-07-16,65
2005-07-17 - 2005-07-23,65
2005-07-24 - 2005-07-30,61
2005-07-31 - 2005-08-06,63
2005-08-07 - 2005-08-13,60
2005-08-14 - 2005-08-20,60
2005-08-21 - 2005-08-27,63
2005-08-28 - 2005-09-03,62
2005-09-04 - 2005-09-10,68
2005-09-11 - 2005-09-17,69
2005-09-18 - 2005-09-24,68
2005-09-25 - 2005-10-01,66
2005-10-02 - 2005-10-08,65
2005-10-09 - 2005-10-15,67
2005-10-16 - 2005-10-22,67
2005-10-23 - 2005-10-29,72
2005-10-30 - 2005-11-05,72
2005-11-06 - 2005-11-12,71
2005-11-13 - 2005-11-19,69
2005-11-20 - 2005-11-26,73
2005-11-27 - 2005-12-03,69
2005-12-04 - 2005-12-10,70
2005-12-11 - 2005-12-17,70
2005-12-18 - 2005-12-24,74
2005-12-25 - 2005-12-31,70
2006-01-01 - 2006-01-07,73
2006-01-08 - 2006-01-14,74
2006-01-15 - 2006-01-21,73
2006-01-22 - 2006-01-28,73
2006-01-29 - 2006-02-04,76
2006-02-05 - 2006-02-11,76
2006-02-12 - 2006-02-18,75
2006-02-19 - 2006-02-25,73
2006-02-26 - 2006-03-04,73
2006-03-05 - 2006-03-11,78
2006-03-12 - 2006-03-18,77
2006-03-19 - 2006-03-25,72
2006-03-26 - 2006-04-01,71
2006-04-02 - 2006-04-08,70
2006-04-09 - 2006-04-15,73
2006-04-16 - 2006-04-22,67
2006-04-23 - 2006-04-29,68
2006-04-30 - 2006-05-06,69
2006-05-07 - 2006-05-13,67
2006-05-14 - 2006-05-20,74
2006-05-21 - 2006-05-27,73
2006-05-28 - 2006-06-03,78
2006-06-04 - 2006-06-10,73
2006-06-11 - 2006-06-17,79
2006-06-18 - 2006-06-24,80
2006-06-25 - 2006-07-01,73
2006-07-02 - 2006-07-08,73
2006-07-09 - 2006-07-15,64
2006-07-16 - 2006-07-22,61
2006-07-23 - 2006-07-29,63
2006-07-30 - 2006-08-05,67
2006-08-06 - 2006-08-12,65
2006-08-13 - 2006-08-19,64
2006-08-20 - 2006-08-26,67
2006-08-27 - 2006-09-02,67
2006-09-03 - 2006-09-09,69
2006-09-10 - 2006-09-16,68
2006-09-17 - 2006-09-23,69
2006-09-24 - 2006-09-30,68
2006-10-01 - 2006-10-07,68
2006-10-08 - 2006-10-14,67
2006-10-15 - 2006-10-21,65
2006-10-22 - 2006-10-28,70
2006-10-29 - 2006-11-04,72
2006-11-05 - 2006-11-11,72
2006-11-12 - 2006-11-18,74
2006-11-19 - 2006-11-25,80
2006-11-26 - 2006-12-02,75
2006-12-03 - 2006-12-09,73
2006-12-10 - 2006-12-16,71
2006-12-17 - 2006-12-23,74
2006-12-24 - 2006-12-30,74
2006-12-31 - 2007-01-06,73
2007-01-07 - 2007-01-13,75
2007-01-14 - 2007-01-20,78
2007-01-21 - 2007-01-27,76
2007-01-28 - 2007-02-03,71
2007-02-04 - 2007-02-10,73
2007-02-11 - 2007-02-17,75
2007-02-18 - 2007-02-24,74
2007-02-25 - 2007-03-03,74
2007-03-04 - 2007-03-10,72
2007-03-11 - 2007-03-17,72
2007-03-18 - 2007-03-24,74
2007-03-25 - 2007-03-31,70
2007-04-01 - 2007-04-07,68
2007-04-08 - 2007-04-14,66
2007-04-15 - 2007-04-21,68
2007-04-22 - 2007-04-28,66
2007-04-29 - 2007-05-05,69
2007-05-06 - 2007-05-12,74
2007-05-13 - 2007-05-19,72
2007-05-20 - 2007-05-26,71
2007-05-27 - 2007-06-02,74
2007-06-03 - 2007-06-09,71
2007-06-10 - 2007-06-16,73
2007-06-17 - 2007-06-23,72
2007-06-24 - 2007-06-30,70
2007-07-01 - 2007-07-07,73
2007-07-08 - 2007-07-14,69
2007-07-15 - 2007-07-21,65
2007-07-22 - 2007-07-28,67
2007-07-29 - 2007-08-04,66
2007-08-05 - 2007-08-11,66
2007-08-12 - 2007-08-18,64
2007-08-19 - 2007-08-25,66
2007-08-26 - 2007-09-01,69
2007-09-02 - 2007-09-08,68
2007-09-09 - 2007-09-15,69
2007-09-16 - 2007-09-22,68
2007-09-23 - 2007-09-29,70
2007-09-30 - 2007-10-06,67
2007-10-07 - 2007-10-13,70
2007-10-14 - 2007-10-20,69
2007-10-21 - 2007-10-27,71
2007-10-28 - 2007-11-03,73
2007-11-04 - 2007-11-10,74
2007-11-11 - 2007-11-17,80
2007-11-18 - 2007-11-24,85
2007-11-25 - 2007-12-01,80
2007-12-02 - 2007-12-08,77
2007-12-09 - 2007-12-15,78
2007-12-16 - 2007-12-22,77
2007-12-23 - 2007-12-29,80
2007-12-30 - 2008-01-05,80
2008-01-06 - 2008-01-12,81
2008-01-13 - 2008-01-19,78
2008-01-20 - 2008-01-26,80
2008-01-27 - 2008-02-02,75
2008-02-03 - 2008-02-09,78
2008-02-10 - 2008-02-16,75
2008-02-17 - 2008-02-23,78
2008-02-24 - 2008-03-01,75
2008-03-02 - 2008-03-08,75
2008-03-09 - 2008-03-15,75
2008-03-16 - 2008-03-22,75
2008-03-23 - 2008-03-29,72
2008-03-30 - 2008-04-05,73
2008-04-06 - 2008-04-12,74
2008-04-13 - 2008-04-19,79
2008-04-20 - 2008-04-26,72
2008-04-27 - 2008-05-03,67
2008-05-04 - 2008-05-10,67
2008-05-11 - 2008-05-17,72
2008-05-18 - 2008-05-24,75
2008-05-25 - 2008-05-31,75
2008-06-01 - 2008-06-07,73
2008-06-08 - 2008-06-14,77
2008-06-15 - 2008-06-21,76
2008-06-22 - 2008-06-28,72
2008-06-29 - 2008-07-05,70
2008-07-06 - 2008-07-12,73
2008-07-13 - 2008-07-19,68
2008-07-20 - 2008-07-26,68
2008-07-27 - 2008-08-02,66
2008-08-03 - 2008-08-09,70
2008-08-10 - 2008-08-16,73
2008-08-17 - 2008-08-23,71
2008-08-24 - 2008-08-30,71
2008-08-31 - 2008-09-06,73
2008-09-07 - 2008-09-13,72
2008-09-14 - 2008-09-20,71
2008-09-21 - 2008-09-27,71
2008-09-28 - 2008-10-04,73
2008-10-05 - 2008-10-11,70
2008-10-12 - 2008-10-18,75
2008-10-19 - 2008-10-25,75
2008-10-26 - 2008-11-01,76
2008-11-02 - 2008-11-08,74
2008-11-09 - 2008-11-15,75
2008-11-16 - 2008-11-22,76
2008-11-23 - 2008-11-29,80
2008-11-30 - 2008-12-06,79
2008-12-07 - 2008-12-13,78
2008-12-14 - 2008-12-20,76
2008-12-21 - 2008-12-27,78
2008-12-28 - 2009-01-03,79
2009-01-04 - 2009-01-10,78
2009-01-11 - 2009-01-17,80
2009-01-18 - 2009-01-24,82
2009-01-25 - 2009-01-31,80
2009-02-01 - 2009-02-07,79
2009-02-08 - 2009-02-14,78
2009-02-15 - 2009-02-21,78
2009-02-22 - 2009-02-28,77
2009-03-01 - 2009-03-07,78
2009-03-08 - 2009-03-14,77
2009-03-15 - 2009-03-21,80
2009-03-22 - 2009-03-28,80
2009-03-29 - 2009-04-04,72
2009-04-05 - 2009-04-11,72
2009-04-12 - 2009-04-18,72
2009-04-19 - 2009-04-25,77
2009-04-26 - 2009-05-02,76
2009-05-03 - 2009-05-09,79
2009-05-10 - 2009-05-16,81
2009-05-17 - 2009-05-23,76
2009-05-24 - 2009-05-30,79
2009-05-31 - 2009-06-06,82
2009-06-07 - 2009-06-13,83
2009-06-14 - 2009-06-20,79
2009-06-21 - 2009-06-27,80
2009-06-28 - 2009-07-04,76
2009-07-05 - 2009-07-11,80
2009-07-12 - 2009-07-18,77
2009-07-19 - 2009-07-25,78
2009-07-26 - 2009-08-01,70
2009-08-02 - 2009-08-08,72
2009-08-09 - 2009-08-15,75
2009-08-16 - 2009-08-22,72
2009-08-23 - 2009-08-29,75
2009-08-30 - 2009-09-05,78
2009-09-06 - 2009-09-12,81
2009-09-13 - 2009-09-19,85
2009-09-20 - 2009-09-26,85
2009-09-27 - 2009-10-03,81
2009-10-04 - 2009-10-10,82
2009-10-11 - 2009-10-17,98
2009-10-18 - 2009-10-24,95
2009-10-25 - 2009-10-31,87
2009-11-01 - 2009-11-07,86
2009-11-08 - 2009-11-14,90
2009-11-15 - 2009-11-21,87
2009-11-22 - 2009-11-28,86
2009-11-29 - 2009-12-05,83
2009-12-06 - 2009-12-12,80
2009-12-13 - 2009-12-19,82
2009-12-20 - 2009-12-26,87
2009-12-27 - 2010-01-02,90
2010-01-03 - 2010-01-09,89
2010-01-10 - 2010-01-16,83
2010-01-17 - 2010-01-23,82
2010-01-24 - 2010-01-30,82
2010-01-31 - 2010-02-06,87
2010-02-07 - 2010-02-13,95
2010-02-14 - 2010-02-20,100
2010-02-21 - 2010-02-27,87
2010-02-28 - 2010-03-06,86
2010-03-07 - 2010-03-13,86
2010-03-14 - 2010-03-20,84
2010-03-21 - 2010-03-27,84
2010-03-28 - 2010-04-03,89
2010-04-04 - 2010-04-10,78
2010-04-11 - 2010-04-17,79
2010-04-18 - 2010-04-24,78
2010-04-25 - 2010-05-01,77
2010-05-02 - 2010-05-08,82
2010-05-09 - 2010-05-15,82
2010-05-16 - 2010-05-22,81
2010-05-23 - 2010-05-29,82
2010-05-30 - 2010-06-05,87
2010-06-06 - 2010-06-12,86
2010-06-13 - 2010-06-19,92
2010-06-20 - 2010-06-26,86
2010-06-27 - 2010-07-03,76
2010-07-04 - 2010-07-10,76
2010-07-11 - 2010-07-17,72
2010-07-18 - 2010-07-24,70
2010-07-25 - 2010-07-31,72
2010-08-01 - 2010-08-07,73
2010-08-08 - 2010-08-14,74
2010-08-15 - 2010-08-21,74
