Web Search interest: amp
Worldwide 2004 - present

Interest over time
Week,amp
2004-01-04 - 2004-01-10,93
2004-01-11 - 2004-01-17,95
2004-01-18 - 2004-01-24,100
2004-01-25 - 2004-01-31,100
2004-02-01 - 2004-02-07,98
2004-02-08 - 2004-02-14,95
2004-02-15 - 2004-02-21,96
2004-02-22 - 2004-02-28,96
2004-02-29 - 2004-03-06,94
2004-03-07 - 2004-03-13,91
2004-03-14 - 2004-03-20,94
2004-03-21 - 2004-03-27,95
2004-03-28 - 2004-04-03,96
2004-04-04 - 2004-04-10,98
2004-04-11 - 2004-04-17,94
2004-04-18 - 2004-04-24,92
2004-04-25 - 2004-05-01,93
2004-05-02 - 2004-05-08,89
2004-05-09 - 2004-05-15,91
2004-05-16 - 2004-05-22,92
2004-05-23 - 2004-05-29,90
2004-05-30 - 2004-06-05,89
2004-06-06 - 2004-06-12,92
2004-06-13 - 2004-06-19,94
2004-06-20 - 2004-06-26,94
2004-06-27 - 2004-07-03,95
2004-07-04 - 2004-07-10,90
2004-07-11 - 2004-07-17,91
2004-07-18 - 2004-07-24,92
2004-07-25 - 2004-07-31,95
2004-08-01 - 2004-08-07,93
2004-08-08 - 2004-08-14,94
2004-08-15 - 2004-08-21,92
2004-08-22 - 2004-08-28,91
2004-08-29 - 2004-09-04,88
2004-09-05 - 2004-09-11,89
2004-09-12 - 2004-09-18,89
2004-09-19 - 2004-09-25,87
2004-09-26 - 2004-10-02,87
2004-10-03 - 2004-10-09,88
2004-10-10 - 2004-10-16,90
2004-10-17 - 2004-10-23,87
2004-10-24 - 2004-10-30,86
2004-10-31 - 2004-11-06,85
2004-11-07 - 2004-11-13,84
2004-11-14 - 2004-11-20,84
2004-11-21 - 2004-11-27,84
2004-11-28 - 2004-12-04,87
2004-12-05 - 2004-12-11,89
2004-12-12 - 2004-12-18,87
2004-12-19 - 2004-12-25,92
2004-12-26 - 2005-01-01,91
2005-01-02 - 2005-01-08,89
2005-01-09 - 2005-01-15,89
2005-01-16 - 2005-01-22,86
2005-01-23 - 2005-01-29,89
2005-01-30 - 2005-02-05,94
2005-02-06 - 2005-02-12,86
2005-02-13 - 2005-02-19,89
2005-02-20 - 2005-02-26,87
2005-02-27 - 2005-03-05,86
2005-03-06 - 2005-03-12,87
2005-03-13 - 2005-03-19,86
2005-03-20 - 2005-03-26,91
2005-03-27 - 2005-04-02,85
2005-04-03 - 2005-04-09,84
2005-04-10 - 2005-04-16,86
2005-04-17 - 2005-04-23,83
2005-04-24 - 2005-04-30,85
2005-05-01 - 2005-05-07,88
2005-05-08 - 2005-05-14,83
2005-05-15 - 2005-05-21,84
2005-05-22 - 2005-05-28,84
2005-05-29 - 2005-06-04,83
2005-06-05 - 2005-06-11,83
2005-06-12 - 2005-06-18,83
2005-06-19 - 2005-06-25,82
2005-06-26 - 2005-07-02,83
2005-07-03 - 2005-07-09,81
2005-07-10 - 2005-07-16,85
2005-07-17 - 2005-07-23,85
2005-07-24 - 2005-07-30,87
2005-07-31 - 2005-08-06,87
2005-08-07 - 2005-08-13,84
2005-08-14 - 2005-08-20,83
2005-08-21 - 2005-08-27,80
2005-08-28 - 2005-09-03,78
2005-09-04 - 2005-09-10,79
2005-09-11 - 2005-09-17,80
2005-09-18 - 2005-09-24,81
2005-09-25 - 2005-10-01,81
2005-10-02 - 2005-10-08,81
2005-10-09 - 2005-10-15,82
2005-10-16 - 2005-10-22,78
2005-10-23 - 2005-10-29,81
2005-10-30 - 2005-11-05,81
2005-11-06 - 2005-11-12,81
2005-11-13 - 2005-11-19,78
2005-11-20 - 2005-11-26,80
2005-11-27 - 2005-12-03,80
2005-12-04 - 2005-12-10,80
2005-12-11 - 2005-12-17,80
2005-12-18 - 2005-12-24,81
2005-12-25 - 2005-12-31,83
2006-01-01 - 2006-01-07,80
2006-01-08 - 2006-01-14,78
2006-01-15 - 2006-01-21,78
2006-01-22 - 2006-01-28,78
2006-01-29 - 2006-02-04,77
2006-02-05 - 2006-02-11,78
2006-02-12 - 2006-02-18,76
2006-02-19 - 2006-02-25,79
2006-02-26 - 2006-03-04,76
2006-03-05 - 2006-03-11,74
2006-03-12 - 2006-03-18,76
2006-03-19 - 2006-03-25,73
2006-03-26 - 2006-04-01,75
2006-04-02 - 2006-04-08,75
2006-04-09 - 2006-04-15,75
2006-04-16 - 2006-04-22,74
2006-04-23 - 2006-04-29,75
2006-04-30 - 2006-05-06,73
2006-05-07 - 2006-05-13,71
2006-05-14 - 2006-05-20,72
2006-05-21 - 2006-05-27,73
2006-05-28 - 2006-06-03,72
2006-06-04 - 2006-06-10,73
2006-06-11 - 2006-06-17,70
2006-06-18 - 2006-06-24,73
2006-06-25 - 2006-07-01,71
2006-07-02 - 2006-07-08,71
2006-07-09 - 2006-07-15,71
2006-07-16 - 2006-07-22,72
2006-07-23 - 2006-07-29,71
2006-07-30 - 2006-08-05,72
2006-08-06 - 2006-08-12,73
2006-08-13 - 2006-08-19,71
2006-08-20 - 2006-08-26,74
2006-08-27 - 2006-09-02,71
2006-09-03 - 2006-09-09,69
2006-09-10 - 2006-09-16,69
2006-09-17 - 2006-09-23,69
2006-09-24 - 2006-09-30,68
2006-10-01 - 2006-10-07,68
2006-10-08 - 2006-10-14,67
2006-10-15 - 2006-10-21,67
2006-10-22 - 2006-10-28,67
2006-10-29 - 2006-11-04,69
2006-11-05 - 2006-11-11,66
2006-11-12 - 2006-11-18,68
2006-11-19 - 2006-11-25,66
2006-11-26 - 2006-12-02,70
2006-12-03 - 2006-12-09,70
2006-12-10 - 2006-12-16,68
2006-12-17 - 2006-12-23,68
2006-12-24 - 2006-12-30,71
2006-12-31 - 2007-01-06,68
2007-01-07 - 2007-01-13,67
2007-01-14 - 2007-01-20,68
2007-01-21 - 2007-01-27,67
2007-01-28 - 2007-02-03,67
2007-02-04 - 2007-02-10,67
2007-02-11 - 2007-02-17,66
2007-02-18 - 2007-02-24,67
2007-02-25 - 2007-03-03,66
2007-03-04 - 2007-03-10,65
2007-03-11 - 2007-03-17,65
2007-03-18 - 2007-03-24,65
2007-03-25 - 2007-03-31,66
2007-04-01 - 2007-04-07,65
2007-04-08 - 2007-04-14,65
2007-04-15 - 2007-04-21,64
2007-04-22 - 2007-04-28,65
2007-04-29 - 2007-05-05,65
2007-05-06 - 2007-05-12,65
2007-05-13 - 2007-05-19,64
2007-05-20 - 2007-05-26,65
2007-05-27 - 2007-06-02,64
2007-06-03 - 2007-06-09,66
2007-06-10 - 2007-06-16,63
2007-06-17 - 2007-06-23,63
2007-06-24 - 2007-06-30,64
2007-07-01 - 2007-07-07,65
2007-07-08 - 2007-07-14,66
2007-07-15 - 2007-07-21,64
2007-07-22 - 2007-07-28,65
2007-07-29 - 2007-08-04,63
2007-08-05 - 2007-08-11,64
2007-08-12 - 2007-08-18,63
2007-08-19 - 2007-08-25,63
2007-08-26 - 2007-09-01,61
2007-09-02 - 2007-09-08,61
2007-09-09 - 2007-09-15,61
2007-09-16 - 2007-09-22,62
2007-09-23 - 2007-09-29,60
2007-09-30 - 2007-10-06,60
2007-10-07 - 2007-10-13,60
2007-10-14 - 2007-10-20,60
2007-10-21 - 2007-10-27,60
2007-10-28 - 2007-11-03,60
2007-11-04 - 2007-11-10,61
2007-11-11 - 2007-11-17,61
2007-11-18 - 2007-11-24,61
2007-11-25 - 2007-12-01,63
2007-12-02 - 2007-12-08,65
2007-12-09 - 2007-12-15,64
2007-12-16 - 2007-12-22,61
2007-12-23 - 2007-12-29,65
2007-12-30 - 2008-01-05,64
2008-01-06 - 2008-01-12,64
2008-01-13 - 2008-01-19,62
2008-01-20 - 2008-01-26,63
2008-01-27 - 2008-02-02,62
2008-02-03 - 2008-02-09,65
2008-02-10 - 2008-02-16,64
2008-02-17 - 2008-02-23,66
2008-02-24 - 2008-03-01,63
2008-03-02 - 2008-03-08,61
2008-03-09 - 2008-03-15,61
2008-03-16 - 2008-03-22,63
2008-03-23 - 2008-03-29,63
2008-03-30 - 2008-04-05,63
2008-04-06 - 2008-04-12,63
2008-04-13 - 2008-04-19,62
2008-04-20 - 2008-04-26,61
2008-04-27 - 2008-05-03,61
2008-05-04 - 2008-05-10,61
2008-05-11 - 2008-05-17,62
2008-05-18 - 2008-05-24,62
2008-05-25 - 2008-05-31,61
2008-06-01 - 2008-06-07,62
2008-06-08 - 2008-06-14,61
2008-06-15 - 2008-06-21,62
2008-06-22 - 2008-06-28,62
2008-06-29 - 2008-07-05,62
2008-07-06 - 2008-07-12,62
2008-07-13 - 2008-07-19,62
2008-07-20 - 2008-07-26,63
2008-07-27 - 2008-08-02,62
2008-08-03 - 2008-08-09,62
2008-08-10 - 2008-08-16,61
2008-08-17 - 2008-08-23,61
2008-08-24 - 2008-08-30,60
2008-08-31 - 2008-09-06,58
2008-09-07 - 2008-09-13,58
2008-09-14 - 2008-09-20,59
2008-09-21 - 2008-09-27,57
2008-09-28 - 2008-10-04,59
2008-10-05 - 2008-10-11,58
2008-10-12 - 2008-10-18,58
2008-10-19 - 2008-10-25,58
2008-10-26 - 2008-11-01,57
2008-11-02 - 2008-11-08,56
2008-11-09 - 2008-11-15,58
2008-11-16 - 2008-11-22,58
2008-11-23 - 2008-11-29,57
2008-11-30 - 2008-12-06,58
2008-12-07 - 2008-12-13,60
2008-12-14 - 2008-12-20,58
2008-12-21 - 2008-12-27,58
2008-12-28 - 2009-01-03,59
2009-01-04 - 2009-01-10,59
2009-01-11 - 2009-01-17,59
2009-01-18 - 2009-01-24,59
2009-01-25 - 2009-01-31,59
2009-02-01 - 2009-02-07,59
2009-02-08 - 2009-02-14,59
2009-02-15 - 2009-02-21,61
2009-02-22 - 2009-02-28,60
2009-03-01 - 2009-03-07,59
2009-03-08 - 2009-03-14,59
2009-03-15 - 2009-03-21,60
2009-03-22 - 2009-03-28,59
2009-03-29 - 2009-04-04,59
2009-04-05 - 2009-04-11,59
2009-04-12 - 2009-04-18,58
2009-04-19 - 2009-04-25,59
2009-04-26 - 2009-05-02,59
2009-05-03 - 2009-05-09,58
2009-05-10 - 2009-05-16,58
2009-05-17 - 2009-05-23,58
2009-05-24 - 2009-05-30,56
2009-05-31 - 2009-06-06,57
2009-06-07 - 2009-06-13,58
2009-06-14 - 2009-06-20,57
2009-06-21 - 2009-06-27,55
2009-06-28 - 2009-07-04,56
2009-07-05 - 2009-07-11,56
2009-07-12 - 2009-07-18,57
2009-07-19 - 2009-07-25,58
2009-07-26 - 2009-08-01,57
2009-08-02 - 2009-08-08,58
2009-08-09 - 2009-08-15,58
2009-08-16 - 2009-08-22,56
2009-08-23 - 2009-08-29,56
2009-08-30 - 2009-09-05,56
2009-09-06 - 2009-09-12,55
2009-09-13 - 2009-09-19,55
2009-09-20 - 2009-09-26,55
2009-09-27 - 2009-10-03,53
2009-10-04 - 2009-10-10,53
2009-10-11 - 2009-10-17,57
2009-10-18 - 2009-10-24,54
2009-10-25 - 2009-10-31,54
2009-11-01 - 2009-11-07,53
2009-11-08 - 2009-11-14,55
2009-11-15 - 2009-11-21,55
2009-11-22 - 2009-11-28,54
2009-11-29 - 2009-12-05,55
2009-12-06 - 2009-12-12,54
2009-12-13 - 2009-12-19,54
2009-12-20 - 2009-12-26,53
2009-12-27 - 2010-01-02,55
2010-01-03 - 2010-01-09,53
2010-01-10 - 2010-01-16,54
2010-01-17 - 2010-01-23,55
2010-01-24 - 2010-01-30,55
2010-01-31 - 2010-02-06,56
2010-02-07 - 2010-02-13,55
2010-02-14 - 2010-02-20,55
2010-02-21 - 2010-02-27,55
2010-02-28 - 2010-03-06,55
2010-03-07 - 2010-03-13,56
2010-03-14 - 2010-03-20,54
2010-03-21 - 2010-03-27,55
2010-03-28 - 2010-04-03,56
2010-04-04 - 2010-04-10,55
2010-04-11 - 2010-04-17,54
2010-04-18 - 2010-04-24,54
2010-04-25 - 2010-05-01,55
2010-05-02 - 2010-05-08,54
2010-05-09 - 2010-05-15,54
2010-05-16 - 2010-05-22,54
2010-05-23 - 2010-05-29,53
2010-05-30 - 2010-06-05,54
2010-06-06 - 2010-06-12,51
2010-06-13 - 2010-06-19,52
2010-06-20 - 2010-06-26,51
2010-06-27 - 2010-07-03,51
2010-07-04 - 2010-07-10,52
2010-07-11 - 2010-07-17,53
2010-07-18 - 2010-07-24,53
2010-07-25 - 2010-07-31,53
2010-08-01 - 2010-08-07,55
2010-08-08 - 2010-08-14,54
2010-08-15 - 2010-08-21,54
2010-08-22 - 2010-08-28,52
2010-08-29 - 2010-09-04,52
2010-09-05 - 2010-09-11,52
2010-09-12 - 2010-09-18,52
2010-09-19 - 2010-09-25,52
2010-09-26 - 2010-10-02,51
2010-10-03 - 2010-10-09,53
2010-10-10 - 2010-10-16,52
2010-10-17 - 2010-10-23,52
2010-10-24 - 2010-10-30,52
2010-10-31 - 2010-11-06,54
2010-11-07 - 2010-11-13,53
2010-11-14 - 2010-11-20,53
2010-11-21 - 2010-11-27,52
2010-11-28 - 2010-12-04,53
2010-12-05 - 2010-12-11,53
2010-12-12 - 2010-12-18,54
2010-12-19 - 2010-12-25,52
2010-12-26 - 2011-01-01,54
2011-01-02 - 2011-01-08,53
2011-01-09 - 2011-01-15,53
2011-01-16 - 2011-01-22,53
2011-01-23 - 2011-01-29,52
2011-01-30 - 2011-02-05,53
2011-02-06 - 2011-02-12,52
2011-02-13 - 2011-02-19,54
2011-02-20 - 2011-02-26,53
2011-02-27 - 2011-03-05,54
2011-03-06 - 2011-03-12,53
2011-03-13 - 2011-03-19,51
2011-03-20 - 2011-03-26,53
2011-03-27 - 2011-04-02,54
2011-04-03 - 2011-04-09,54
2011-04-10 - 2011-04-16,53
2011-04-17 - 2011-04-23,52
2011-04-24 - 2011-04-30,51
2011-05-01 - 2011-05-07,51
2011-05-08 - 2011-05-14,53
2011-05-15 - 2011-05-21,53
2011-05-22 - 2011-05-28,51
2011-05-29 - 2011-06-04,51
2011-06-05 - 2011-06-11,52
2011-06-12 - 2011-06-18,52
2011-06-19 - 2011-06-25,52
2011-06-26 - 2011-07-02,51
2011-07-03 - 2011-07-09,50
2011-07-10 - 2011-07-16,51
2011-07-17 - 2011-07-23,51
2011-07-24 - 2011-07-30,51
2011-07-31 - 2011-08-06,50
2011-08-07 - 2011-08-13,50
2011-08-14 - 2011-08-20,50
2011-08-21 - 2011-08-27,50
2011-08-28 - 2011-09-03,51
2011-09-04 - 2011-09-10,48
2011-09-11 - 2011-09-17,48
2011-09-18 - 2011-09-24,50
2011-09-25 - 2011-10-01,50
2011-10-02 - 2011-10-08,49
2011-10-09 - 2011-10-15,49
2011-10-16 - 2011-10-22,48
2011-10-23 - 2011-10-29,48
2011-10-30 - 2011-11-05,50
2011-11-06 - 2011-11-12,49
2011-11-13 - 2011-11-19,51
2011-11-20 - 2011-11-26,49
2011-11-27 - 2011-12-03,51
2011-12-04 - 2011-12-10,51
2011-12-11 - 2011-12-17,50
2011-12-18 - 2011-12-24,48
2011-12-25 - 2011-12-31,51
2012-01-01 - 2012-01-07,50
2012-01-08 - 2012-01-14,49
2012-01-15 - 2012-01-21,51
2012-01-22 - 2012-01-28,51
2012-01-29 - 2012-02-04,50
2012-02-05 - 2012-02-11,51
2012-02-12 - 2012-02-18,51
2012-02-19 - 2012-02-25,52
2012-02-26 - 2012-03-03,51
2012-03-04 - 2012-03-10,51
2012-03-11 - 2012-03-17,49
2012-03-18 - 2012-03-24,50
2012-03-25 - 2012-03-31,51
2012-04-01 - 2012-04-07,51
2012-04-08 - 2012-04-14,51
2012-04-15 - 2012-04-21,51
2012-04-22 - 2012-04-28,51
2012-04-29 - 2012-05-05,51
2012-05-06 - 2012-05-12,51
2012-05-13 - 2012-05-19,50
2012-05-20 - 2012-05-26,49
2012-05-27 - 2012-06-02,49
2012-06-03 - 2012-06-09,49
2012-06-10 - 2012-06-16,50
2012-06-17 - 2012-06-23,49
2012-06-24 - 2012-06-30,49
2012-07-01 - 2012-07-07,49
