Web Search interest: bwa
Worldwide 2004 - present

Interest over time
Week,bwa
2004-01-04 - 2004-01-10,89
2004-01-11 - 2004-01-17,68
2004-01-18 - 2004-01-24,66
2004-01-25 - 2004-01-31,77
2004-02-01 - 2004-02-07,61
2004-02-08 - 2004-02-14,81
2004-02-15 - 2004-02-21,79
2004-02-22 - 2004-02-28,72
2004-02-29 - 2004-03-06,62
2004-03-07 - 2004-03-13,59
2004-03-14 - 2004-03-20,68
2004-03-21 - 2004-03-27,100
2004-03-28 - 2004-04-03,74
2004-04-04 - 2004-04-10,72
2004-04-11 - 2004-04-17,83
2004-04-18 - 2004-04-24,57
2004-04-25 - 2004-05-01,73
2004-05-02 - 2004-05-08,58
2004-05-09 - 2004-05-15,67
2004-05-16 - 2004-05-22,50
2004-05-23 - 2004-05-29,58
2004-05-30 - 2004-06-05,70
2004-06-06 - 2004-06-12,69
2004-06-13 - 2004-06-19,77
2004-06-20 - 2004-06-26,58
2004-06-27 - 2004-07-03,47
2004-07-04 - 2004-07-10,56
2004-07-11 - 2004-07-17,66
2004-07-18 - 2004-07-24,59
2004-07-25 - 2004-07-31,64
2004-08-01 - 2004-08-07,54
2004-08-08 - 2004-08-14,57
2004-08-15 - 2004-08-21,49
2004-08-22 - 2004-08-28,62
2004-08-29 - 2004-09-04,43
2004-09-05 - 2004-09-11,50
2004-09-12 - 2004-09-18,47
2004-09-19 - 2004-09-25,42
2004-09-26 - 2004-10-02,55
2004-10-03 - 2004-10-09,56
2004-10-10 - 2004-10-16,57
2004-10-17 - 2004-10-23,58
2004-10-24 - 2004-10-30,63
2004-10-31 - 2004-11-06,58
2004-11-07 - 2004-11-13,61
2004-11-14 - 2004-11-20,63
2004-11-21 - 2004-11-27,57
2004-11-28 - 2004-12-04,60
2004-12-05 - 2004-12-11,49
2004-12-12 - 2004-12-18,58
2004-12-19 - 2004-12-25,34
2004-12-26 - 2005-01-01,58
2005-01-02 - 2005-01-08,63
2005-01-09 - 2005-01-15,50
2005-01-16 - 2005-01-22,50
2005-01-23 - 2005-01-29,51
2005-01-30 - 2005-02-05,47
2005-02-06 - 2005-02-12,54
2005-02-13 - 2005-02-19,65
2005-02-20 - 2005-02-26,58
2005-02-27 - 2005-03-05,65
2005-03-06 - 2005-03-12,57
2005-03-13 - 2005-03-19,88
2005-03-20 - 2005-03-26,64
2005-03-27 - 2005-04-02,62
2005-04-03 - 2005-04-09,72
2005-04-10 - 2005-04-16,56
2005-04-17 - 2005-04-23,56
2005-04-24 - 2005-04-30,59
2005-05-01 - 2005-05-07,48
2005-05-08 - 2005-05-14,54
