Web Search interest: cci
Worldwide 2004 - present

Interest over time
Week,cci
2004-01-04 - 2004-01-10,78
2004-01-11 - 2004-01-17,90
2004-01-18 - 2004-01-24,94
2004-01-25 - 2004-01-31,79
2004-02-01 - 2004-02-07,100
2004-02-08 - 2004-02-14,78
2004-02-15 - 2004-02-21,87
2004-02-22 - 2004-02-28,84
2004-02-29 - 2004-03-06,83
2004-03-07 - 2004-03-13,72
2004-03-14 - 2004-03-20,88
2004-03-21 - 2004-03-27,75
2004-03-28 - 2004-04-03,73
2004-04-04 - 2004-04-10,83
2004-04-11 - 2004-04-17,83
2004-04-18 - 2004-04-24,79
2004-04-25 - 2004-05-01,77
2004-05-02 - 2004-05-08,78
2004-05-09 - 2004-05-15,72
2004-05-16 - 2004-05-22,69
2004-05-23 - 2004-05-29,73
2004-05-30 - 2004-06-05,66
2004-06-06 - 2004-06-12,79
2004-06-13 - 2004-06-19,80
2004-06-20 - 2004-06-26,74
2004-06-27 - 2004-07-03,73
2004-07-04 - 2004-07-10,80
2004-07-11 - 2004-07-17,63
2004-07-18 - 2004-07-24,72
2004-07-25 - 2004-07-31,62
2004-08-01 - 2004-08-07,61
2004-08-08 - 2004-08-14,58
2004-08-15 - 2004-08-21,60
2004-08-22 - 2004-08-28,67
2004-08-29 - 2004-09-04,67
2004-09-05 - 2004-09-11,82
2004-09-12 - 2004-09-18,81
2004-09-19 - 2004-09-25,80
2004-09-26 - 2004-10-02,84
2004-10-03 - 2004-10-09,84
2004-10-10 - 2004-10-16,79
2004-10-17 - 2004-10-23,83
2004-10-24 - 2004-10-30,78
2004-10-31 - 2004-11-06,79
2004-11-07 - 2004-11-13,63
2004-11-14 - 2004-11-20,79
2004-11-21 - 2004-11-27,88
2004-11-28 - 2004-12-04,77
2004-12-05 - 2004-12-11,73
2004-12-12 - 2004-12-18,73
2004-12-19 - 2004-12-25,59
2004-12-26 - 2005-01-01,51
2005-01-02 - 2005-01-08,85
2005-01-09 - 2005-01-15,83
2005-01-16 - 2005-01-22,86
2005-01-23 - 2005-01-29,82
2005-01-30 - 2005-02-05,88
2005-02-06 - 2005-02-12,82
2005-02-13 - 2005-02-19,84
2005-02-20 - 2005-02-26,86
2005-02-27 - 2005-03-05,80
2005-03-06 - 2005-03-12,80
2005-03-13 - 2005-03-19,83
2005-03-20 - 2005-03-26,78
2005-03-27 - 2005-04-02,65
2005-04-03 - 2005-04-09,71
2005-04-10 - 2005-04-16,81
2005-04-17 - 2005-04-23,74
2005-04-24 - 2005-04-30,78
2005-05-01 - 2005-05-07,66
2005-05-08 - 2005-05-14,77
2005-05-15 - 2005-05-21,76
2005-05-22 - 2005-05-28,80
2005-05-29 - 2005-06-04,76
2005-06-05 - 2005-06-11,74
2005-06-12 - 2005-06-18,75
2005-06-19 - 2005-06-25,72
2005-06-26 - 2005-07-02,72
2005-07-03 - 2005-07-09,68
2005-07-10 - 2005-07-16,57
2005-07-17 - 2005-07-23,65
2005-07-24 - 2005-07-30,62
2005-07-31 - 2005-08-06,52
2005-08-07 - 2005-08-13,51
2005-08-14 - 2005-08-20,56
2005-08-21 - 2005-08-27,63
2005-08-28 - 2005-09-03,73
2005-09-04 - 2005-09-10,75
2005-09-11 - 2005-09-17,77
