Web Search interest: cost
Worldwide 2004 - present

Interest over time
Week,cost
2004-01-04 - 2004-01-10,53
2004-01-11 - 2004-01-17,55
2004-01-18 - 2004-01-24,56
2004-01-25 - 2004-01-31,55
2004-02-01 - 2004-02-07,54
2004-02-08 - 2004-02-14,53
2004-02-15 - 2004-02-21,53
2004-02-22 - 2004-02-28,55
2004-02-29 - 2004-03-06,56
2004-03-07 - 2004-03-13,54
2004-03-14 - 2004-03-20,55
2004-03-21 - 2004-03-27,55
2004-03-28 - 2004-04-03,57
2004-04-04 - 2004-04-10,57
2004-04-11 - 2004-04-17,56
2004-04-18 - 2004-04-24,58
2004-04-25 - 2004-05-01,59
2004-05-02 - 2004-05-08,57
2004-05-09 - 2004-05-15,56
2004-05-16 - 2004-05-22,56
2004-05-23 - 2004-05-29,55
2004-05-30 - 2004-06-05,50
2004-06-06 - 2004-06-12,52
2004-06-13 - 2004-06-19,53
2004-06-20 - 2004-06-26,52
2004-06-27 - 2004-07-03,51
2004-07-04 - 2004-07-10,51
2004-07-11 - 2004-07-17,54
2004-07-18 - 2004-07-24,55
2004-07-25 - 2004-07-31,55
2004-08-01 - 2004-08-07,54
2004-08-08 - 2004-08-14,53
2004-08-15 - 2004-08-21,52
2004-08-22 - 2004-08-28,52
2004-08-29 - 2004-09-04,49
2004-09-05 - 2004-09-11,51
2004-09-12 - 2004-09-18,51
2004-09-19 - 2004-09-25,55
2004-09-26 - 2004-10-02,54
2004-10-03 - 2004-10-09,55
2004-10-10 - 2004-10-16,54
2004-10-17 - 2004-10-23,54
2004-10-24 - 2004-10-30,54
2004-10-31 - 2004-11-06,54
2004-11-07 - 2004-11-13,53
2004-11-14 - 2004-11-20,57
2004-11-21 - 2004-11-27,51
2004-11-28 - 2004-12-04,56
2004-12-05 - 2004-12-11,55
2004-12-12 - 2004-12-18,51
2004-12-19 - 2004-12-25,42
2004-12-26 - 2005-01-01,44
2005-01-02 - 2005-01-08,52
2005-01-09 - 2005-01-15,54
2005-01-16 - 2005-01-22,54
2005-01-23 - 2005-01-29,54
2005-01-30 - 2005-02-05,56
2005-02-06 - 2005-02-12,56
2005-02-13 - 2005-02-19,55
2005-02-20 - 2005-02-26,56
2005-02-27 - 2005-03-05,53
2005-03-06 - 2005-03-12,54
2005-03-13 - 2005-03-19,56
2005-03-20 - 2005-03-26,55
2005-03-27 - 2005-04-02,55
2005-04-03 - 2005-04-09,56
2005-04-10 - 2005-04-16,58
2005-04-17 - 2005-04-23,58
2005-04-24 - 2005-04-30,57
2005-05-01 - 2005-05-07,58
2005-05-08 - 2005-05-14,57
2005-05-15 - 2005-05-21,55
2005-05-22 - 2005-05-28,55
2005-05-29 - 2005-06-04,51
2005-06-05 - 2005-06-11,53
2005-06-12 - 2005-06-18,54
2005-06-19 - 2005-06-25,54
2005-06-26 - 2005-07-02,52
2005-07-03 - 2005-07-09,51
2005-07-10 - 2005-07-16,53
2005-07-17 - 2005-07-23,53
2005-07-24 - 2005-07-30,53
2005-07-31 - 2005-08-06,54
2005-08-07 - 2005-08-13,53
2005-08-14 - 2005-08-20,52
2005-08-21 - 2005-08-27,50
2005-08-28 - 2005-09-03,49
2005-09-04 - 2005-09-10,48
2005-09-11 - 2005-09-17,51
2005-09-18 - 2005-09-24,51
2005-09-25 - 2005-10-01,51
2005-10-02 - 2005-10-08,52
2005-10-09 - 2005-10-15,52
2005-10-16 - 2005-10-22,52
