Web Search interest: dgx
Worldwide 2004 - present

Interest over time
Week,dgx
2004-01-04 - 2004-01-10,61
2004-01-11 - 2004-01-17,49
2004-01-18 - 2004-01-24,48
2004-01-25 - 2004-01-31,44
2004-02-01 - 2004-02-07,37
2004-02-08 - 2004-02-14,39
2004-02-15 - 2004-02-21,58
2004-02-22 - 2004-02-28,42
2004-02-29 - 2004-03-06,58
2004-03-07 - 2004-03-13,23
2004-03-14 - 2004-03-20,43
2004-03-21 - 2004-03-27,48
2004-03-28 - 2004-04-03,28
2004-04-04 - 2004-04-10,44
2004-04-11 - 2004-04-17,43
2004-04-18 - 2004-04-24,37
2004-04-25 - 2004-05-01,25
2004-05-02 - 2004-05-08,34
2004-05-09 - 2004-05-15,32
2004-05-16 - 2004-05-22,51
2004-05-23 - 2004-05-29,36
2004-05-30 - 2004-06-05,46
2004-06-06 - 2004-06-12,48
2004-06-13 - 2004-06-19,56
2004-06-20 - 2004-06-26,43
2004-06-27 - 2004-07-03,42
2004-07-04 - 2004-07-10,50
2004-07-11 - 2004-07-17,47
2004-07-18 - 2004-07-24,51
2004-07-25 - 2004-07-31,40
2004-08-01 - 2004-08-07,68
2004-08-08 - 2004-08-14,59
2004-08-15 - 2004-08-21,46
2004-08-22 - 2004-08-28,63
2004-08-29 - 2004-09-04,41
2004-09-05 - 2004-09-11,51
2004-09-12 - 2004-09-18,60
2004-09-19 - 2004-09-25,62
2004-09-26 - 2004-10-02,49
2004-10-03 - 2004-10-09,55
2004-10-10 - 2004-10-16,75
2004-10-17 - 2004-10-23,62
2004-10-24 - 2004-10-30,57
2004-10-31 - 2004-11-06,58
2004-11-07 - 2004-11-13,52
2004-11-14 - 2004-11-20,65
2004-11-21 - 2004-11-27,67
2004-11-28 - 2004-12-04,85
2004-12-05 - 2004-12-11,86
2004-12-12 - 2004-12-18,77
2004-12-19 - 2004-12-25,96
2004-12-26 - 2005-01-01,100
2005-01-02 - 2005-01-08,65
2005-01-09 - 2005-01-15,64
2005-01-16 - 2005-01-22,73
2005-01-23 - 2005-01-29,56
2005-01-30 - 2005-02-05,67
2005-02-06 - 2005-02-12,54
2005-02-13 - 2005-02-19,52
2005-02-20 - 2005-02-26,60
2005-02-27 - 2005-03-05,60
2005-03-06 - 2005-03-12,32
2005-03-13 - 2005-03-19,41
2005-03-20 - 2005-03-26,52
2005-03-27 - 2005-04-02,42
2005-04-03 - 2005-04-09,31
2005-04-10 - 2005-04-16,37
2005-04-17 - 2005-04-23,44
2005-04-24 - 2005-04-30,31
2005-05-01 - 2005-05-07,53
2005-05-08 - 2005-05-14,59
2005-05-15 - 2005-05-21,38
2005-05-22 - 2005-05-28,66
2005-05-29 - 2005-06-04,54
2005-06-05 - 2005-06-11,63
2005-06-12 - 2005-06-18,50
2005-06-19 - 2005-06-25,66
2005-06-26 - 2005-07-02,42
2005-07-03 - 2005-07-09,53
2005-07-10 - 2005-07-16,52
2005-07-17 - 2005-07-23,45
2005-07-24 - 2005-07-30,38
2005-07-31 - 2005-08-06,48
2005-08-07 - 2005-08-13,47
2005-08-14 - 2005-08-20,54
2005-08-21 - 2005-08-27,41
2005-08-28 - 2005-09-03,52
2005-09-04 - 2005-09-10,49
2005-09-11 - 2005-09-17,47
2005-09-18 - 2005-09-24,63
2005-09-25 - 2005-10-01,57
2005-10-02 - 2005-10-08,47
2005-10-09 - 2005-10-15,51
2005-10-16 - 2005-10-22,58
2005-10-23 - 2005-10-29,63
2005-10-30 - 2005-11-05,41
2005-11-06 - 2005-11-12,43
2005-11-13 - 2005-11-19,47
2005-11-20 - 2005-11-26,70
2005-11-27 - 2005-12-03,76
2005-12-04 - 2005-12-10,79
2005-12-11 - 2005-12-17,87
2005-12-18 - 2005-12-24,84
2005-12-25 - 2005-12-31,94
2006-01-01 - 2006-01-07,90
2006-01-08 - 2006-01-14,60
2006-01-15 - 2006-01-21,64
2006-01-22 - 2006-01-28,43
2006-01-29 - 2006-02-04,49
2006-02-05 - 2006-02-11,42
2006-02-12 - 2006-02-18,55
2006-02-19 - 2006-02-25,55
2006-02-26 - 2006-03-04,48
2006-03-05 - 2006-03-11,45
2006-03-12 - 2006-03-18,42
2006-03-19 - 2006-03-25,47
2006-03-26 - 2006-04-01,37
2006-04-02 - 2006-04-08,36
2006-04-09 - 2006-04-15,48
2006-04-16 - 2006-04-22,48
2006-04-23 - 2006-04-29,45
2006-04-30 - 2006-05-06,48
2006-05-07 - 2006-05-13,60
2006-05-14 - 2006-05-20,55
2006-05-21 - 2006-05-27,50
2006-05-28 - 2006-06-03,46
2006-06-04 - 2006-06-10,54
2006-06-11 - 2006-06-17,54
2006-06-18 - 2006-06-24,34
2006-06-25 - 2006-07-01,43
2006-07-02 - 2006-07-08,47
2006-07-09 - 2006-07-15,62
2006-07-16 - 2006-07-22,65
2006-07-23 - 2006-07-29,52
2006-07-30 - 2006-08-05,56
2006-08-06 - 2006-08-12,51
2006-08-13 - 2006-08-19,53
2006-08-20 - 2006-08-26,59
2006-08-27 - 2006-09-02,53
2006-09-03 - 2006-09-09,57
2006-09-10 - 2006-09-16,59
2006-09-17 - 2006-09-23,60
2006-09-24 - 2006-09-30,62
2006-10-01 - 2006-10-07,76
2006-10-08 - 2006-10-14,61
2006-10-15 - 2006-10-21,66
2006-10-22 - 2006-10-28,65
2006-10-29 - 2006-11-04,69
2006-11-05 - 2006-11-11,70
2006-11-12 - 2006-11-18,70
2006-11-19 - 2006-11-25,87
2006-11-26 - 2006-12-02,89
2006-12-03 - 2006-12-09,93
2006-12-10 - 2006-12-16,83
2006-12-17 - 2006-12-23,79
2006-12-24 - 2006-12-30,89
2006-12-31 - 2007-01-06,76
2007-01-07 - 2007-01-13,71
2007-01-14 - 2007-01-20,66
2007-01-21 - 2007-01-27,62
2007-01-28 - 2007-02-03,65
2007-02-04 - 2007-02-10,53
2007-02-11 - 2007-02-17,63
2007-02-18 - 2007-02-24,60
2007-02-25 - 2007-03-03,59
2007-03-04 - 2007-03-10,43
2007-03-11 - 2007-03-17,62
2007-03-18 - 2007-03-24,47
2007-03-25 - 2007-03-31,48
2007-04-01 - 2007-04-07,44
2007-04-08 - 2007-04-14,54
