Web Search interest: emr
Worldwide 2004 - present

Interest over time
Week,emr
2004-01-04 - 2004-01-10,81
2004-01-11 - 2004-01-17,79
2004-01-18 - 2004-01-24,71
2004-01-25 - 2004-01-31,88
2004-02-01 - 2004-02-07,99
2004-02-08 - 2004-02-14,71
2004-02-15 - 2004-02-21,79
2004-02-22 - 2004-02-28,76
2004-02-29 - 2004-03-06,88
2004-03-07 - 2004-03-13,84
2004-03-14 - 2004-03-20,91
2004-03-21 - 2004-03-27,73
2004-03-28 - 2004-04-03,80
2004-04-04 - 2004-04-10,82
2004-04-11 - 2004-04-17,86
2004-04-18 - 2004-04-24,80
2004-04-25 - 2004-05-01,90
2004-05-02 - 2004-05-08,79
2004-05-09 - 2004-05-15,67
2004-05-16 - 2004-05-22,86
2004-05-23 - 2004-05-29,74
2004-05-30 - 2004-06-05,73
2004-06-06 - 2004-06-12,98
2004-06-13 - 2004-06-19,77
2004-06-20 - 2004-06-26,73
2004-06-27 - 2004-07-03,80
2004-07-04 - 2004-07-10,87
2004-07-11 - 2004-07-17,91
2004-07-18 - 2004-07-24,99
2004-07-25 - 2004-07-31,90
2004-08-01 - 2004-08-07,100
2004-08-08 - 2004-08-14,100
2004-08-15 - 2004-08-21,75
2004-08-22 - 2004-08-28,81
2004-08-29 - 2004-09-04,74
2004-09-05 - 2004-09-11,83
2004-09-12 - 2004-09-18,77
2004-09-19 - 2004-09-25,80
2004-09-26 - 2004-10-02,88
2004-10-03 - 2004-10-09,80
2004-10-10 - 2004-10-16,85
2004-10-17 - 2004-10-23,83
2004-10-24 - 2004-10-30,75
2004-10-31 - 2004-11-06,92
2004-11-07 - 2004-11-13,82
2004-11-14 - 2004-11-20,69
2004-11-21 - 2004-11-27,58
2004-11-28 - 2004-12-04,76
2004-12-05 - 2004-12-11,85
2004-12-12 - 2004-12-18,71
2004-12-19 - 2004-12-25,74
2004-12-26 - 2005-01-01,54
2005-01-02 - 2005-01-08,75
2005-01-09 - 2005-01-15,74
2005-01-16 - 2005-01-22,72
2005-01-23 - 2005-01-29,95
2005-01-30 - 2005-02-05,75
2005-02-06 - 2005-02-12,93
2005-02-13 - 2005-02-19,80
2005-02-20 - 2005-02-26,78
2005-02-27 - 2005-03-05,89
2005-03-06 - 2005-03-12,86
2005-03-13 - 2005-03-19,81
2005-03-20 - 2005-03-26,78
2005-03-27 - 2005-04-02,79
2005-04-03 - 2005-04-09,84
2005-04-10 - 2005-04-16,73
2005-04-17 - 2005-04-23,92
2005-04-24 - 2005-04-30,82
2005-05-01 - 2005-05-07,93
2005-05-08 - 2005-05-14,80
2005-05-15 - 2005-05-21,71
2005-05-22 - 2005-05-28,83
2005-05-29 - 2005-06-04,73
2005-06-05 - 2005-06-11,76
2005-06-12 - 2005-06-18,89
2005-06-19 - 2005-06-25,81
2005-06-26 - 2005-07-02,81
2005-07-03 - 2005-07-09,70
2005-07-10 - 2005-07-16,81
2005-07-17 - 2005-07-23,88
2005-07-24 - 2005-07-30,91
2005-07-31 - 2005-08-06,90
2005-08-07 - 2005-08-13,76
2005-08-14 - 2005-08-20,89
2005-08-21 - 2005-08-27,93
2005-08-28 - 2005-09-03,80
2005-09-04 - 2005-09-10,84
2005-09-11 - 2005-09-17,84
2005-09-18 - 2005-09-24,81
2005-09-25 - 2005-10-01,86
2005-10-02 - 2005-10-08,86
2005-10-09 - 2005-10-15,84
2005-10-16 - 2005-10-22,84
2005-10-23 - 2005-10-29,88
2005-10-30 - 2005-11-05,76
2005-11-06 - 2005-11-12,88
2005-11-13 - 2005-11-19,72
2005-11-20 - 2005-11-26,70
2005-11-27 - 2005-12-03,70
2005-12-04 - 2005-12-10,76
2005-12-11 - 2005-12-17,75
2005-12-18 - 2005-12-24,66
2005-12-25 - 2005-12-31,64
2006-01-01 - 2006-01-07,74
2006-01-08 - 2006-01-14,77
2006-01-15 - 2006-01-21,77
2006-01-22 - 2006-01-28,87
2006-01-29 - 2006-02-04,85
2006-02-05 - 2006-02-11,88
2006-02-12 - 2006-02-18,89
2006-02-19 - 2006-02-25,89
2006-02-26 - 2006-03-04,79
2006-03-05 - 2006-03-11,74
2006-03-12 - 2006-03-18,76
2006-03-19 - 2006-03-25,71
2006-03-26 - 2006-04-01,79
2006-04-02 - 2006-04-08,70
2006-04-09 - 2006-04-15,75
2006-04-16 - 2006-04-22,88
2006-04-23 - 2006-04-29,88
2006-04-30 - 2006-05-06,78
2006-05-07 - 2006-05-13,82
2006-05-14 - 2006-05-20,68
2006-05-21 - 2006-05-27,72
2006-05-28 - 2006-06-03,67
2006-06-04 - 2006-06-10,67
2006-06-11 - 2006-06-17,76
2006-06-18 - 2006-06-24,67
2006-06-25 - 2006-07-01,69
2006-07-02 - 2006-07-08,76
2006-07-09 - 2006-07-15,76
2006-07-16 - 2006-07-22,76
2006-07-23 - 2006-07-29,74
2006-07-30 - 2006-08-05,83
2006-08-06 - 2006-08-12,80
2006-08-13 - 2006-08-19,88
2006-08-20 - 2006-08-26,85
2006-08-27 - 2006-09-02,75
2006-09-03 - 2006-09-09,69
2006-09-10 - 2006-09-16,66
2006-09-17 - 2006-09-23,75
2006-09-24 - 2006-09-30,74
2006-10-01 - 2006-10-07,71
2006-10-08 - 2006-10-14,71
2006-10-15 - 2006-10-21,90
2006-10-22 - 2006-10-28,75
2006-10-29 - 2006-11-04,72
2006-11-05 - 2006-11-11,76
2006-11-12 - 2006-11-18,73
2006-11-19 - 2006-11-25,62
2006-11-26 - 2006-12-02,72
2006-12-03 - 2006-12-09,69
2006-12-10 - 2006-12-16,75
2006-12-17 - 2006-12-23,56
2006-12-24 - 2006-12-30,56
2006-12-31 - 2007-01-06,55
2007-01-07 - 2007-01-13,75
2007-01-14 - 2007-01-20,68
2007-01-21 - 2007-01-27,75
2007-01-28 - 2007-02-03,75
2007-02-04 - 2007-02-10,81
2007-02-11 - 2007-02-17,67
2007-02-18 - 2007-02-24,79
2007-02-25 - 2007-03-03,74
2007-03-04 - 2007-03-10,72
2007-03-11 - 2007-03-17,70
2007-03-18 - 2007-03-24,79
2007-03-25 - 2007-03-31,68
2007-04-01 - 2007-04-07,68
2007-04-08 - 2007-04-14,69
2007-04-15 - 2007-04-21,71
2007-04-22 - 2007-04-28,75
2007-04-29 - 2007-05-05,83
2007-05-06 - 2007-05-12,69
2007-05-13 - 2007-05-19,67
2007-05-20 - 2007-05-26,70
2007-05-27 - 2007-06-02,71
2007-06-03 - 2007-06-09,73
2007-06-10 - 2007-06-16,70
2007-06-17 - 2007-06-23,70
2007-06-24 - 2007-06-30,70
2007-07-01 - 2007-07-07,66
2007-07-08 - 2007-07-14,70
2007-07-15 - 2007-07-21,74
2007-07-22 - 2007-07-28,71
2007-07-29 - 2007-08-04,68
2007-08-05 - 2007-08-11,74
2007-08-12 - 2007-08-18,68
2007-08-19 - 2007-08-25,74
2007-08-26 - 2007-09-01,61
2007-09-02 - 2007-09-08,75
2007-09-09 - 2007-09-15,69
2007-09-16 - 2007-09-22,64
2007-09-23 - 2007-09-29,65
2007-09-30 - 2007-10-06,69
2007-10-07 - 2007-10-13,69
2007-10-14 - 2007-10-20,73
2007-10-21 - 2007-10-27,67
2007-10-28 - 2007-11-03,72
2007-11-04 - 2007-11-10,72
2007-11-11 - 2007-11-17,66
2007-11-18 - 2007-11-24,61
2007-11-25 - 2007-12-01,69
2007-12-02 - 2007-12-08,73
2007-12-09 - 2007-12-15,64
2007-12-16 - 2007-12-22,62
2007-12-23 - 2007-12-29,53
2007-12-30 - 2008-01-05,53
2008-01-06 - 2008-01-12,71
2008-01-13 - 2008-01-19,71
2008-01-20 - 2008-01-26,70
2008-01-27 - 2008-02-02,66
2008-02-03 - 2008-02-09,65
2008-02-10 - 2008-02-16,69
2008-02-17 - 2008-02-23,76
2008-02-24 - 2008-03-01,69
2008-03-02 - 2008-03-08,72
2008-03-09 - 2008-03-15,73
2008-03-16 - 2008-03-22,71
2008-03-23 - 2008-03-29,72
2008-03-30 - 2008-04-05,71
2008-04-06 - 2008-04-12,71
2008-04-13 - 2008-04-19,73
2008-04-20 - 2008-04-26,73
2008-04-27 - 2008-05-03,67
2008-05-04 - 2008-05-10,70
2008-05-11 - 2008-05-17,76
2008-05-18 - 2008-05-24,81
2008-05-25 - 2008-05-31,65
