Web Search interest: ew
Worldwide 2004 - present

Interest over time
Week,ew
2004-01-04 - 2004-01-10,39
2004-01-11 - 2004-01-17,32
2004-01-18 - 2004-01-24,34
2004-01-25 - 2004-01-31,29
2004-02-01 - 2004-02-07,34
2004-02-08 - 2004-02-14,30
2004-02-15 - 2004-02-21,33
2004-02-22 - 2004-02-28,32
2004-02-29 - 2004-03-06,35
2004-03-07 - 2004-03-13,27
2004-03-14 - 2004-03-20,32
2004-03-21 - 2004-03-27,37
2004-03-28 - 2004-04-03,33
2004-04-04 - 2004-04-10,35
2004-04-11 - 2004-04-17,34
2004-04-18 - 2004-04-24,33
2004-04-25 - 2004-05-01,31
2004-05-02 - 2004-05-08,31
2004-05-09 - 2004-05-15,28
2004-05-16 - 2004-05-22,25
2004-05-23 - 2004-05-29,31
2004-05-30 - 2004-06-05,26
2004-06-06 - 2004-06-12,32
2004-06-13 - 2004-06-19,32
2004-06-20 - 2004-06-26,33
2004-06-27 - 2004-07-03,28
2004-07-04 - 2004-07-10,31
2004-07-11 - 2004-07-17,34
2004-07-18 - 2004-07-24,31
2004-07-25 - 2004-07-31,31
2004-08-01 - 2004-08-07,33
2004-08-08 - 2004-08-14,31
2004-08-15 - 2004-08-21,29
2004-08-22 - 2004-08-28,29
2004-08-29 - 2004-09-04,28
2004-09-05 - 2004-09-11,36
2004-09-12 - 2004-09-18,30
2004-09-19 - 2004-09-25,31
2004-09-26 - 2004-10-02,32
2004-10-03 - 2004-10-09,34
2004-10-10 - 2004-10-16,32
2004-10-17 - 2004-10-23,28
2004-10-24 - 2004-10-30,33
2004-10-31 - 2004-11-06,30
2004-11-07 - 2004-11-13,36
2004-11-14 - 2004-11-20,32
2004-11-21 - 2004-11-27,31
2004-11-28 - 2004-12-04,30
2004-12-05 - 2004-12-11,33
2004-12-12 - 2004-12-18,34
2004-12-19 - 2004-12-25,30
2004-12-26 - 2005-01-01,34
2005-01-02 - 2005-01-08,31
2005-01-09 - 2005-01-15,33
2005-01-16 - 2005-01-22,35
2005-01-23 - 2005-01-29,28
2005-01-30 - 2005-02-05,30
2005-02-06 - 2005-02-12,33
2005-02-13 - 2005-02-19,34
2005-02-20 - 2005-02-26,32
2005-02-27 - 2005-03-05,33
2005-03-06 - 2005-03-12,34
2005-03-13 - 2005-03-19,34
2005-03-20 - 2005-03-26,30
2005-03-27 - 2005-04-02,35
2005-04-03 - 2005-04-09,33
2005-04-10 - 2005-04-16,36
2005-04-17 - 2005-04-23,31
2005-04-24 - 2005-04-30,38
2005-05-01 - 2005-05-07,31
2005-05-08 - 2005-05-14,35
2005-05-15 - 2005-05-21,35
2005-05-22 - 2005-05-28,40
2005-05-29 - 2005-06-04,35
2005-06-05 - 2005-06-11,34
2005-06-12 - 2005-06-18,35
2005-06-19 - 2005-06-25,40
2005-06-26 - 2005-07-02,38
2005-07-03 - 2005-07-09,36
2005-07-10 - 2005-07-16,31
2005-07-17 - 2005-07-23,40
2005-07-24 - 2005-07-30,35
2005-07-31 - 2005-08-06,32
2005-08-07 - 2005-08-13,39
2005-08-14 - 2005-08-20,30
2005-08-21 - 2005-08-27,37
2005-08-28 - 2005-09-03,38
2005-09-04 - 2005-09-10,39
2005-09-11 - 2005-09-17,33
2005-09-18 - 2005-09-24,35
2005-09-25 - 2005-10-01,36
2005-10-02 - 2005-10-08,35
2005-10-09 - 2005-10-15,37
2005-10-16 - 2005-10-22,37
