Web Search interest: ge
Worldwide 2004 - present

Interest over time
Week,ge
2004-01-04 - 2004-01-10,80
2004-01-11 - 2004-01-17,81
2004-01-18 - 2004-01-24,80
2004-01-25 - 2004-01-31,81
2004-02-01 - 2004-02-07,81
2004-02-08 - 2004-02-14,79
2004-02-15 - 2004-02-21,80
2004-02-22 - 2004-02-28,79
2004-02-29 - 2004-03-06,81
2004-03-07 - 2004-03-13,76
2004-03-14 - 2004-03-20,78
2004-03-21 - 2004-03-27,73
2004-03-28 - 2004-04-03,75
2004-04-04 - 2004-04-10,80
2004-04-11 - 2004-04-17,71
2004-04-18 - 2004-04-24,76
2004-04-25 - 2004-05-01,77
2004-05-02 - 2004-05-08,77
2004-05-09 - 2004-05-15,78
2004-05-16 - 2004-05-22,77
2004-05-23 - 2004-05-29,80
2004-05-30 - 2004-06-05,78
2004-06-06 - 2004-06-12,81
2004-06-13 - 2004-06-19,77
2004-06-20 - 2004-06-26,77
2004-06-27 - 2004-07-03,77
2004-07-04 - 2004-07-10,81
2004-07-11 - 2004-07-17,82
2004-07-18 - 2004-07-24,83
2004-07-25 - 2004-07-31,82
2004-08-01 - 2004-08-07,86
2004-08-08 - 2004-08-14,83
2004-08-15 - 2004-08-21,82
2004-08-22 - 2004-08-28,82
2004-08-29 - 2004-09-04,80
2004-09-05 - 2004-09-11,77
2004-09-12 - 2004-09-18,78
2004-09-19 - 2004-09-25,80
2004-09-26 - 2004-10-02,77
2004-10-03 - 2004-10-09,75
2004-10-10 - 2004-10-16,81
2004-10-17 - 2004-10-23,80
2004-10-24 - 2004-10-30,80
2004-10-31 - 2004-11-06,77
2004-11-07 - 2004-11-13,75
2004-11-14 - 2004-11-20,83
2004-11-21 - 2004-11-27,81
2004-11-28 - 2004-12-04,81
2004-12-05 - 2004-12-11,80
2004-12-12 - 2004-12-18,77
2004-12-19 - 2004-12-25,75
2004-12-26 - 2005-01-01,81
2005-01-02 - 2005-01-08,81
2005-01-09 - 2005-01-15,78
2005-01-16 - 2005-01-22,82
2005-01-23 - 2005-01-29,82
2005-01-30 - 2005-02-05,80
2005-02-06 - 2005-02-12,79
2005-02-13 - 2005-02-19,81
2005-02-20 - 2005-02-26,85
2005-02-27 - 2005-03-05,78
2005-03-06 - 2005-03-12,80
2005-03-13 - 2005-03-19,77
2005-03-20 - 2005-03-26,77
2005-03-27 - 2005-04-02,78
2005-04-03 - 2005-04-09,78
2005-04-10 - 2005-04-16,76
2005-04-17 - 2005-04-23,75
2005-04-24 - 2005-04-30,78
2005-05-01 - 2005-05-07,78
2005-05-08 - 2005-05-14,77
2005-05-15 - 2005-05-21,80
2005-05-22 - 2005-05-28,79
2005-05-29 - 2005-06-04,75
2005-06-05 - 2005-06-11,80
2005-06-12 - 2005-06-18,81
2005-06-19 - 2005-06-25,86
2005-06-26 - 2005-07-02,81
2005-07-03 - 2005-07-09,77
2005-07-10 - 2005-07-16,86
2005-07-17 - 2005-07-23,82
2005-07-24 - 2005-07-30,83
2005-07-31 - 2005-08-06,81
2005-08-07 - 2005-08-13,81
2005-08-14 - 2005-08-20,83
2005-08-21 - 2005-08-27,81
2005-08-28 - 2005-09-03,79
2005-09-04 - 2005-09-10,75
2005-09-11 - 2005-09-17,79
2005-09-18 - 2005-09-24,78
2005-09-25 - 2005-10-01,79
2005-10-02 - 2005-10-08,80
2005-10-09 - 2005-10-15,80
