Web Search interest: goog
Worldwide 2004 - present

Interest over time
Week,goog
2004-01-04 - 2004-01-10,7
2004-01-11 - 2004-01-17,6
2004-01-18 - 2004-01-24,7
2004-01-25 - 2004-01-31,6
2004-02-01 - 2004-02-07,7
2004-02-08 - 2004-02-14,6
2004-02-15 - 2004-02-21,5
2004-02-22 - 2004-02-28,6
2004-02-29 - 2004-03-06,6
2004-03-07 - 2004-03-13,8
2004-03-14 - 2004-03-20,6
2004-03-21 - 2004-03-27,8
2004-03-28 - 2004-04-03,7
2004-04-04 - 2004-04-10,8
2004-04-11 - 2004-04-17,5
2004-04-18 - 2004-04-24,6
2004-04-25 - 2004-05-01,6
2004-05-02 - 2004-05-08,6
2004-05-09 - 2004-05-15,5
2004-05-16 - 2004-05-22,7
2004-05-23 - 2004-05-29,6
2004-05-30 - 2004-06-05,7
2004-06-06 - 2004-06-12,6
2004-06-13 - 2004-06-19,5
2004-06-20 - 2004-06-26,5
2004-06-27 - 2004-07-03,6
2004-07-04 - 2004-07-10,6
2004-07-11 - 2004-07-17,6
2004-07-18 - 2004-07-24,6
2004-07-25 - 2004-07-31,12
2004-08-01 - 2004-08-07,9
2004-08-08 - 2004-08-14,10
2004-08-15 - 2004-08-21,52
2004-08-22 - 2004-08-28,30
2004-08-29 - 2004-09-04,21
2004-09-05 - 2004-09-11,16
2004-09-12 - 2004-09-18,16
2004-09-19 - 2004-09-25,15
2004-09-26 - 2004-10-02,15
2004-10-03 - 2004-10-09,15
2004-10-10 - 2004-10-16,16
2004-10-17 - 2004-10-23,21
2004-10-24 - 2004-10-30,23
2004-10-31 - 2004-11-06,20
2004-11-07 - 2004-11-13,19
2004-11-14 - 2004-11-20,19
2004-11-21 - 2004-11-27,18
2004-11-28 - 2004-12-04,16
2004-12-05 - 2004-12-11,16
2004-12-12 - 2004-12-18,16
2004-12-19 - 2004-12-25,15
2004-12-26 - 2005-01-01,14
2005-01-02 - 2005-01-08,16
2005-01-09 - 2005-01-15,14
2005-01-16 - 2005-01-22,15
2005-01-23 - 2005-01-29,15
2005-01-30 - 2005-02-05,21
2005-02-06 - 2005-02-12,18
2005-02-13 - 2005-02-19,17
2005-02-20 - 2005-02-26,16
2005-02-27 - 2005-03-05,14
2005-03-06 - 2005-03-12,16
2005-03-13 - 2005-03-19,16
2005-03-20 - 2005-03-26,15
2005-03-27 - 2005-04-02,18
2005-04-03 - 2005-04-09,25
2005-04-10 - 2005-04-16,19
2005-04-17 - 2005-04-23,23
2005-04-24 - 2005-04-30,23
2005-05-01 - 2005-05-07,22
2005-05-08 - 2005-05-14,22
2005-05-15 - 2005-05-21,25
2005-05-22 - 2005-05-28,35
2005-05-29 - 2005-06-04,33
2005-06-05 - 2005-06-11,37
2005-06-12 - 2005-06-18,30
2005-06-19 - 2005-06-25,29
2005-06-26 - 2005-07-02,35
2005-07-03 - 2005-07-09,26
2005-07-10 - 2005-07-16,30
2005-07-17 - 2005-07-23,40
2005-07-24 - 2005-07-30,48
2005-07-31 - 2005-08-06,31
2005-08-07 - 2005-08-13,29
2005-08-14 - 2005-08-20,31
2005-08-21 - 2005-08-27,30
2005-08-28 - 2005-09-03,24
2005-09-04 - 2005-09-10,25
2005-09-11 - 2005-09-17,30
2005-09-18 - 2005-09-24,31
2005-09-25 - 2005-10-01,31
2005-10-02 - 2005-10-08,31
