Web Search interest: incy
Worldwide 2004 - present

Interest over time
Week,incy
2004-01-04 - 2004-01-10,27
2004-01-11 - 2004-01-17,29
2004-01-18 - 2004-01-24,17
2004-01-25 - 2004-01-31,22
2004-02-01 - 2004-02-07,23
2004-02-08 - 2004-02-14,27
2004-02-15 - 2004-02-21,27
2004-02-22 - 2004-02-28,25
2004-02-29 - 2004-03-06,18
2004-03-07 - 2004-03-13,77
2004-03-14 - 2004-03-20,21
2004-03-21 - 2004-03-27,20
2004-03-28 - 2004-04-03,20
2004-04-04 - 2004-04-10,11
2004-04-11 - 2004-04-17,30
2004-04-18 - 2004-04-24,19
2004-04-25 - 2004-05-01,23
2004-05-02 - 2004-05-08,26
2004-05-09 - 2004-05-15,38
2004-05-16 - 2004-05-22,16
2004-05-23 - 2004-05-29,13
2004-05-30 - 2004-06-05,26
2004-06-06 - 2004-06-12,13
2004-06-13 - 2004-06-19,29
2004-06-20 - 2004-06-26,16
2004-06-27 - 2004-07-03,30
2004-07-04 - 2004-07-10,20
2004-07-11 - 2004-07-17,18
2004-07-18 - 2004-07-24,15
2004-07-25 - 2004-07-31,25
2004-08-01 - 2004-08-07,20
2004-08-08 - 2004-08-14,23
2004-08-15 - 2004-08-21,24
2004-08-22 - 2004-08-28,14
2004-08-29 - 2004-09-04,15
2004-09-05 - 2004-09-11,24
2004-09-12 - 2004-09-18,14
2004-09-19 - 2004-09-25,21
2004-09-26 - 2004-10-02,21
2004-10-03 - 2004-10-09,19
2004-10-10 - 2004-10-16,27
2004-10-17 - 2004-10-23,24
2004-10-24 - 2004-10-30,14
2004-10-31 - 2004-11-06,24
2004-11-07 - 2004-11-13,12
2004-11-14 - 2004-11-20,21
2004-11-21 - 2004-11-27,11
2004-11-28 - 2004-12-04,27
2004-12-05 - 2004-12-11,23
2004-12-12 - 2004-12-18,23
2004-12-19 - 2004-12-25,21
2004-12-26 - 2005-01-01,11
2005-01-02 - 2005-01-08,15
2005-01-09 - 2005-01-15,18
2005-01-16 - 2005-01-22,17
2005-01-23 - 2005-01-29,14
2005-01-30 - 2005-02-05,26
2005-02-06 - 2005-02-12,21
2005-02-13 - 2005-02-19,18
2005-02-20 - 2005-02-26,15
2005-02-27 - 2005-03-05,7
2005-03-06 - 2005-03-12,26
2005-03-13 - 2005-03-19,15
2005-03-20 - 2005-03-26,23
2005-03-27 - 2005-04-02,13
2005-04-03 - 2005-04-09,16
2005-04-10 - 2005-04-16,13
2005-04-17 - 2005-04-23,24
2005-04-24 - 2005-04-30,15
2005-05-01 - 2005-05-07,22
2005-05-08 - 2005-05-14,29
2005-05-15 - 2005-05-21,17
2005-05-22 - 2005-05-28,24
2005-05-29 - 2005-06-04,38
2005-06-05 - 2005-06-11,6
2005-06-12 - 2005-06-18,25
2005-06-19 - 2005-06-25,15
2005-06-26 - 2005-07-02,28
2005-07-03 - 2005-07-09,22
2005-07-10 - 2005-07-16,24
2005-07-17 - 2005-07-23,15
2005-07-24 - 2005-07-30,23
2005-07-31 - 2005-08-06,17
2005-08-07 - 2005-08-13,13
2005-08-14 - 2005-08-20,17
2005-08-21 - 2005-08-27,24
2005-08-28 - 2005-09-03,14
2005-09-04 - 2005-09-10,27
2005-09-11 - 2005-09-17,26
2005-09-18 - 2005-09-24,26
2005-09-25 - 2005-10-01,34
2005-10-02 - 2005-10-08,14
2005-10-09 - 2005-10-15,21
2005-10-16 - 2005-10-22,21
2005-10-23 - 2005-10-29,19
2005-10-30 - 2005-11-05,12
2005-11-06 - 2005-11-12,28
2005-11-13 - 2005-11-19,31
2005-11-20 - 2005-11-26,48
2005-11-27 - 2005-12-03,24
2005-12-04 - 2005-12-10,20
2005-12-11 - 2005-12-17,20
2005-12-18 - 2005-12-24,11
2005-12-25 - 2005-12-31,37
2006-01-01 - 2006-01-07,16
2006-01-08 - 2006-01-14,28
2006-01-15 - 2006-01-21,24
2006-01-22 - 2006-01-28,18
2006-01-29 - 2006-02-04,19
2006-02-05 - 2006-02-11,26
2006-02-12 - 2006-02-18,16
2006-02-19 - 2006-02-25,30
2006-02-26 - 2006-03-04,24
2006-03-05 - 2006-03-11,25
2006-03-12 - 2006-03-18,25
2006-03-19 - 2006-03-25,41
2006-03-26 - 2006-04-01,22
