Web Search interest: kr
Worldwide 2004 - present

Interest over time
Week,kr
2004-01-04 - 2004-01-10,79
2004-01-11 - 2004-01-17,78
2004-01-18 - 2004-01-24,63
2004-01-25 - 2004-01-31,75
2004-02-01 - 2004-02-07,76
2004-02-08 - 2004-02-14,100
2004-02-15 - 2004-02-21,72
2004-02-22 - 2004-02-28,74
2004-02-29 - 2004-03-06,63
2004-03-07 - 2004-03-13,61
2004-03-14 - 2004-03-20,53
2004-03-21 - 2004-03-27,59
2004-03-28 - 2004-04-03,61
2004-04-04 - 2004-04-10,61
2004-04-11 - 2004-04-17,58
2004-04-18 - 2004-04-24,52
2004-04-25 - 2004-05-01,58
2004-05-02 - 2004-05-08,51
2004-05-09 - 2004-05-15,50
2004-05-16 - 2004-05-22,50
2004-05-23 - 2004-05-29,51
2004-05-30 - 2004-06-05,49
2004-06-06 - 2004-06-12,50
2004-06-13 - 2004-06-19,51
2004-06-20 - 2004-06-26,49
2004-06-27 - 2004-07-03,45
2004-07-04 - 2004-07-10,47
2004-07-11 - 2004-07-17,43
2004-07-18 - 2004-07-24,41
2004-07-25 - 2004-07-31,33
2004-08-01 - 2004-08-07,34
2004-08-08 - 2004-08-14,36
2004-08-15 - 2004-08-21,31
2004-08-22 - 2004-08-28,38
2004-08-29 - 2004-09-04,31
2004-09-05 - 2004-09-11,37
2004-09-12 - 2004-09-18,33
2004-09-19 - 2004-09-25,41
2004-09-26 - 2004-10-02,32
2004-10-03 - 2004-10-09,32
2004-10-10 - 2004-10-16,29
2004-10-17 - 2004-10-23,34
2004-10-24 - 2004-10-30,31
2004-10-31 - 2004-11-06,34
2004-11-07 - 2004-11-13,34
2004-11-14 - 2004-11-20,30
2004-11-21 - 2004-11-27,33
2004-11-28 - 2004-12-04,34
2004-12-05 - 2004-12-11,35
2004-12-12 - 2004-12-18,33
2004-12-19 - 2004-12-25,34
2004-12-26 - 2005-01-01,36
2005-01-02 - 2005-01-08,36
2005-01-09 - 2005-01-15,37
2005-01-16 - 2005-01-22,34
2005-01-23 - 2005-01-29,35
2005-01-30 - 2005-02-05,34
2005-02-06 - 2005-02-12,34
2005-02-13 - 2005-02-19,35
2005-02-20 - 2005-02-26,34
2005-02-27 - 2005-03-05,33
2005-03-06 - 2005-03-12,34
2005-03-13 - 2005-03-19,35
2005-03-20 - 2005-03-26,30
2005-03-27 - 2005-04-02,37
2005-04-03 - 2005-04-09,36
2005-04-10 - 2005-04-16,35
2005-04-17 - 2005-04-23,34
2005-04-24 - 2005-04-30,35
2005-05-01 - 2005-05-07,34
2005-05-08 - 2005-05-14,36
2005-05-15 - 2005-05-21,35
2005-05-22 - 2005-05-28,34
2005-05-29 - 2005-06-04,32
2005-06-05 - 2005-06-11,35
2005-06-12 - 2005-06-18,32
2005-06-19 - 2005-06-25,36
2005-06-26 - 2005-07-02,34
2005-07-03 - 2005-07-09,36
2005-07-10 - 2005-07-16,34
2005-07-17 - 2005-07-23,38
2005-07-24 - 2005-07-30,32
2005-07-31 - 2005-08-06,34
2005-08-07 - 2005-08-13,37
2005-08-14 - 2005-08-20,37
2005-08-21 - 2005-08-27,34
2005-08-28 - 2005-09-03,36
2005-09-04 - 2005-09-10,37
2005-09-11 - 2005-09-17,37
2005-09-18 - 2005-09-24,35
2005-09-25 - 2005-10-01,35
2005-10-02 - 2005-10-08,38
2005-10-09 - 2005-10-15,33
2005-10-16 - 2005-10-22,33
2005-10-23 - 2005-10-29,36
2005-10-30 - 2005-11-05,35
2005-11-06 - 2005-11-12,37
2005-11-13 - 2005-11-19,36
2005-11-20 - 2005-11-26,38
2005-11-27 - 2005-12-03,36
2005-12-04 - 2005-12-10,36
2005-12-11 - 2005-12-17,34
2005-12-18 - 2005-12-24,34
2005-12-25 - 2005-12-31,34
2006-01-01 - 2006-01-07,35
2006-01-08 - 2006-01-14,39
2006-01-15 - 2006-01-21,37
2006-01-22 - 2006-01-28,37
2006-01-29 - 2006-02-04,37
2006-02-05 - 2006-02-11,38
2006-02-12 - 2006-02-18,35
2006-02-19 - 2006-02-25,36
2006-02-26 - 2006-03-04,38
2006-03-05 - 2006-03-11,40
2006-03-12 - 2006-03-18,38
2006-03-19 - 2006-03-25,36
2006-03-26 - 2006-04-01,40
2006-04-02 - 2006-04-08,39
2006-04-09 - 2006-04-15,35
2006-04-16 - 2006-04-22,36
2006-04-23 - 2006-04-29,41
2006-04-30 - 2006-05-06,37
2006-05-07 - 2006-05-13,37
2006-05-14 - 2006-05-20,37
2006-05-21 - 2006-05-27,39
2006-05-28 - 2006-06-03,36
2006-06-04 - 2006-06-10,38
2006-06-11 - 2006-06-17,37
2006-06-18 - 2006-06-24,38
2006-06-25 - 2006-07-01,38
2006-07-02 - 2006-07-08,37
2006-07-09 - 2006-07-15,35
2006-07-16 - 2006-07-22,45
2006-07-23 - 2006-07-29,41
2006-07-30 - 2006-08-05,37
2006-08-06 - 2006-08-12,41
2006-08-13 - 2006-08-19,39
2006-08-20 - 2006-08-26,39
2006-08-27 - 2006-09-02,37
2006-09-03 - 2006-09-09,40
2006-09-10 - 2006-09-16,39
2006-09-17 - 2006-09-23,38
2006-09-24 - 2006-09-30,39
2006-10-01 - 2006-10-07,40
2006-10-08 - 2006-10-14,44
2006-10-15 - 2006-10-21,38
2006-10-22 - 2006-10-28,38
2006-10-29 - 2006-11-04,41
2006-11-05 - 2006-11-11,39
2006-11-12 - 2006-11-18,40
2006-11-19 - 2006-11-25,40
2006-11-26 - 2006-12-02,41
2006-12-03 - 2006-12-09,41
2006-12-10 - 2006-12-16,43
2006-12-17 - 2006-12-23,42
2006-12-24 - 2006-12-30,45
2006-12-31 - 2007-01-06,42
2007-01-07 - 2007-01-13,41
2007-01-14 - 2007-01-20,42
2007-01-21 - 2007-01-27,42
2007-01-28 - 2007-02-03,45
2007-02-04 - 2007-02-10,43
2007-02-11 - 2007-02-17,44
2007-02-18 - 2007-02-24,43
2007-02-25 - 2007-03-03,42
2007-03-04 - 2007-03-10,43
2007-03-11 - 2007-03-17,43
2007-03-18 - 2007-03-24,42
2007-03-25 - 2007-03-31,43
2007-04-01 - 2007-04-07,48
2007-04-08 - 2007-04-14,45
2007-04-15 - 2007-04-21,45
2007-04-22 - 2007-04-28,50
2007-04-29 - 2007-05-05,44
2007-05-06 - 2007-05-12,46
2007-05-13 - 2007-05-19,46
2007-05-20 - 2007-05-26,44
2007-05-27 - 2007-06-02,45
2007-06-03 - 2007-06-09,45
2007-06-10 - 2007-06-16,47
2007-06-17 - 2007-06-23,45
