Web Search interest: mrk
Worldwide 2004 - present

Interest over time
Week,mrk
2004-01-04 - 2004-01-10,36
2004-01-11 - 2004-01-17,35
2004-01-18 - 2004-01-24,27
2004-01-25 - 2004-01-31,28
2004-02-01 - 2004-02-07,36
2004-02-08 - 2004-02-14,28
2004-02-15 - 2004-02-21,24
2004-02-22 - 2004-02-28,41
2004-02-29 - 2004-03-06,33
2004-03-07 - 2004-03-13,25
2004-03-14 - 2004-03-20,26
2004-03-21 - 2004-03-27,26
2004-03-28 - 2004-04-03,29
2004-04-04 - 2004-04-10,35
2004-04-11 - 2004-04-17,26
2004-04-18 - 2004-04-24,29
2004-04-25 - 2004-05-01,29
2004-05-02 - 2004-05-08,28
2004-05-09 - 2004-05-15,36
2004-05-16 - 2004-05-22,29
2004-05-23 - 2004-05-29,24
2004-05-30 - 2004-06-05,31
2004-06-06 - 2004-06-12,38
2004-06-13 - 2004-06-19,28
2004-06-20 - 2004-06-26,26
2004-06-27 - 2004-07-03,13
2004-07-04 - 2004-07-10,21
2004-07-11 - 2004-07-17,25
2004-07-18 - 2004-07-24,33
2004-07-25 - 2004-07-31,24
2004-08-01 - 2004-08-07,21
2004-08-08 - 2004-08-14,28
2004-08-15 - 2004-08-21,38
2004-08-22 - 2004-08-28,35
2004-08-29 - 2004-09-04,24
2004-09-05 - 2004-09-11,28
2004-09-12 - 2004-09-18,33
2004-09-19 - 2004-09-25,29
2004-09-26 - 2004-10-02,78
2004-10-03 - 2004-10-09,74
2004-10-10 - 2004-10-16,65
2004-10-17 - 2004-10-23,56
2004-10-24 - 2004-10-30,50
2004-10-31 - 2004-11-06,68
2004-11-07 - 2004-11-13,47
2004-11-14 - 2004-11-20,66
2004-11-21 - 2004-11-27,48
2004-11-28 - 2004-12-04,55
2004-12-05 - 2004-12-11,47
2004-12-12 - 2004-12-18,48
2004-12-19 - 2004-12-25,33
2004-12-26 - 2005-01-01,47
2005-01-02 - 2005-01-08,45
2005-01-09 - 2005-01-15,43
2005-01-16 - 2005-01-22,31
2005-01-23 - 2005-01-29,41
2005-01-30 - 2005-02-05,40
2005-02-06 - 2005-02-12,30
2005-02-13 - 2005-02-19,48
2005-02-20 - 2005-02-26,54
2005-02-27 - 2005-03-05,37
2005-03-06 - 2005-03-12,40
2005-03-13 - 2005-03-19,45
2005-03-20 - 2005-03-26,33
2005-03-27 - 2005-04-02,34
2005-04-03 - 2005-04-09,59
2005-04-10 - 2005-04-16,51
2005-04-17 - 2005-04-23,61
2005-04-24 - 2005-04-30,47
2005-05-01 - 2005-05-07,48
2005-05-08 - 2005-05-14,45
2005-05-15 - 2005-05-21,50
2005-05-22 - 2005-05-28,46
2005-05-29 - 2005-06-04,42
2005-06-05 - 2005-06-11,37
2005-06-12 - 2005-06-18,42
2005-06-19 - 2005-06-25,40
2005-06-26 - 2005-07-02,38
2005-07-03 - 2005-07-09,46
2005-07-10 - 2005-07-16,44
2005-07-17 - 2005-07-23,48
2005-07-24 - 2005-07-30,51
2005-07-31 - 2005-08-06,76
2005-08-07 - 2005-08-13,45
2005-08-14 - 2005-08-20,87
2005-08-21 - 2005-08-27,81
2005-08-28 - 2005-09-03,58
2005-09-04 - 2005-09-10,60
2005-09-11 - 2005-09-17,60
2005-09-18 - 2005-09-24,42
2005-09-25 - 2005-10-01,46
2005-10-02 - 2005-10-08,82
2005-10-09 - 2005-10-15,53
2005-10-16 - 2005-10-22,55
2005-10-23 - 2005-10-29,62
2005-10-30 - 2005-11-05,100
2005-11-06 - 2005-11-12,65
2005-11-13 - 2005-11-19,64
2005-11-20 - 2005-11-26,49
2005-11-27 - 2005-12-03,72
2005-12-04 - 2005-12-10,59
2005-12-11 - 2005-12-17,59
2005-12-18 - 2005-12-24,71
2005-12-25 - 2005-12-31,56
2006-01-01 - 2006-01-07,61
2006-01-08 - 2006-01-14,50
2006-01-15 - 2006-01-21,51
2006-01-22 - 2006-01-28,51
2006-01-29 - 2006-02-04,52
2006-02-05 - 2006-02-11,59
2006-02-12 - 2006-02-18,51
