Web Search interest: nbl
Worldwide 2004 - present

Interest over time
Week,nbl
2004-01-04 - 2004-01-10,37
2004-01-11 - 2004-01-17,39
2004-01-18 - 2004-01-24,29
2004-01-25 - 2004-01-31,33
2004-02-01 - 2004-02-07,47
2004-02-08 - 2004-02-14,37
2004-02-15 - 2004-02-21,41
2004-02-22 - 2004-02-28,36
2004-02-29 - 2004-03-06,36
2004-03-07 - 2004-03-13,40
2004-03-14 - 2004-03-20,47
2004-03-21 - 2004-03-27,38
2004-03-28 - 2004-04-03,44
2004-04-04 - 2004-04-10,52
2004-04-11 - 2004-04-17,33
2004-04-18 - 2004-04-24,29
2004-04-25 - 2004-05-01,28
2004-05-02 - 2004-05-08,26
2004-05-09 - 2004-05-15,29
2004-05-16 - 2004-05-22,28
2004-05-23 - 2004-05-29,17
2004-05-30 - 2004-06-05,25
2004-06-06 - 2004-06-12,29
2004-06-13 - 2004-06-19,28
2004-06-20 - 2004-06-26,31
2004-06-27 - 2004-07-03,32
2004-07-04 - 2004-07-10,25
2004-07-11 - 2004-07-17,26
2004-07-18 - 2004-07-24,22
2004-07-25 - 2004-07-31,25
2004-08-01 - 2004-08-07,26
2004-08-08 - 2004-08-14,26
2004-08-15 - 2004-08-21,23
2004-08-22 - 2004-08-28,25
2004-08-29 - 2004-09-04,23
2004-09-05 - 2004-09-11,31
2004-09-12 - 2004-09-18,27
2004-09-19 - 2004-09-25,34
2004-09-26 - 2004-10-02,65
2004-10-03 - 2004-10-09,55
2004-10-10 - 2004-10-16,54
2004-10-17 - 2004-10-23,65
2004-10-24 - 2004-10-30,43
2004-10-31 - 2004-11-06,39
2004-11-07 - 2004-11-13,45
2004-11-14 - 2004-11-20,34
2004-11-21 - 2004-11-27,44
2004-11-28 - 2004-12-04,31
2004-12-05 - 2004-12-11,43
2004-12-12 - 2004-12-18,51
2004-12-19 - 2004-12-25,35
2004-12-26 - 2005-01-01,42
2005-01-02 - 2005-01-08,37
2005-01-09 - 2005-01-15,45
2005-01-16 - 2005-01-22,38
2005-01-23 - 2005-01-29,45
2005-01-30 - 2005-02-05,40
2005-02-06 - 2005-02-12,45
2005-02-13 - 2005-02-19,52
2005-02-20 - 2005-02-26,46
2005-02-27 - 2005-03-05,50
2005-03-06 - 2005-03-12,34
2005-03-13 - 2005-03-19,36
2005-03-20 - 2005-03-26,29
2005-03-27 - 2005-04-02,27
2005-04-03 - 2005-04-09,33
2005-04-10 - 2005-04-16,24
2005-04-17 - 2005-04-23,30
2005-04-24 - 2005-04-30,32
2005-05-01 - 2005-05-07,37
2005-05-08 - 2005-05-14,22
2005-05-15 - 2005-05-21,27
2005-05-22 - 2005-05-28,29
2005-05-29 - 2005-06-04,28
2005-06-05 - 2005-06-11,36
2005-06-12 - 2005-06-18,25
2005-06-19 - 2005-06-25,36
2005-06-26 - 2005-07-02,26
2005-07-03 - 2005-07-09,27
2005-07-10 - 2005-07-16,27
2005-07-17 - 2005-07-23,25
2005-07-24 - 2005-07-30,27
2005-07-31 - 2005-08-06,28
2005-08-07 - 2005-08-13,28
2005-08-14 - 2005-08-20,26
2005-08-21 - 2005-08-27,30
2005-08-28 - 2005-09-03,59
2005-09-04 - 2005-09-10,63
2005-09-11 - 2005-09-17,51
2005-09-18 - 2005-09-24,50
2005-09-25 - 2005-10-01,52
2005-10-02 - 2005-10-08,58
2005-10-09 - 2005-10-15,63
2005-10-16 - 2005-10-22,64
2005-10-23 - 2005-10-29,61
2005-10-30 - 2005-11-05,50
2005-11-06 - 2005-11-12,47
2005-11-13 - 2005-11-19,53
2005-11-20 - 2005-11-26,50
2005-11-27 - 2005-12-03,52
2005-12-04 - 2005-12-10,44
2005-12-11 - 2005-12-17,50
2005-12-18 - 2005-12-24,46
2005-12-25 - 2005-12-31,42
2006-01-01 - 2006-01-07,48
2006-01-08 - 2006-01-14,49
2006-01-15 - 2006-01-21,38
2006-01-22 - 2006-01-28,39
2006-01-29 - 2006-02-04,44
2006-02-05 - 2006-02-11,48
2006-02-12 - 2006-02-18,54
2006-02-19 - 2006-02-25,35
2006-02-26 - 2006-03-04,50
2006-03-05 - 2006-03-11,29
2006-03-12 - 2006-03-18,25
2006-03-19 - 2006-03-25,26
2006-03-26 - 2006-04-01,30
2006-04-02 - 2006-04-08,31
2006-04-09 - 2006-04-15,29
2006-04-16 - 2006-04-22,30
2006-04-23 - 2006-04-29,27
2006-04-30 - 2006-05-06,35
2006-05-07 - 2006-05-13,34
2006-05-14 - 2006-05-20,28
2006-05-21 - 2006-05-27,32
2006-05-28 - 2006-06-03,27
2006-06-04 - 2006-06-10,30
2006-06-11 - 2006-06-17,26
2006-06-18 - 2006-06-24,28
2006-06-25 - 2006-07-01,21
2006-07-02 - 2006-07-08,30
2006-07-09 - 2006-07-15,31
2006-07-16 - 2006-07-22,32
2006-07-23 - 2006-07-29,22
2006-07-30 - 2006-08-05,26
2006-08-06 - 2006-08-12,27
2006-08-13 - 2006-08-19,32
2006-08-20 - 2006-08-26,35
2006-08-27 - 2006-09-02,25
2006-09-03 - 2006-09-09,30
2006-09-10 - 2006-09-16,34
2006-09-17 - 2006-09-23,52
2006-09-24 - 2006-09-30,71
2006-10-01 - 2006-10-07,68
2006-10-08 - 2006-10-14,75
2006-10-15 - 2006-10-21,81
2006-10-22 - 2006-10-28,68
2006-10-29 - 2006-11-04,74
2006-11-05 - 2006-11-11,63
2006-11-12 - 2006-11-18,61
2006-11-19 - 2006-11-25,61
2006-11-26 - 2006-12-02,60
2006-12-03 - 2006-12-09,53
2006-12-10 - 2006-12-16,54
2006-12-17 - 2006-12-23,72
2006-12-24 - 2006-12-30,65
2006-12-31 - 2007-01-06,69
2007-01-07 - 2007-01-13,60
2007-01-14 - 2007-01-20,54
2007-01-21 - 2007-01-27,52
2007-01-28 - 2007-02-03,54
2007-02-04 - 2007-02-10,54
2007-02-11 - 2007-02-17,65
2007-02-18 - 2007-02-24,70
2007-02-25 - 2007-03-03,50
2007-03-04 - 2007-03-10,74
2007-03-11 - 2007-03-17,34
2007-03-18 - 2007-03-24,23
2007-03-25 - 2007-03-31,26
2007-04-01 - 2007-04-07,35
2007-04-08 - 2007-04-14,28
2007-04-15 - 2007-04-21,33
2007-04-22 - 2007-04-28,34
2007-04-29 - 2007-05-05,28
2007-05-06 - 2007-05-12,28
2007-05-13 - 2007-05-19,33
2007-05-20 - 2007-05-26,33
2007-05-27 - 2007-06-02,27
2007-06-03 - 2007-06-09,30
2007-06-10 - 2007-06-16,25
2007-06-17 - 2007-06-23,26
2007-06-24 - 2007-06-30,27
2007-07-01 - 2007-07-07,25
2007-07-08 - 2007-07-14,27
2007-07-15 - 2007-07-21,27
2007-07-22 - 2007-07-28,25
2007-07-29 - 2007-08-04,26
2007-08-05 - 2007-08-11,23
2007-08-12 - 2007-08-18,26
2007-08-19 - 2007-08-25,27
2007-08-26 - 2007-09-01,23
2007-09-02 - 2007-09-08,31
2007-09-09 - 2007-09-15,38
2007-09-16 - 2007-09-22,84
2007-09-23 - 2007-09-29,63
2007-09-30 - 2007-10-06,76
2007-10-07 - 2007-10-13,62
2007-10-14 - 2007-10-20,64
2007-10-21 - 2007-10-27,64
2007-10-28 - 2007-11-03,63
2007-11-04 - 2007-11-10,57
2007-11-11 - 2007-11-17,54
2007-11-18 - 2007-11-24,50
2007-11-25 - 2007-12-01,67
2007-12-02 - 2007-12-08,57
2007-12-09 - 2007-12-15,50
2007-12-16 - 2007-12-22,63
2007-12-23 - 2007-12-29,57
2007-12-30 - 2008-01-05,58
2008-01-06 - 2008-01-12,50
2008-01-13 - 2008-01-19,46
2008-01-20 - 2008-01-26,51
2008-01-27 - 2008-02-02,56
2008-02-03 - 2008-02-09,53
2008-02-10 - 2008-02-16,56
2008-02-17 - 2008-02-23,50
2008-02-24 - 2008-03-01,57
2008-03-02 - 2008-03-08,50
2008-03-09 - 2008-03-15,72
2008-03-16 - 2008-03-22,26
2008-03-23 - 2008-03-29,25
2008-03-30 - 2008-04-05,29
2008-04-06 - 2008-04-12,26
2008-04-13 - 2008-04-19,26
2008-04-20 - 2008-04-26,29
2008-04-27 - 2008-05-03,28
2008-05-04 - 2008-05-10,29
2008-05-11 - 2008-05-17,29
2008-05-18 - 2008-05-24,31
2008-05-25 - 2008-05-31,31
2008-06-01 - 2008-06-07,32
2008-06-08 - 2008-06-14,30
2008-06-15 - 2008-06-21,32
2008-06-22 - 2008-06-28,27
2008-06-29 - 2008-07-05,25
2008-07-06 - 2008-07-12,25
2008-07-13 - 2008-07-19,28
2008-07-20 - 2008-07-26,27
2008-07-27 - 2008-08-02,26
2008-08-03 - 2008-08-09,26
2008-08-10 - 2008-08-16,29
2008-08-17 - 2008-08-23,27
2008-08-24 - 2008-08-30,30
2008-08-31 - 2008-09-06,27
2008-09-07 - 2008-09-13,35
2008-09-14 - 2008-09-20,54
2008-09-21 - 2008-09-27,48
2008-09-28 - 2008-10-04,51
2008-10-05 - 2008-10-11,52
2008-10-12 - 2008-10-18,53
2008-10-19 - 2008-10-25,52
2008-10-26 - 2008-11-01,50
2008-11-02 - 2008-11-08,46
2008-11-09 - 2008-11-15,42
2008-11-16 - 2008-11-22,38
2008-11-23 - 2008-11-29,41
2008-11-30 - 2008-12-06,49
2008-12-07 - 2008-12-13,42
2008-12-14 - 2008-12-20,38
2008-12-21 - 2008-12-27,33
2008-12-28 - 2009-01-03,43
2009-01-04 - 2009-01-10,37
2009-01-11 - 2009-01-17,40
2009-01-18 - 2009-01-24,39
2009-01-25 - 2009-01-31,38
2009-02-01 - 2009-02-07,43
2009-02-08 - 2009-02-14,41
2009-02-15 - 2009-02-21,38
2009-02-22 - 2009-02-28,50
2009-03-01 - 2009-03-07,42
2009-03-08 - 2009-03-14,67
2009-03-15 - 2009-03-21,24
2009-03-22 - 2009-03-28,25
2009-03-29 - 2009-04-04,23
2009-04-05 - 2009-04-11,25
2009-04-12 - 2009-04-18,27
2009-04-19 - 2009-04-25,25
2009-04-26 - 2009-05-02,24
2009-05-03 - 2009-05-09,27
2009-05-10 - 2009-05-16,36
2009-05-17 - 2009-05-23,26
2009-05-24 - 2009-05-30,25
2009-05-31 - 2009-06-06,25
2009-06-07 - 2009-06-13,22
2009-06-14 - 2009-06-20,26
2009-06-21 - 2009-06-27,24
2009-06-28 - 2009-07-04,22
2009-07-05 - 2009-07-11,19
2009-07-12 - 2009-07-18,19
2009-07-19 - 2009-07-25,19
2009-07-26 - 2009-08-01,20
2009-08-02 - 2009-08-08,22
2009-08-09 - 2009-08-15,16
2009-08-16 - 2009-08-22,21
2009-08-23 - 2009-08-29,21
2009-08-30 - 2009-09-05,23
2009-09-06 - 2009-09-12,25
2009-09-13 - 2009-09-19,22
2009-09-20 - 2009-09-26,38
2009-09-27 - 2009-10-03,37
2009-10-04 - 2009-10-10,42
2009-10-11 - 2009-10-17,41
2009-10-18 - 2009-10-24,38
2009-10-25 - 2009-10-31,50
2009-11-01 - 2009-11-07,35
2009-11-08 - 2009-11-14,35
2009-11-15 - 2009-11-21,30
2009-11-22 - 2009-11-28,29
2009-11-29 - 2009-12-05,29
2009-12-06 - 2009-12-12,32
2009-12-13 - 2009-12-19,29
2009-12-20 - 2009-12-26,26
2009-12-27 - 2010-01-02,30
2010-01-03 - 2010-01-09,31
2010-01-10 - 2010-01-16,32
2010-01-17 - 2010-01-23,32
2010-01-24 - 2010-01-30,29
2010-01-31 - 2010-02-06,31
2010-02-07 - 2010-02-13,31
2010-02-14 - 2010-02-20,30
2010-02-21 - 2010-02-27,37
2010-02-28 - 2010-03-06,27
2010-03-07 - 2010-03-13,44
2010-03-14 - 2010-03-20,21
2010-03-21 - 2010-03-27,18
2010-03-28 - 2010-04-03,23
2010-04-04 - 2010-04-10,26
2010-04-11 - 2010-04-17,24
2010-04-18 - 2010-04-24,25
2010-04-25 - 2010-05-01,23
2010-05-02 - 2010-05-08,22
2010-05-09 - 2010-05-15,22
2010-05-16 - 2010-05-22,26
2010-05-23 - 2010-05-29,27
2010-05-30 - 2010-06-05,28
2010-06-06 - 2010-06-12,26
2010-06-13 - 2010-06-19,23
2010-06-20 - 2010-06-26,20
2010-06-27 - 2010-07-03,26
2010-07-04 - 2010-07-10,20
2010-07-11 - 2010-07-17,23
2010-07-18 - 2010-07-24,18
2010-07-25 - 2010-07-31,22
2010-08-01 - 2010-08-07,21
2010-08-08 - 2010-08-14,22
2010-08-15 - 2010-08-21,22
2010-08-22 - 2010-08-28,24
2010-08-29 - 2010-09-04,22
2010-09-05 - 2010-09-11,24
2010-09-12 - 2010-09-18,26
2010-09-19 - 2010-09-25,22
2010-09-26 - 2010-10-02,24
2010-10-03 - 2010-10-09,30
2010-10-10 - 2010-10-16,54
2010-10-17 - 2010-10-23,65
2010-10-24 - 2010-10-30,57
2010-10-31 - 2010-11-06,45
2010-11-07 - 2010-11-13,38
2010-11-14 - 2010-11-20,46
2010-11-21 - 2010-11-27,45
2010-11-28 - 2010-12-04,40
2010-12-05 - 2010-12-11,44
2010-12-12 - 2010-12-18,47
2010-12-19 - 2010-12-25,42
2010-12-26 - 2011-01-01,42
2011-01-02 - 2011-01-08,40
2011-01-09 - 2011-01-15,44
2011-01-16 - 2011-01-22,39
2011-01-23 - 2011-01-29,34
2011-01-30 - 2011-02-05,38
2011-02-06 - 2011-02-12,43
2011-02-13 - 2011-02-19,43
2011-02-20 - 2011-02-26,37
2011-02-27 - 2011-03-05,38
2011-03-06 - 2011-03-12,50
2011-03-13 - 2011-03-19,52
2011-03-20 - 2011-03-26,34
2011-03-27 - 2011-04-02,41
2011-04-03 - 2011-04-09,48
2011-04-10 - 2011-04-16,51
2011-04-17 - 2011-04-23,50
2011-04-24 - 2011-04-30,64
2011-05-01 - 2011-05-07,27
2011-05-08 - 2011-05-14,30
2011-05-15 - 2011-05-21,31
2011-05-22 - 2011-05-28,30
2011-05-29 - 2011-06-04,28
2011-06-05 - 2011-06-11,30
2011-06-12 - 2011-06-18,27
2011-06-19 - 2011-06-25,26
2011-06-26 - 2011-07-02,23
2011-07-03 - 2011-07-09,26
2011-07-10 - 2011-07-16,25
2011-07-17 - 2011-07-23,21
2011-07-24 - 2011-07-30,25
2011-07-31 - 2011-08-06,21
2011-08-07 - 2011-08-13,22
2011-08-14 - 2011-08-20,24
2011-08-21 - 2011-08-27,32
2011-08-28 - 2011-09-03,27
2011-09-04 - 2011-09-10,27
2011-09-11 - 2011-09-17,23
2011-09-18 - 2011-09-24,29
2011-09-25 - 2011-10-01,33
2011-10-02 - 2011-10-08,68
2011-10-09 - 2011-10-15,58
2011-10-16 - 2011-10-22,54
2011-10-23 - 2011-10-29,54
