Web Search interest: oi
Worldwide 2004 - present

Interest over time
Week,oi
2004-01-04 - 2004-01-10,9
2004-01-11 - 2004-01-17,9
2004-01-18 - 2004-01-24,8
2004-01-25 - 2004-01-31,7
2004-02-01 - 2004-02-07,7
2004-02-08 - 2004-02-14,7
2004-02-15 - 2004-02-21,7
2004-02-22 - 2004-02-28,6
2004-02-29 - 2004-03-06,9
2004-03-07 - 2004-03-13,9
2004-03-14 - 2004-03-20,8
2004-03-21 - 2004-03-27,9
2004-03-28 - 2004-04-03,9
2004-04-04 - 2004-04-10,9
2004-04-11 - 2004-04-17,11
2004-04-18 - 2004-04-24,9
2004-04-25 - 2004-05-01,9
2004-05-02 - 2004-05-08,10
2004-05-09 - 2004-05-15,9
2004-05-16 - 2004-05-22,10
2004-05-23 - 2004-05-29,9
2004-05-30 - 2004-06-05,8
2004-06-06 - 2004-06-12,8
2004-06-13 - 2004-06-19,8
2004-06-20 - 2004-06-26,9
2004-06-27 - 2004-07-03,11
2004-07-04 - 2004-07-10,12
2004-07-11 - 2004-07-17,10
2004-07-18 - 2004-07-24,9
2004-07-25 - 2004-07-31,8
2004-08-01 - 2004-08-07,9
2004-08-08 - 2004-08-14,10
2004-08-15 - 2004-08-21,9
2004-08-22 - 2004-08-28,9
2004-08-29 - 2004-09-04,8
2004-09-05 - 2004-09-11,7
2004-09-12 - 2004-09-18,9
2004-09-19 - 2004-09-25,10
2004-09-26 - 2004-10-02,11
2004-10-03 - 2004-10-09,13
2004-10-10 - 2004-10-16,11
2004-10-17 - 2004-10-23,9
2004-10-24 - 2004-10-30,9
2004-10-31 - 2004-11-06,9
2004-11-07 - 2004-11-13,10
2004-11-14 - 2004-11-20,10
2004-11-21 - 2004-11-27,11
2004-11-28 - 2004-12-04,9
2004-12-05 - 2004-12-11,9
2004-12-12 - 2004-12-18,9
2004-12-19 - 2004-12-25,10
2004-12-26 - 2005-01-01,9
2005-01-02 - 2005-01-08,9
2005-01-09 - 2005-01-15,8
2005-01-16 - 2005-01-22,9
2005-01-23 - 2005-01-29,8
2005-01-30 - 2005-02-05,8
2005-02-06 - 2005-02-12,8
2005-02-13 - 2005-02-19,8
2005-02-20 - 2005-02-26,11
2005-02-27 - 2005-03-05,11
2005-03-06 - 2005-03-12,11
2005-03-13 - 2005-03-19,10
2005-03-20 - 2005-03-26,12
2005-03-27 - 2005-04-02,10
2005-04-03 - 2005-04-09,11
2005-04-10 - 2005-04-16,12
2005-04-17 - 2005-04-23,10
2005-04-24 - 2005-04-30,11
2005-05-01 - 2005-05-07,12
2005-05-08 - 2005-05-14,11
2005-05-15 - 2005-05-21,11
2005-05-22 - 2005-05-28,11
2005-05-29 - 2005-06-04,13
2005-06-05 - 2005-06-11,12
2005-06-12 - 2005-06-18,12
2005-06-19 - 2005-06-25,11
2005-06-26 - 2005-07-02,11
2005-07-03 - 2005-07-09,11
2005-07-10 - 2005-07-16,11
2005-07-17 - 2005-07-23,11
2005-07-24 - 2005-07-30,11
2005-07-31 - 2005-08-06,12
2005-08-07 - 2005-08-13,12
2005-08-14 - 2005-08-20,12
2005-08-21 - 2005-08-27,12
2005-08-28 - 2005-09-03,12
2005-09-04 - 2005-09-10,11
2005-09-11 - 2005-09-17,12
2005-09-18 - 2005-09-24,12
2005-09-25 - 2005-10-01,13
2005-10-02 - 2005-10-08,12
2005-10-09 - 2005-10-15,13
2005-10-16 - 2005-10-22,13
2005-10-23 - 2005-10-29,12
2005-10-30 - 2005-11-05,13
2005-11-06 - 2005-11-12,13
2005-11-13 - 2005-11-19,11
2005-11-20 - 2005-11-26,13
2005-11-27 - 2005-12-03,12
2005-12-04 - 2005-12-10,13
2005-12-11 - 2005-12-17,14
2005-12-18 - 2005-12-24,14
2005-12-25 - 2005-12-31,14
2006-01-01 - 2006-01-07,14
2006-01-08 - 2006-01-14,13
2006-01-15 - 2006-01-21,13
2006-01-22 - 2006-01-28,12
2006-01-29 - 2006-02-04,13
2006-02-05 - 2006-02-11,12
2006-02-12 - 2006-02-18,13
2006-02-19 - 2006-02-25,12
2006-02-26 - 2006-03-04,10
2006-03-05 - 2006-03-11,13
2006-03-12 - 2006-03-18,14
2006-03-19 - 2006-03-25,13
2006-03-26 - 2006-04-01,14
2006-04-02 - 2006-04-08,14
2006-04-09 - 2006-04-15,15
2006-04-16 - 2006-04-22,14
2006-04-23 - 2006-04-29,15
2006-04-30 - 2006-05-06,15
2006-05-07 - 2006-05-13,15
2006-05-14 - 2006-05-20,15
2006-05-21 - 2006-05-27,14
2006-05-28 - 2006-06-03,17
2006-06-04 - 2006-06-10,17
2006-06-11 - 2006-06-17,15
2006-06-18 - 2006-06-24,15
2006-06-25 - 2006-07-01,16
2006-07-02 - 2006-07-08,17
2006-07-09 - 2006-07-15,17
2006-07-16 - 2006-07-22,19
2006-07-23 - 2006-07-29,19
2006-07-30 - 2006-08-05,20
2006-08-06 - 2006-08-12,18
2006-08-13 - 2006-08-19,19
2006-08-20 - 2006-08-26,18
2006-08-27 - 2006-09-02,18
2006-09-03 - 2006-09-09,17
2006-09-10 - 2006-09-16,18
2006-09-17 - 2006-09-23,19
2006-09-24 - 2006-09-30,19
2006-10-01 - 2006-10-07,19
2006-10-08 - 2006-10-14,18
2006-10-15 - 2006-10-21,20
2006-10-22 - 2006-10-28,20
2006-10-29 - 2006-11-04,19
2006-11-05 - 2006-11-11,21
2006-11-12 - 2006-11-18,20
2006-11-19 - 2006-11-25,22
2006-11-26 - 2006-12-02,23
2006-12-03 - 2006-12-09,22
2006-12-10 - 2006-12-16,23
2006-12-17 - 2006-12-23,23
2006-12-24 - 2006-12-30,27
2006-12-31 - 2007-01-06,23
2007-01-07 - 2007-01-13,22
2007-01-14 - 2007-01-20,22
2007-01-21 - 2007-01-27,21
2007-01-28 - 2007-02-03,22
2007-02-04 - 2007-02-10,21
2007-02-11 - 2007-02-17,22
2007-02-18 - 2007-02-24,17
2007-02-25 - 2007-03-03,24
2007-03-04 - 2007-03-10,28
2007-03-11 - 2007-03-17,29
2007-03-18 - 2007-03-24,30
2007-03-25 - 2007-03-31,31
2007-04-01 - 2007-04-07,30
2007-04-08 - 2007-04-14,34
2007-04-15 - 2007-04-21,30
2007-04-22 - 2007-04-28,31
2007-04-29 - 2007-05-05,32
2007-05-06 - 2007-05-12,34
2007-05-13 - 2007-05-19,34
2007-05-20 - 2007-05-26,35
2007-05-27 - 2007-06-02,37
2007-06-03 - 2007-06-09,36
2007-06-10 - 2007-06-16,37
2007-06-17 - 2007-06-23,32
2007-06-24 - 2007-06-30,37
2007-07-01 - 2007-07-07,38
2007-07-08 - 2007-07-14,37
2007-07-15 - 2007-07-21,40
2007-07-22 - 2007-07-28,42
2007-07-29 - 2007-08-04,43
2007-08-05 - 2007-08-11,41
2007-08-12 - 2007-08-18,38
2007-08-19 - 2007-08-25,38
2007-08-26 - 2007-09-01,39
2007-09-02 - 2007-09-08,35
2007-09-09 - 2007-09-15,36
2007-09-16 - 2007-09-22,36
2007-09-23 - 2007-09-29,38
2007-09-30 - 2007-10-06,37
2007-10-07 - 2007-10-13,34
2007-10-14 - 2007-10-20,35
2007-10-21 - 2007-10-27,36
2007-10-28 - 2007-11-03,37
2007-11-04 - 2007-11-10,36
2007-11-11 - 2007-11-17,35
2007-11-18 - 2007-11-24,41
2007-11-25 - 2007-12-01,41
2007-12-02 - 2007-12-08,37
2007-12-09 - 2007-12-15,34
2007-12-16 - 2007-12-22,36
2007-12-23 - 2007-12-29,38
2007-12-30 - 2008-01-05,35
2008-01-06 - 2008-01-12,38
2008-01-13 - 2008-01-19,35
2008-01-20 - 2008-01-26,34
2008-01-27 - 2008-02-02,35
2008-02-03 - 2008-02-09,30
2008-02-10 - 2008-02-16,36
2008-02-17 - 2008-02-23,35
2008-02-24 - 2008-03-01,37
2008-03-02 - 2008-03-08,36
2008-03-09 - 2008-03-15,38
2008-03-16 - 2008-03-22,35
2008-03-23 - 2008-03-29,39
2008-03-30 - 2008-04-05,40
2008-04-06 - 2008-04-12,38
2008-04-13 - 2008-04-19,39
2008-04-20 - 2008-04-26,39
2008-04-27 - 2008-05-03,43
2008-05-04 - 2008-05-10,44
2008-05-11 - 2008-05-17,43
2008-05-18 - 2008-05-24,40
2008-05-25 - 2008-05-31,45
2008-06-01 - 2008-06-07,44
2008-06-08 - 2008-06-14,45
2008-06-15 - 2008-06-21,44
2008-06-22 - 2008-06-28,49
2008-06-29 - 2008-07-05,51
2008-07-06 - 2008-07-12,54
2008-07-13 - 2008-07-19,56
2008-07-20 - 2008-07-26,54
2008-07-27 - 2008-08-02,54
2008-08-03 - 2008-08-09,56
2008-08-10 - 2008-08-16,57
2008-08-17 - 2008-08-23,55
2008-08-24 - 2008-08-30,54
2008-08-31 - 2008-09-06,55
2008-09-07 - 2008-09-13,53
2008-09-14 - 2008-09-20,55
2008-09-21 - 2008-09-27,53
2008-09-28 - 2008-10-04,62
2008-10-05 - 2008-10-11,65
2008-10-12 - 2008-10-18,66
2008-10-19 - 2008-10-25,74
2008-10-26 - 2008-11-01,75
2008-11-02 - 2008-11-08,64
2008-11-09 - 2008-11-15,63
2008-11-16 - 2008-11-22,62
2008-11-23 - 2008-11-29,63
2008-11-30 - 2008-12-06,65
2008-12-07 - 2008-12-13,63
2008-12-14 - 2008-12-20,66
2008-12-21 - 2008-12-27,70
2008-12-28 - 2009-01-03,68
2009-01-04 - 2009-01-10,74
2009-01-11 - 2009-01-17,66
2009-01-18 - 2009-01-24,64
2009-01-25 - 2009-01-31,69
2009-02-01 - 2009-02-07,70
2009-02-08 - 2009-02-14,69
2009-02-15 - 2009-02-21,68
2009-02-22 - 2009-02-28,57
2009-03-01 - 2009-03-07,76
2009-03-08 - 2009-03-14,75
2009-03-15 - 2009-03-21,74
2009-03-22 - 2009-03-28,74
2009-03-29 - 2009-04-04,75
2009-04-05 - 2009-04-11,68
2009-04-12 - 2009-04-18,73
2009-04-19 - 2009-04-25,69
2009-04-26 - 2009-05-02,77
2009-05-03 - 2009-05-09,80
2009-05-10 - 2009-05-16,79
2009-05-17 - 2009-05-23,83
2009-05-24 - 2009-05-30,85
2009-05-31 - 2009-06-06,84
2009-06-07 - 2009-06-13,77
2009-06-14 - 2009-06-20,81
2009-06-21 - 2009-06-27,79
2009-06-28 - 2009-07-04,91
2009-07-05 - 2009-07-11,87
2009-07-12 - 2009-07-18,84
2009-07-19 - 2009-07-25,97
2009-07-26 - 2009-08-01,89
2009-08-02 - 2009-08-08,94
2009-08-09 - 2009-08-15,91
2009-08-16 - 2009-08-22,86
2009-08-23 - 2009-08-29,87
2009-08-30 - 2009-09-05,89
2009-09-06 - 2009-09-12,88
2009-09-13 - 2009-09-19,90
2009-09-20 - 2009-09-26,89
2009-09-27 - 2009-10-03,88
2009-10-04 - 2009-10-10,87
2009-10-11 - 2009-10-17,81
2009-10-18 - 2009-10-24,80
2009-10-25 - 2009-10-31,78
2009-11-01 - 2009-11-07,76
2009-11-08 - 2009-11-14,76
2009-11-15 - 2009-11-21,72
2009-11-22 - 2009-11-28,74
2009-11-29 - 2009-12-05,73
2009-12-06 - 2009-12-12,71
2009-12-13 - 2009-12-19,68
2009-12-20 - 2009-12-26,70
2009-12-27 - 2010-01-02,70
2010-01-03 - 2010-01-09,73
2010-01-10 - 2010-01-16,66
2010-01-17 - 2010-01-23,63
2010-01-24 - 2010-01-30,64
2010-01-31 - 2010-02-06,66
2010-02-07 - 2010-02-13,60
2010-02-14 - 2010-02-20,50
2010-02-21 - 2010-02-27,61
2010-02-28 - 2010-03-06,65
2010-03-07 - 2010-03-13,64
2010-03-14 - 2010-03-20,63
2010-03-21 - 2010-03-27,64
2010-03-28 - 2010-04-03,65
2010-04-04 - 2010-04-10,72
2010-04-11 - 2010-04-17,65
2010-04-18 - 2010-04-24,61
2010-04-25 - 2010-05-01,70
2010-05-02 - 2010-05-08,71
2010-05-09 - 2010-05-15,67
2010-05-16 - 2010-05-22,63
2010-05-23 - 2010-05-29,65
2010-05-30 - 2010-06-05,67
2010-06-06 - 2010-06-12,69
2010-06-13 - 2010-06-19,68
2010-06-20 - 2010-06-26,67
2010-06-27 - 2010-07-03,70
2010-07-04 - 2010-07-10,70
2010-07-11 - 2010-07-17,71
2010-07-18 - 2010-07-24,74
2010-07-25 - 2010-07-31,69
2010-08-01 - 2010-08-07,70
2010-08-08 - 2010-08-14,71
2010-08-15 - 2010-08-21,69
2010-08-22 - 2010-08-28,67
2010-08-29 - 2010-09-04,68
2010-09-05 - 2010-09-11,67
2010-09-12 - 2010-09-18,67
2010-09-19 - 2010-09-25,69
2010-09-26 - 2010-10-02,74
2010-10-03 - 2010-10-09,79
2010-10-10 - 2010-10-16,78
2010-10-17 - 2010-10-23,80
2010-10-24 - 2010-10-30,77
2010-10-31 - 2010-11-06,80
2010-11-07 - 2010-11-13,80
2010-11-14 - 2010-11-20,72
2010-11-21 - 2010-11-27,72
2010-11-28 - 2010-12-04,74
2010-12-05 - 2010-12-11,75
2010-12-12 - 2010-12-18,72
2010-12-19 - 2010-12-25,79
2010-12-26 - 2011-01-01,76
2011-01-02 - 2011-01-08,79
2011-01-09 - 2011-01-15,73
2011-01-16 - 2011-01-22,73
2011-01-23 - 2011-01-29,75
2011-01-30 - 2011-02-05,79
2011-02-06 - 2011-02-12,78
2011-02-13 - 2011-02-19,74
2011-02-20 - 2011-02-26,74
2011-02-27 - 2011-03-05,76
2011-03-06 - 2011-03-12,66
2011-03-13 - 2011-03-19,78
2011-03-20 - 2011-03-26,77
2011-03-27 - 2011-04-02,82
2011-04-03 - 2011-04-09,81
2011-04-10 - 2011-04-16,78
2011-04-17 - 2011-04-23,71
2011-04-24 - 2011-04-30,80
2011-05-01 - 2011-05-07,84
2011-05-08 - 2011-05-14,79
2011-05-15 - 2011-05-21,76
2011-05-22 - 2011-05-28,76
2011-05-29 - 2011-06-04,82
2011-06-05 - 2011-06-11,78
2011-06-12 - 2011-06-18,73
2011-06-19 - 2011-06-25,69
2011-06-26 - 2011-07-02,79
2011-07-03 - 2011-07-09,85
2011-07-10 - 2011-07-16,78
2011-07-17 - 2011-07-23,81
2011-07-24 - 2011-07-30,82
2011-07-31 - 2011-08-06,87
2011-08-07 - 2011-08-13,85
2011-08-14 - 2011-08-20,83
2011-08-21 - 2011-08-27,79
2011-08-28 - 2011-09-03,86
2011-09-04 - 2011-09-10,80
2011-09-11 - 2011-09-17,81
2011-09-18 - 2011-09-24,80
2011-09-25 - 2011-10-01,85
2011-10-02 - 2011-10-08,100
2011-10-09 - 2011-10-15,87
2011-10-16 - 2011-10-22,82
2011-10-23 - 2011-10-29,78
2011-10-30 - 2011-11-05,82
2011-11-06 - 2011-11-12,82
2011-11-13 - 2011-11-19,74
2011-11-20 - 2011-11-26,77
2011-11-27 - 2011-12-03,79
2011-12-04 - 2011-12-10,77
2011-12-11 - 2011-12-17,73
2011-12-18 - 2011-12-24,71
2011-12-25 - 2011-12-31,76
2012-01-01 - 2012-01-07,79
2012-01-08 - 2012-01-14,71
2012-01-15 - 2012-01-21,67
2012-01-22 - 2012-01-28,68
2012-01-29 - 2012-02-04,72
2012-02-05 - 2012-02-11,71
2012-02-12 - 2012-02-18,64
2012-02-19 - 2012-02-25,55
2012-02-26 - 2012-03-03,73
2012-03-04 - 2012-03-10,75
2012-03-11 - 2012-03-17,68
2012-03-18 - 2012-03-24,65
2012-03-25 - 2012-03-31,66
2012-04-01 - 2012-04-07,70
2012-04-08 - 2012-04-14,71
2012-04-15 - 2012-04-21,64
2012-04-22 - 2012-04-28,67
2012-04-29 - 2012-05-05,69
2012-05-06 - 2012-05-12,69
2012-05-13 - 2012-05-19,65
2012-05-20 - 2012-05-26,63
2012-05-27 - 2012-06-02,66
2012-06-03 - 2012-06-09,68
2012-06-10 - 2012-06-16,67
2012-06-17 - 2012-06-23,62
2012-06-24 - 2012-06-30,63
2012-07-01 - 2012-07-07,68
2012-07-08 - 2012-07-14,58
2012-07-15 - 2012-07-21,59
2012-07-22 - 2012-07-28,57
2012-07-29 - 2012-08-04,63
2012-08-05 - 2012-08-11,61
2012-08-12 - 2012-08-18,58
2012-08-19 - 2012-08-25,54
