Web Search interest: oke
Worldwide 2004 - present

Interest over time
Week,oke
2004-01-04 - 2004-01-10,6
2004-01-11 - 2004-01-17,7
2004-01-18 - 2004-01-24,6
2004-01-25 - 2004-01-31,6
2004-02-01 - 2004-02-07,9
2004-02-08 - 2004-02-14,10
2004-02-15 - 2004-02-21,9
2004-02-22 - 2004-02-28,6
2004-02-29 - 2004-03-06,9
2004-03-07 - 2004-03-13,5
2004-03-14 - 2004-03-20,8
2004-03-21 - 2004-03-27,9
2004-03-28 - 2004-04-03,13
2004-04-04 - 2004-04-10,7
2004-04-11 - 2004-04-17,10
2004-04-18 - 2004-04-24,8
2004-04-25 - 2004-05-01,10
2004-05-02 - 2004-05-08,21
2004-05-09 - 2004-05-15,12
2004-05-16 - 2004-05-22,20
2004-05-23 - 2004-05-29,10
2004-05-30 - 2004-06-05,9
2004-06-06 - 2004-06-12,15
2004-06-13 - 2004-06-19,29
2004-06-20 - 2004-06-26,9
2004-06-27 - 2004-07-03,7
2004-07-04 - 2004-07-10,5
2004-07-11 - 2004-07-17,5
2004-07-18 - 2004-07-24,5
2004-07-25 - 2004-07-31,6
2004-08-01 - 2004-08-07,6
2004-08-08 - 2004-08-14,6
2004-08-15 - 2004-08-21,6
2004-08-22 - 2004-08-28,8
2004-08-29 - 2004-09-04,11
2004-09-05 - 2004-09-11,11
2004-09-12 - 2004-09-18,14
2004-09-19 - 2004-09-25,12
2004-09-26 - 2004-10-02,14
2004-10-03 - 2004-10-09,11
2004-10-10 - 2004-10-16,12
2004-10-17 - 2004-10-23,11
2004-10-24 - 2004-10-30,10
2004-10-31 - 2004-11-06,10
2004-11-07 - 2004-11-13,9
2004-11-14 - 2004-11-20,11
2004-11-21 - 2004-11-27,21
2004-11-28 - 2004-12-04,22
2004-12-05 - 2004-12-11,22
2004-12-12 - 2004-12-18,26
2004-12-19 - 2004-12-25,12
2004-12-26 - 2005-01-01,14
2005-01-02 - 2005-01-08,27
2005-01-09 - 2005-01-15,24
2005-01-16 - 2005-01-22,17
2005-01-23 - 2005-01-29,15
2005-01-30 - 2005-02-05,16
2005-02-06 - 2005-02-12,20
2005-02-13 - 2005-02-19,15
2005-02-20 - 2005-02-26,15
2005-02-27 - 2005-03-05,18
2005-03-06 - 2005-03-12,19
2005-03-13 - 2005-03-19,18
2005-03-20 - 2005-03-26,13
2005-03-27 - 2005-04-02,15
2005-04-03 - 2005-04-09,20
2005-04-10 - 2005-04-16,21
2005-04-17 - 2005-04-23,22
2005-04-24 - 2005-04-30,53
2005-05-01 - 2005-05-07,46
2005-05-08 - 2005-05-14,43
2005-05-15 - 2005-05-21,49
2005-05-22 - 2005-05-28,24
2005-05-29 - 2005-06-04,22
2005-06-05 - 2005-06-11,23
2005-06-12 - 2005-06-18,38
2005-06-19 - 2005-06-25,28
2005-06-26 - 2005-07-02,65
2005-07-03 - 2005-07-09,14
2005-07-10 - 2005-07-16,12
2005-07-17 - 2005-07-23,12
2005-07-24 - 2005-07-30,7
2005-07-31 - 2005-08-06,8
2005-08-07 - 2005-08-13,9
2005-08-14 - 2005-08-20,9
2005-08-21 - 2005-08-27,11
2005-08-28 - 2005-09-03,13
2005-09-04 - 2005-09-10,18
2005-09-11 - 2005-09-17,19
2005-09-18 - 2005-09-24,19
2005-09-25 - 2005-10-01,19
2005-10-02 - 2005-10-08,15
2005-10-09 - 2005-10-15,15
2005-10-16 - 2005-10-22,16
2005-10-23 - 2005-10-29,14
2005-10-30 - 2005-11-05,13
2005-11-06 - 2005-11-12,15
2005-11-13 - 2005-11-19,19
2005-11-20 - 2005-11-26,18
2005-11-27 - 2005-12-03,17
2005-12-04 - 2005-12-10,20
2005-12-11 - 2005-12-17,43
2005-12-18 - 2005-12-24,37
2005-12-25 - 2005-12-31,17
2006-01-01 - 2006-01-07,26
2006-01-08 - 2006-01-14,25
2006-01-15 - 2006-01-21,22
2006-01-22 - 2006-01-28,19
2006-01-29 - 2006-02-04,19
2006-02-05 - 2006-02-11,17
2006-02-12 - 2006-02-18,21
2006-02-19 - 2006-02-25,21
2006-02-26 - 2006-03-04,22
2006-03-05 - 2006-03-11,20
2006-03-12 - 2006-03-18,22
2006-03-19 - 2006-03-25,21
2006-03-26 - 2006-04-01,24
2006-04-02 - 2006-04-08,40
2006-04-09 - 2006-04-15,20
2006-04-16 - 2006-04-22,24
2006-04-23 - 2006-04-29,57
2006-04-30 - 2006-05-06,68
2006-05-07 - 2006-05-13,56
2006-05-14 - 2006-05-20,52
2006-05-21 - 2006-05-27,26
2006-05-28 - 2006-06-03,23
2006-06-04 - 2006-06-10,26
2006-06-11 - 2006-06-17,56
2006-06-18 - 2006-06-24,36
2006-06-25 - 2006-07-01,26
2006-07-02 - 2006-07-08,30
2006-07-09 - 2006-07-15,91
2006-07-16 - 2006-07-22,15
2006-07-23 - 2006-07-29,13
2006-07-30 - 2006-08-05,11
2006-08-06 - 2006-08-12,10
2006-08-13 - 2006-08-19,11
2006-08-20 - 2006-08-26,12
2006-08-27 - 2006-09-02,19
2006-09-03 - 2006-09-09,22
2006-09-10 - 2006-09-16,23
2006-09-17 - 2006-09-23,23
2006-09-24 - 2006-09-30,27
2006-10-01 - 2006-10-07,21
2006-10-08 - 2006-10-14,18
2006-10-15 - 2006-10-21,18
2006-10-22 - 2006-10-28,18
2006-10-29 - 2006-11-04,17
2006-11-05 - 2006-11-11,20
2006-11-12 - 2006-11-18,65
2006-11-19 - 2006-11-25,34
2006-11-26 - 2006-12-02,25
2006-12-03 - 2006-12-09,21
2006-12-10 - 2006-12-16,20
2006-12-17 - 2006-12-23,18
2006-12-24 - 2006-12-30,12
2006-12-31 - 2007-01-06,22
2007-01-07 - 2007-01-13,20
2007-01-14 - 2007-01-20,16
2007-01-21 - 2007-01-27,17
2007-01-28 - 2007-02-03,17
2007-02-04 - 2007-02-10,18
2007-02-11 - 2007-02-17,17
2007-02-18 - 2007-02-24,17
2007-02-25 - 2007-03-03,20
2007-03-04 - 2007-03-10,19
2007-03-11 - 2007-03-17,20
2007-03-18 - 2007-03-24,20
2007-03-25 - 2007-03-31,23
2007-04-01 - 2007-04-07,23
2007-04-08 - 2007-04-14,40
2007-04-15 - 2007-04-21,31
2007-04-22 - 2007-04-28,63
2007-04-29 - 2007-05-05,56
2007-05-06 - 2007-05-12,68
2007-05-13 - 2007-05-19,44
2007-05-20 - 2007-05-26,30
2007-05-27 - 2007-06-02,47
2007-06-03 - 2007-06-09,25
2007-06-10 - 2007-06-16,68
2007-06-17 - 2007-06-23,54
2007-06-24 - 2007-06-30,100
2007-07-01 - 2007-07-07,30
2007-07-08 - 2007-07-14,16
2007-07-15 - 2007-07-21,13
2007-07-22 - 2007-07-28,13
2007-07-29 - 2007-08-04,13
2007-08-05 - 2007-08-11,12
2007-08-12 - 2007-08-18,12
2007-08-19 - 2007-08-25,16
2007-08-26 - 2007-09-01,22
2007-09-02 - 2007-09-08,24
2007-09-09 - 2007-09-15,22
2007-09-16 - 2007-09-22,24
2007-09-23 - 2007-09-29,26
2007-09-30 - 2007-10-06,19
2007-10-07 - 2007-10-13,17
2007-10-14 - 2007-10-20,18
2007-10-21 - 2007-10-27,19
2007-10-28 - 2007-11-03,17
2007-11-04 - 2007-11-10,16
2007-11-11 - 2007-11-17,18
2007-11-18 - 2007-11-24,21
2007-11-25 - 2007-12-01,19
2007-12-02 - 2007-12-08,25
2007-12-09 - 2007-12-15,20
2007-12-16 - 2007-12-22,17
2007-12-23 - 2007-12-29,12
2007-12-30 - 2008-01-05,18
2008-01-06 - 2008-01-12,24
2008-01-13 - 2008-01-19,19
2008-01-20 - 2008-01-26,19
2008-01-27 - 2008-02-02,19
2008-02-03 - 2008-02-09,21
2008-02-10 - 2008-02-16,21
2008-02-17 - 2008-02-23,22
2008-02-24 - 2008-03-01,28
2008-03-02 - 2008-03-08,43
2008-03-09 - 2008-03-15,30
2008-03-16 - 2008-03-22,19
2008-03-23 - 2008-03-29,21
2008-03-30 - 2008-04-05,28
2008-04-06 - 2008-04-12,40
2008-04-13 - 2008-04-19,29
2008-04-20 - 2008-04-26,56
2008-04-27 - 2008-05-03,31
2008-05-04 - 2008-05-10,65
2008-05-11 - 2008-05-17,39
2008-05-18 - 2008-05-24,24
2008-05-25 - 2008-05-31,41
2008-06-01 - 2008-06-07,28
2008-06-08 - 2008-06-14,66
2008-06-15 - 2008-06-21,50
2008-06-22 - 2008-06-28,56
2008-06-29 - 2008-07-05,83
2008-07-06 - 2008-07-12,18
2008-07-13 - 2008-07-19,15
2008-07-20 - 2008-07-26,14
2008-07-27 - 2008-08-02,14
2008-08-03 - 2008-08-09,15
2008-08-10 - 2008-08-16,14
2008-08-17 - 2008-08-23,17
2008-08-24 - 2008-08-30,32
2008-08-31 - 2008-09-06,27
2008-09-07 - 2008-09-13,28
2008-09-14 - 2008-09-20,27
2008-09-21 - 2008-09-27,24
2008-09-28 - 2008-10-04,21
2008-10-05 - 2008-10-11,18
2008-10-12 - 2008-10-18,19
2008-10-19 - 2008-10-25,28
2008-10-26 - 2008-11-01,19
2008-11-02 - 2008-11-08,18
2008-11-09 - 2008-11-15,18
2008-11-16 - 2008-11-22,19
2008-11-23 - 2008-11-29,22
2008-11-30 - 2008-12-06,19
2008-12-07 - 2008-12-13,18
2008-12-14 - 2008-12-20,16
2008-12-21 - 2008-12-27,12
2008-12-28 - 2009-01-03,15
2009-01-04 - 2009-01-10,33
2009-01-11 - 2009-01-17,40
2009-01-18 - 2009-01-24,22
2009-01-25 - 2009-01-31,20
2009-02-01 - 2009-02-07,20
2009-02-08 - 2009-02-14,21
2009-02-15 - 2009-02-21,22
2009-02-22 - 2009-02-28,26
2009-03-01 - 2009-03-07,25
2009-03-08 - 2009-03-14,24
2009-03-15 - 2009-03-21,24
2009-03-22 - 2009-03-28,26
2009-03-29 - 2009-04-04,39
2009-04-05 - 2009-04-11,24
2009-04-12 - 2009-04-18,27
2009-04-19 - 2009-04-25,50
2009-04-26 - 2009-05-02,30
2009-05-03 - 2009-05-09,50
2009-05-10 - 2009-05-16,35
2009-05-17 - 2009-05-23,30
2009-05-24 - 2009-05-30,42
2009-05-31 - 2009-06-06,32
2009-06-07 - 2009-06-13,49
2009-06-14 - 2009-06-20,44
2009-06-21 - 2009-06-27,40
2009-06-28 - 2009-07-04,87
2009-07-05 - 2009-07-11,19
2009-07-12 - 2009-07-18,16
2009-07-19 - 2009-07-25,15
2009-07-26 - 2009-08-01,15
2009-08-02 - 2009-08-08,14
2009-08-09 - 2009-08-15,16
2009-08-16 - 2009-08-22,17
2009-08-23 - 2009-08-29,32
2009-08-30 - 2009-09-05,26
2009-09-06 - 2009-09-12,25
2009-09-13 - 2009-09-19,25
2009-09-20 - 2009-09-26,21
2009-09-27 - 2009-10-03,22
2009-10-04 - 2009-10-10,19
2009-10-11 - 2009-10-17,18
2009-10-18 - 2009-10-24,19
2009-10-25 - 2009-10-31,20
2009-11-01 - 2009-11-07,28
2009-11-08 - 2009-11-14,18
2009-11-15 - 2009-11-21,18
2009-11-22 - 2009-11-28,22
2009-11-29 - 2009-12-05,18
2009-12-06 - 2009-12-12,20
2009-12-13 - 2009-12-19,21
2009-12-20 - 2009-12-26,13
2009-12-27 - 2010-01-02,14
2010-01-03 - 2010-01-09,24
2010-01-10 - 2010-01-16,24
2010-01-17 - 2010-01-23,19
2010-01-24 - 2010-01-30,19
2010-01-31 - 2010-02-06,20
2010-02-07 - 2010-02-13,20
2010-02-14 - 2010-02-20,19
2010-02-21 - 2010-02-27,19
2010-02-28 - 2010-03-06,26
2010-03-07 - 2010-03-13,24
2010-03-14 - 2010-03-20,24
2010-03-21 - 2010-03-27,22
2010-03-28 - 2010-04-03,21
2010-04-04 - 2010-04-10,36
2010-04-11 - 2010-04-17,26
2010-04-18 - 2010-04-24,28
2010-04-25 - 2010-05-01,48
2010-05-02 - 2010-05-08,59
2010-05-09 - 2010-05-15,31
2010-05-16 - 2010-05-22,28
2010-05-23 - 2010-05-29,30
2010-05-30 - 2010-06-05,28
2010-06-06 - 2010-06-12,30
2010-06-13 - 2010-06-19,54
2010-06-20 - 2010-06-26,50
2010-06-27 - 2010-07-03,86
2010-07-04 - 2010-07-10,20
2010-07-11 - 2010-07-17,16
2010-07-18 - 2010-07-24,15
2010-07-25 - 2010-07-31,15
2010-08-01 - 2010-08-07,15
2010-08-08 - 2010-08-14,17
2010-08-15 - 2010-08-21,19
2010-08-22 - 2010-08-28,30
2010-08-29 - 2010-09-04,24
2010-09-05 - 2010-09-11,22
2010-09-12 - 2010-09-18,21
2010-09-19 - 2010-09-25,21
2010-09-26 - 2010-10-02,23
2010-10-03 - 2010-10-09,19
2010-10-10 - 2010-10-16,18
2010-10-17 - 2010-10-23,20
2010-10-24 - 2010-10-30,20
2010-10-31 - 2010-11-06,26
2010-11-07 - 2010-11-13,17
2010-11-14 - 2010-11-20,19
2010-11-21 - 2010-11-27,19
2010-11-28 - 2010-12-04,19
2010-12-05 - 2010-12-11,19
2010-12-12 - 2010-12-18,18
2010-12-19 - 2010-12-25,15
2010-12-26 - 2011-01-01,16
2011-01-02 - 2011-01-08,20
2011-01-09 - 2011-01-15,26
2011-01-16 - 2011-01-22,20
2011-01-23 - 2011-01-29,19
2011-01-30 - 2011-02-05,20
2011-02-06 - 2011-02-12,21
2011-02-13 - 2011-02-19,21
2011-02-20 - 2011-02-26,22
2011-02-27 - 2011-03-05,25
2011-03-06 - 2011-03-12,22
2011-03-13 - 2011-03-19,23
2011-03-20 - 2011-03-26,23
2011-03-27 - 2011-04-02,27
2011-04-03 - 2011-04-09,37
2011-04-10 - 2011-04-16,40
2011-04-17 - 2011-04-23,22
2011-04-24 - 2011-04-30,22
2011-05-01 - 2011-05-07,43
2011-05-08 - 2011-05-14,30
2011-05-15 - 2011-05-21,25
2011-05-22 - 2011-05-28,28
2011-05-29 - 2011-06-04,27
2011-06-05 - 2011-06-11,25
2011-06-12 - 2011-06-18,57
2011-06-19 - 2011-06-25,28
2011-06-26 - 2011-07-02,72
2011-07-03 - 2011-07-09,21
2011-07-10 - 2011-07-16,16
2011-07-17 - 2011-07-23,14
2011-07-24 - 2011-07-30,16
2011-07-31 - 2011-08-06,16
2011-08-07 - 2011-08-13,18
2011-08-14 - 2011-08-20,19
2011-08-21 - 2011-08-27,32
2011-08-28 - 2011-09-03,21
2011-09-04 - 2011-09-10,23
2011-09-11 - 2011-09-17,27
2011-09-18 - 2011-09-24,24
2011-09-25 - 2011-10-01,23
2011-10-02 - 2011-10-08,19
2011-10-09 - 2011-10-15,18
2011-10-16 - 2011-10-22,20
2011-10-23 - 2011-10-29,20
2011-10-30 - 2011-11-05,19
2011-11-06 - 2011-11-12,18
2011-11-13 - 2011-11-19,20
2011-11-20 - 2011-11-26,21
2011-11-27 - 2011-12-03,20
2011-12-04 - 2011-12-10,25
2011-12-11 - 2011-12-17,20
2011-12-18 - 2011-12-24,16
2011-12-25 - 2011-12-31,16
2012-01-01 - 2012-01-07,19
2012-01-08 - 2012-01-14,26
2012-01-15 - 2012-01-21,20
2012-01-22 - 2012-01-28,20
2012-01-29 - 2012-02-04,18
2012-02-05 - 2012-02-11,20
2012-02-12 - 2012-02-18,18
2012-02-19 - 2012-02-25,21
2012-02-26 - 2012-03-03,22
2012-03-04 - 2012-03-10,25
2012-03-11 - 2012-03-17,21
2012-03-18 - 2012-03-24,21
2012-03-25 - 2012-03-31,24
2012-04-01 - 2012-04-07,25
2012-04-08 - 2012-04-14,20
2012-04-15 - 2012-04-21,23
2012-04-22 - 2012-04-28,33
2012-04-29 - 2012-05-05,26
2012-05-06 - 2012-05-12,30
2012-05-13 - 2012-05-19,23
2012-05-20 - 2012-05-26,20
2012-05-27 - 2012-06-02,31
2012-06-03 - 2012-06-09,19
2012-06-10 - 2012-06-16,23
2012-06-17 - 2012-06-23,55
2012-06-24 - 2012-06-30,70
2012-07-01 - 2012-07-07,22
2012-07-08 - 2012-07-14,15
2012-07-15 - 2012-07-21,14
2012-07-22 - 2012-07-28,14
2012-07-29 - 2012-08-04,14
2012-08-05 - 2012-08-11,15
2012-08-12 - 2012-08-18,15
2012-08-19 - 2012-08-25,19
2012-08-26 - 2012-09-01,32
2012-09-02 - 2012-09-08,20
2012-09-09 - 2012-09-15,22
2012-09-16 - 2012-09-22,19
2012-09-23 - 2012-09-29,20
2012-09-30 - 2012-10-06,18
2012-10-07 - 2012-10-13,16
2012-10-14 - 2012-10-20,16
2012-10-21 - 2012-10-27,16
2012-10-28 - 2012-11-03,15
2012-11-04 - 2012-11-10,18
2012-11-11 - 2012-11-17,23
2012-11-18 - 2012-11-24,20
2012-11-25 - 2012-12-01,17
2012-12-02 - 2012-12-08,16
2012-12-09 - 2012-12-15,17
2012-12-16 - 2012-12-22,15
2012-12-23 - 2012-12-29,14
2012-12-30 - 2013-01-05,20
2013-01-06 - 2013-01-12,20
2013-01-13 - 2013-01-19,17
2013-01-20 - 2013-01-26,16
2013-01-27 - 2013-02-02,19
2013-02-03 - 2013-02-09,19
2013-02-10 - 2013-02-16,18
2013-02-17 - 2013-02-23,18
2013-02-24 - 2013-03-02,21
2013-03-03 - 2013-03-09,21
2013-03-10 - 2013-03-16,21
2013-03-17 - 2013-03-23,21
2013-03-24 - 2013-03-30,20
