Web Search interest: sig
Worldwide 2004 - present

Interest over time
Week,sig
2004-01-04 - 2004-01-10,58
2004-01-11 - 2004-01-17,62
2004-01-18 - 2004-01-24,64
2004-01-25 - 2004-01-31,63
2004-02-01 - 2004-02-07,60
2004-02-08 - 2004-02-14,66
2004-02-15 - 2004-02-21,67
2004-02-22 - 2004-02-28,60
2004-02-29 - 2004-03-06,67
2004-03-07 - 2004-03-13,65
2004-03-14 - 2004-03-20,64
2004-03-21 - 2004-03-27,61
2004-03-28 - 2004-04-03,61
2004-04-04 - 2004-04-10,59
2004-04-11 - 2004-04-17,64
2004-04-18 - 2004-04-24,63
2004-04-25 - 2004-05-01,62
2004-05-02 - 2004-05-08,63
2004-05-09 - 2004-05-15,58
2004-05-16 - 2004-05-22,60
2004-05-23 - 2004-05-29,59
2004-05-30 - 2004-06-05,58
2004-06-06 - 2004-06-12,59
2004-06-13 - 2004-06-19,55
2004-06-20 - 2004-06-26,55
2004-06-27 - 2004-07-03,55
2004-07-04 - 2004-07-10,53
2004-07-11 - 2004-07-17,55
2004-07-18 - 2004-07-24,56
2004-07-25 - 2004-07-31,56
2004-08-01 - 2004-08-07,60
2004-08-08 - 2004-08-14,59
2004-08-15 - 2004-08-21,55
2004-08-22 - 2004-08-28,63
2004-08-29 - 2004-09-04,60
2004-09-05 - 2004-09-11,63
2004-09-12 - 2004-09-18,68
2004-09-19 - 2004-09-25,69
2004-09-26 - 2004-10-02,65
2004-10-03 - 2004-10-09,63
2004-10-10 - 2004-10-16,67
2004-10-17 - 2004-10-23,68
2004-10-24 - 2004-10-30,64
2004-10-31 - 2004-11-06,59
2004-11-07 - 2004-11-13,64
2004-11-14 - 2004-11-20,63
2004-11-21 - 2004-11-27,63
2004-11-28 - 2004-12-04,62
2004-12-05 - 2004-12-11,60
2004-12-12 - 2004-12-18,59
2004-12-19 - 2004-12-25,62
2004-12-26 - 2005-01-01,56
2005-01-02 - 2005-01-08,63
2005-01-09 - 2005-01-15,67
2005-01-16 - 2005-01-22,68
2005-01-23 - 2005-01-29,63
2005-01-30 - 2005-02-05,66
2005-02-06 - 2005-02-12,64
2005-02-13 - 2005-02-19,69
2005-02-20 - 2005-02-26,69
2005-02-27 - 2005-03-05,64
2005-03-06 - 2005-03-12,69
2005-03-13 - 2005-03-19,65
2005-03-20 - 2005-03-26,62
2005-03-27 - 2005-04-02,66
2005-04-03 - 2005-04-09,62
2005-04-10 - 2005-04-16,61
2005-04-17 - 2005-04-23,62
2005-04-24 - 2005-04-30,63
2005-05-01 - 2005-05-07,65
2005-05-08 - 2005-05-14,62
2005-05-15 - 2005-05-21,62
2005-05-22 - 2005-05-28,63
2005-05-29 - 2005-06-04,65
2005-06-05 - 2005-06-11,61
