Web Search interest: tel
Worldwide 2004 - present

Interest over time
Week,tel
2004-01-04 - 2004-01-10,60
2004-01-11 - 2004-01-17,61
2004-01-18 - 2004-01-24,62
2004-01-25 - 2004-01-31,62
2004-02-01 - 2004-02-07,60
2004-02-08 - 2004-02-14,62
2004-02-15 - 2004-02-21,62
2004-02-22 - 2004-02-28,59
2004-02-29 - 2004-03-06,61
2004-03-07 - 2004-03-13,63
2004-03-14 - 2004-03-20,59
2004-03-21 - 2004-03-27,57
2004-03-28 - 2004-04-03,60
2004-04-04 - 2004-04-10,61
2004-04-11 - 2004-04-17,64
2004-04-18 - 2004-04-24,60
2004-04-25 - 2004-05-01,63
2004-05-02 - 2004-05-08,64
2004-05-09 - 2004-05-15,60
2004-05-16 - 2004-05-22,59
2004-05-23 - 2004-05-29,61
2004-05-30 - 2004-06-05,62
2004-06-06 - 2004-06-12,61
2004-06-13 - 2004-06-19,63
2004-06-20 - 2004-06-26,64
2004-06-27 - 2004-07-03,67
2004-07-04 - 2004-07-10,66
2004-07-11 - 2004-07-17,66
2004-07-18 - 2004-07-24,69
2004-07-25 - 2004-07-31,69
2004-08-01 - 2004-08-07,67
2004-08-08 - 2004-08-14,64
2004-08-15 - 2004-08-21,63
2004-08-22 - 2004-08-28,67
2004-08-29 - 2004-09-04,66
2004-09-05 - 2004-09-11,66
2004-09-12 - 2004-09-18,66
2004-09-19 - 2004-09-25,67
2004-09-26 - 2004-10-02,65
2004-10-03 - 2004-10-09,64
2004-10-10 - 2004-10-16,65
2004-10-17 - 2004-10-23,63
2004-10-24 - 2004-10-30,63
2004-10-31 - 2004-11-06,63
2004-11-07 - 2004-11-13,60
2004-11-14 - 2004-11-20,62
2004-11-21 - 2004-11-27,65
2004-11-28 - 2004-12-04,65
2004-12-05 - 2004-12-11,63
2004-12-12 - 2004-12-18,65
2004-12-19 - 2004-12-25,66
2004-12-26 - 2005-01-01,59
2005-01-02 - 2005-01-08,66
2005-01-09 - 2005-01-15,69
2005-01-16 - 2005-01-22,66
2005-01-23 - 2005-01-29,65
2005-01-30 - 2005-02-05,68
2005-02-06 - 2005-02-12,65
2005-02-13 - 2005-02-19,65
2005-02-20 - 2005-02-26,68
2005-02-27 - 2005-03-05,69
2005-03-06 - 2005-03-12,67
2005-03-13 - 2005-03-19,66
2005-03-20 - 2005-03-26,65
2005-03-27 - 2005-04-02,62
2005-04-03 - 2005-04-09,63
2005-04-10 - 2005-04-16,64
2005-04-17 - 2005-04-23,66
2005-04-24 - 2005-04-30,65
2005-05-01 - 2005-05-07,65
2005-05-08 - 2005-05-14,68
2005-05-15 - 2005-05-21,67
2005-05-22 - 2005-05-28,67
2005-05-29 - 2005-06-04,68
2005-06-05 - 2005-06-11,69
2005-06-12 - 2005-06-18,69
2005-06-19 - 2005-06-25,73
2005-06-26 - 2005-07-02,71
2005-07-03 - 2005-07-09,73
2005-07-10 - 2005-07-16,71
2005-07-17 - 2005-07-23,73
2005-07-24 - 2005-07-30,72
2005-07-31 - 2005-08-06,70
2005-08-07 - 2005-08-13,68
2005-08-14 - 2005-08-20,68
2005-08-21 - 2005-08-27,69
2005-08-28 - 2005-09-03,68
2005-09-04 - 2005-09-10,72
2005-09-11 - 2005-09-17,69
2005-09-18 - 2005-09-24,70
2005-09-25 - 2005-10-01,69
2005-10-02 - 2005-10-08,68
2005-10-09 - 2005-10-15,70
2005-10-16 - 2005-10-22,72
2005-10-23 - 2005-10-29,69
2005-10-30 - 2005-11-05,65
2005-11-06 - 2005-11-12,69
2005-11-13 - 2005-11-19,68
2005-11-20 - 2005-11-26,70
2005-11-27 - 2005-12-03,67
2005-12-04 - 2005-12-10,73
2005-12-11 - 2005-12-17,73
2005-12-18 - 2005-12-24,73
2005-12-25 - 2005-12-31,68
2006-01-01 - 2006-01-07,70
2006-01-08 - 2006-01-14,68
2006-01-15 - 2006-01-21,70
2006-01-22 - 2006-01-28,69
2006-01-29 - 2006-02-04,70
2006-02-05 - 2006-02-11,70
2006-02-12 - 2006-02-18,69
2006-02-19 - 2006-02-25,68
2006-02-26 - 2006-03-04,69
2006-03-05 - 2006-03-11,68
2006-03-12 - 2006-03-18,70
2006-03-19 - 2006-03-25,70
2006-03-26 - 2006-04-01,68
2006-04-02 - 2006-04-08,70
2006-04-09 - 2006-04-15,69
2006-04-16 - 2006-04-22,70
2006-04-23 - 2006-04-29,72
2006-04-30 - 2006-05-06,70
2006-05-07 - 2006-05-13,72
2006-05-14 - 2006-05-20,73
2006-05-21 - 2006-05-27,68
2006-05-28 - 2006-06-03,71
2006-06-04 - 2006-06-10,70
2006-06-11 - 2006-06-17,71
2006-06-18 - 2006-06-24,74
2006-06-25 - 2006-07-01,74
2006-07-02 - 2006-07-08,77
2006-07-09 - 2006-07-15,77
2006-07-16 - 2006-07-22,76
2006-07-23 - 2006-07-29,74
2006-07-30 - 2006-08-05,76
2006-08-06 - 2006-08-12,72
2006-08-13 - 2006-08-19,69
2006-08-20 - 2006-08-26,70
2006-08-27 - 2006-09-02,71
2006-09-03 - 2006-09-09,70
2006-09-10 - 2006-09-16,73
2006-09-17 - 2006-09-23,72
2006-09-24 - 2006-09-30,70
2006-10-01 - 2006-10-07,71
2006-10-08 - 2006-10-14,71
2006-10-15 - 2006-10-21,72
2006-10-22 - 2006-10-28,68
2006-10-29 - 2006-11-04,69
2006-11-05 - 2006-11-11,69
2006-11-12 - 2006-11-18,71
2006-11-19 - 2006-11-25,73
2006-11-26 - 2006-12-02,72
2006-12-03 - 2006-12-09,72
2006-12-10 - 2006-12-16,73
2006-12-17 - 2006-12-23,76
2006-12-24 - 2006-12-30,67
2006-12-31 - 2007-01-06,68
2007-01-07 - 2007-01-13,72
2007-01-14 - 2007-01-20,73
2007-01-21 - 2007-01-27,72
2007-01-28 - 2007-02-03,72
2007-02-04 - 2007-02-10,73
2007-02-11 - 2007-02-17,73
2007-02-18 - 2007-02-24,72
2007-02-25 - 2007-03-03,72
2007-03-04 - 2007-03-10,73
2007-03-11 - 2007-03-17,72
2007-03-18 - 2007-03-24,73
2007-03-25 - 2007-03-31,73
2007-04-01 - 2007-04-07,71
2007-04-08 - 2007-04-14,71
2007-04-15 - 2007-04-21,72
2007-04-22 - 2007-04-28,73
2007-04-29 - 2007-05-05,71
2007-05-06 - 2007-05-12,75
2007-05-13 - 2007-05-19,73
