Web Search interest: trow
Worldwide 2004 - present

Interest over time
Week,trow
2004-01-04 - 2004-01-10,68
2004-01-11 - 2004-01-17,80
2004-01-18 - 2004-01-24,77
2004-01-25 - 2004-01-31,70
2004-02-01 - 2004-02-07,52
2004-02-08 - 2004-02-14,68
2004-02-15 - 2004-02-21,85
2004-02-22 - 2004-02-28,64
2004-02-29 - 2004-03-06,91
2004-03-07 - 2004-03-13,72
2004-03-14 - 2004-03-20,70
2004-03-21 - 2004-03-27,74
2004-03-28 - 2004-04-03,55
2004-04-04 - 2004-04-10,64
2004-04-11 - 2004-04-17,33
2004-04-18 - 2004-04-24,68
2004-04-25 - 2004-05-01,90
2004-05-02 - 2004-05-08,56
2004-05-09 - 2004-05-15,80
2004-05-16 - 2004-05-22,53
2004-05-23 - 2004-05-29,38
2004-05-30 - 2004-06-05,61
2004-06-06 - 2004-06-12,54
2004-06-13 - 2004-06-19,52
2004-06-20 - 2004-06-26,48
2004-06-27 - 2004-07-03,51
2004-07-04 - 2004-07-10,59
2004-07-11 - 2004-07-17,47
2004-07-18 - 2004-07-24,49
2004-07-25 - 2004-07-31,56
2004-08-01 - 2004-08-07,59
2004-08-08 - 2004-08-14,48
2004-08-15 - 2004-08-21,66
2004-08-22 - 2004-08-28,80
2004-08-29 - 2004-09-04,61
2004-09-05 - 2004-09-11,51
2004-09-12 - 2004-09-18,62
2004-09-19 - 2004-09-25,51
2004-09-26 - 2004-10-02,59
2004-10-03 - 2004-10-09,72
2004-10-10 - 2004-10-16,38
2004-10-17 - 2004-10-23,67
2004-10-24 - 2004-10-30,78
2004-10-31 - 2004-11-06,46
2004-11-07 - 2004-11-13,50
2004-11-14 - 2004-11-20,63
2004-11-21 - 2004-11-27,63
2004-11-28 - 2004-12-04,48
2004-12-05 - 2004-12-11,50
2004-12-12 - 2004-12-18,61
2004-12-19 - 2004-12-25,67
2004-12-26 - 2005-01-01,51
2005-01-02 - 2005-01-08,79
2005-01-09 - 2005-01-15,77
2005-01-16 - 2005-01-22,62
2005-01-23 - 2005-01-29,77
2005-01-30 - 2005-02-05,53
2005-02-06 - 2005-02-12,55
2005-02-13 - 2005-02-19,64
2005-02-20 - 2005-02-26,69
2005-02-27 - 2005-03-05,64
2005-03-06 - 2005-03-12,51
2005-03-13 - 2005-03-19,79
2005-03-20 - 2005-03-26,58
2005-03-27 - 2005-04-02,90
2005-04-03 - 2005-04-09,37
2005-04-10 - 2005-04-16,69
2005-04-17 - 2005-04-23,58
2005-04-24 - 2005-04-30,63
2005-05-01 - 2005-05-07,54
2005-05-08 - 2005-05-14,61
2005-05-15 - 2005-05-21,60
2005-05-22 - 2005-05-28,78
2005-05-29 - 2005-06-04,70
2005-06-05 - 2005-06-11,55
2005-06-12 - 2005-06-18,60
