Web Search interest: tso
Worldwide 2004 - present

Interest over time
Week,tso
2004-01-04 - 2004-01-10,66
2004-01-11 - 2004-01-17,68
2004-01-18 - 2004-01-24,70
2004-01-25 - 2004-01-31,69
2004-02-01 - 2004-02-07,63
2004-02-08 - 2004-02-14,75
2004-02-15 - 2004-02-21,58
2004-02-22 - 2004-02-28,60
2004-02-29 - 2004-03-06,67
2004-03-07 - 2004-03-13,66
2004-03-14 - 2004-03-20,64
2004-03-21 - 2004-03-27,50
2004-03-28 - 2004-04-03,75
2004-04-04 - 2004-04-10,77
2004-04-11 - 2004-04-17,66
2004-04-18 - 2004-04-24,61
2004-04-25 - 2004-05-01,55
2004-05-02 - 2004-05-08,67
2004-05-09 - 2004-05-15,71
2004-05-16 - 2004-05-22,53
2004-05-23 - 2004-05-29,63
2004-05-30 - 2004-06-05,59
2004-06-06 - 2004-06-12,58
2004-06-13 - 2004-06-19,66
2004-06-20 - 2004-06-26,63
2004-06-27 - 2004-07-03,85
2004-07-04 - 2004-07-10,62
2004-07-11 - 2004-07-17,70
2004-07-18 - 2004-07-24,58
2004-07-25 - 2004-07-31,65
2004-08-01 - 2004-08-07,61
2004-08-08 - 2004-08-14,77
2004-08-15 - 2004-08-21,72
2004-08-22 - 2004-08-28,59
2004-08-29 - 2004-09-04,64
2004-09-05 - 2004-09-11,58
2004-09-12 - 2004-09-18,69
2004-09-19 - 2004-09-25,61
2004-09-26 - 2004-10-02,64
2004-10-03 - 2004-10-09,64
2004-10-10 - 2004-10-16,64
2004-10-17 - 2004-10-23,63
2004-10-24 - 2004-10-30,70
2004-10-31 - 2004-11-06,60
2004-11-07 - 2004-11-13,70
2004-11-14 - 2004-11-20,65
2004-11-21 - 2004-11-27,68
2004-11-28 - 2004-12-04,75
2004-12-05 - 2004-12-11,68
2004-12-12 - 2004-12-18,77
2004-12-19 - 2004-12-25,76
2004-12-26 - 2005-01-01,64
2005-01-02 - 2005-01-08,66
2005-01-09 - 2005-01-15,59
2005-01-16 - 2005-01-22,65
2005-01-23 - 2005-01-29,63
2005-01-30 - 2005-02-05,64
2005-02-06 - 2005-02-12,63
2005-02-13 - 2005-02-19,63
2005-02-20 - 2005-02-26,71
2005-02-27 - 2005-03-05,62
2005-03-06 - 2005-03-12,65
2005-03-13 - 2005-03-19,60
2005-03-20 - 2005-03-26,70
2005-03-27 - 2005-04-02,59
2005-04-03 - 2005-04-09,51
2005-04-10 - 2005-04-16,55
2005-04-17 - 2005-04-23,55
2005-04-24 - 2005-04-30,55
2005-05-01 - 2005-05-07,51
2005-05-08 - 2005-05-14,56
2005-05-15 - 2005-05-21,59
2005-05-22 - 2005-05-28,60
2005-05-29 - 2005-06-04,59
2005-06-05 - 2005-06-11,68
2005-06-12 - 2005-06-18,63
2005-06-19 - 2005-06-25,67
2005-06-26 - 2005-07-02,65
2005-07-03 - 2005-07-09,63
2005-07-10 - 2005-07-16,69
2005-07-17 - 2005-07-23,68
2005-07-24 - 2005-07-30,68
2005-07-31 - 2005-08-06,63
2005-08-07 - 2005-08-13,57
2005-08-14 - 2005-08-20,65
2005-08-21 - 2005-08-27,64
2005-08-28 - 2005-09-03,59
2005-09-04 - 2005-09-10,54
2005-09-11 - 2005-09-17,60
2005-09-18 - 2005-09-24,66
2005-09-25 - 2005-10-01,62
2005-10-02 - 2005-10-08,71
2005-10-09 - 2005-10-15,66
2005-10-16 - 2005-10-22,60
2005-10-23 - 2005-10-29,69
2005-10-30 - 2005-11-05,67
2005-11-06 - 2005-11-12,61
2005-11-13 - 2005-11-19,71
2005-11-20 - 2005-11-26,74
2005-11-27 - 2005-12-03,88
2005-12-04 - 2005-12-10,100
2005-12-11 - 2005-12-17,95
2005-12-18 - 2005-12-24,98
2005-12-25 - 2005-12-31,74
2006-01-01 - 2006-01-07,62
2006-01-08 - 2006-01-14,63
2006-01-15 - 2006-01-21,64
2006-01-22 - 2006-01-28,65
2006-01-29 - 2006-02-04,62
2006-02-05 - 2006-02-11,62
2006-02-12 - 2006-02-18,60
2006-02-19 - 2006-02-25,65
2006-02-26 - 2006-03-04,57
2006-03-05 - 2006-03-11,60
2006-03-12 - 2006-03-18,68
2006-03-19 - 2006-03-25,54
2006-03-26 - 2006-04-01,58
2006-04-02 - 2006-04-08,55
2006-04-09 - 2006-04-15,60
2006-04-16 - 2006-04-22,58
2006-04-23 - 2006-04-29,58
2006-04-30 - 2006-05-06,58
2006-05-07 - 2006-05-13,61
2006-05-14 - 2006-05-20,55
2006-05-21 - 2006-05-27,53
2006-05-28 - 2006-06-03,57
2006-06-04 - 2006-06-10,55
2006-06-11 - 2006-06-17,57
2006-06-18 - 2006-06-24,54
2006-06-25 - 2006-07-01,61
2006-07-02 - 2006-07-08,52
2006-07-09 - 2006-07-15,61
2006-07-16 - 2006-07-22,55
2006-07-23 - 2006-07-29,50
2006-07-30 - 2006-08-05,66
2006-08-06 - 2006-08-12,57
2006-08-13 - 2006-08-19,56
2006-08-20 - 2006-08-26,65
2006-08-27 - 2006-09-02,55
2006-09-03 - 2006-09-09,63
2006-09-10 - 2006-09-16,70
2006-09-17 - 2006-09-23,62
2006-09-24 - 2006-09-30,59
2006-10-01 - 2006-10-07,65
2006-10-08 - 2006-10-14,64
2006-10-15 - 2006-10-21,67
2006-10-22 - 2006-10-28,62
2006-10-29 - 2006-11-04,68
2006-11-05 - 2006-11-11,75
2006-11-12 - 2006-11-18,80
2006-11-19 - 2006-11-25,71
2006-11-26 - 2006-12-02,87
2006-12-03 - 2006-12-09,91
2006-12-10 - 2006-12-16,84
2006-12-17 - 2006-12-23,92
2006-12-24 - 2006-12-30,73
2006-12-31 - 2007-01-06,53
2007-01-07 - 2007-01-13,54
2007-01-14 - 2007-01-20,62
2007-01-21 - 2007-01-27,54
2007-01-28 - 2007-02-03,61
2007-02-04 - 2007-02-10,58
2007-02-11 - 2007-02-17,60
2007-02-18 - 2007-02-24,57
2007-02-25 - 2007-03-03,56
2007-03-04 - 2007-03-10,59
2007-03-11 - 2007-03-17,55
2007-03-18 - 2007-03-24,61
2007-03-25 - 2007-03-31,55
2007-04-01 - 2007-04-07,55
2007-04-08 - 2007-04-14,55
2007-04-15 - 2007-04-21,50
2007-04-22 - 2007-04-28,52
2007-04-29 - 2007-05-05,56
2007-05-06 - 2007-05-12,58
2007-05-13 - 2007-05-19,53
2007-05-20 - 2007-05-26,53
2007-05-27 - 2007-06-02,54
2007-06-03 - 2007-06-09,59
2007-06-10 - 2007-06-16,55
2007-06-17 - 2007-06-23,56
2007-06-24 - 2007-06-30,62
2007-07-01 - 2007-07-07,50
2007-07-08 - 2007-07-14,55
2007-07-15 - 2007-07-21,50
2007-07-22 - 2007-07-28,49
2007-07-29 - 2007-08-04,49
2007-08-05 - 2007-08-11,56
2007-08-12 - 2007-08-18,57
2007-08-19 - 2007-08-25,60
2007-08-26 - 2007-09-01,54
2007-09-02 - 2007-09-08,67
2007-09-09 - 2007-09-15,64
2007-09-16 - 2007-09-22,61
2007-09-23 - 2007-09-29,62
2007-09-30 - 2007-10-06,61
2007-10-07 - 2007-10-13,64
2007-10-14 - 2007-10-20,64
2007-10-21 - 2007-10-27,64
2007-10-28 - 2007-11-03,67
2007-11-04 - 2007-11-10,71
2007-11-11 - 2007-11-17,81
2007-11-18 - 2007-11-24,79
2007-11-25 - 2007-12-01,89
2007-12-02 - 2007-12-08,87
2007-12-09 - 2007-12-15,89
2007-12-16 - 2007-12-22,89
2007-12-23 - 2007-12-29,75
2007-12-30 - 2008-01-05,66
2008-01-06 - 2008-01-12,62
2008-01-13 - 2008-01-19,57
2008-01-20 - 2008-01-26,56
2008-01-27 - 2008-02-02,60
2008-02-03 - 2008-02-09,54
2008-02-10 - 2008-02-16,58
2008-02-17 - 2008-02-23,56
2008-02-24 - 2008-03-01,62
2008-03-02 - 2008-03-08,50
2008-03-09 - 2008-03-15,57
2008-03-16 - 2008-03-22,51
2008-03-23 - 2008-03-29,48
2008-03-30 - 2008-04-05,54
2008-04-06 - 2008-04-12,54
2008-04-13 - 2008-04-19,56
2008-04-20 - 2008-04-26,49
2008-04-27 - 2008-05-03,53
