Web Search interest: tss
Worldwide 2004 - present

Interest over time
Week,tss
2004-01-04 - 2004-01-10,61
2004-01-11 - 2004-01-17,60
2004-01-18 - 2004-01-24,64
2004-01-25 - 2004-01-31,67
2004-02-01 - 2004-02-07,66
2004-02-08 - 2004-02-14,63
2004-02-15 - 2004-02-21,57
2004-02-22 - 2004-02-28,73
2004-02-29 - 2004-03-06,60
2004-03-07 - 2004-03-13,79
2004-03-14 - 2004-03-20,51
2004-03-21 - 2004-03-27,63
2004-03-28 - 2004-04-03,62
2004-04-04 - 2004-04-10,58
2004-04-11 - 2004-04-17,53
2004-04-18 - 2004-04-24,63
2004-04-25 - 2004-05-01,56
2004-05-02 - 2004-05-08,61
2004-05-09 - 2004-05-15,63
2004-05-16 - 2004-05-22,63
2004-05-23 - 2004-05-29,62
2004-05-30 - 2004-06-05,66
2004-06-06 - 2004-06-12,63
2004-06-13 - 2004-06-19,55
2004-06-20 - 2004-06-26,64
2004-06-27 - 2004-07-03,59
2004-07-04 - 2004-07-10,59
2004-07-11 - 2004-07-17,71
2004-07-18 - 2004-07-24,67
2004-07-25 - 2004-07-31,76
2004-08-01 - 2004-08-07,65
2004-08-08 - 2004-08-14,62
2004-08-15 - 2004-08-21,76
2004-08-22 - 2004-08-28,67
2004-08-29 - 2004-09-04,78
2004-09-05 - 2004-09-11,77
2004-09-12 - 2004-09-18,71
2004-09-19 - 2004-09-25,66
2004-09-26 - 2004-10-02,72
2004-10-03 - 2004-10-09,72
2004-10-10 - 2004-10-16,65
2004-10-17 - 2004-10-23,78
2004-10-24 - 2004-10-30,64
2004-10-31 - 2004-11-06,79
2004-11-07 - 2004-11-13,82
2004-11-14 - 2004-11-20,74
2004-11-21 - 2004-11-27,65
2004-11-28 - 2004-12-04,78
2004-12-05 - 2004-12-11,73
2004-12-12 - 2004-12-18,82
2004-12-19 - 2004-12-25,59
2004-12-26 - 2005-01-01,65
2005-01-02 - 2005-01-08,70
2005-01-09 - 2005-01-15,76
2005-01-16 - 2005-01-22,80
2005-01-23 - 2005-01-29,82
2005-01-30 - 2005-02-05,81
2005-02-06 - 2005-02-12,77
2005-02-13 - 2005-02-19,72
2005-02-20 - 2005-02-26,74
2005-02-27 - 2005-03-05,74
2005-03-06 - 2005-03-12,75
2005-03-13 - 2005-03-19,74
2005-03-20 - 2005-03-26,75
2005-03-27 - 2005-04-02,60
2005-04-03 - 2005-04-09,68
2005-04-10 - 2005-04-16,68
2005-04-17 - 2005-04-23,57
2005-04-24 - 2005-04-30,57
2005-05-01 - 2005-05-07,64
2005-05-08 - 2005-05-14,72
2005-05-15 - 2005-05-21,63
2005-05-22 - 2005-05-28,73
2005-05-29 - 2005-06-04,65
2005-06-05 - 2005-06-11,71
2005-06-12 - 2005-06-18,60
2005-06-19 - 2005-06-25,60
2005-06-26 - 2005-07-02,74
2005-07-03 - 2005-07-09,73
2005-07-10 - 2005-07-16,66
2005-07-17 - 2005-07-23,74
2005-07-24 - 2005-07-30,67
2005-07-31 - 2005-08-06,66
2005-08-07 - 2005-08-13,60
2005-08-14 - 2005-08-20,67
2005-08-21 - 2005-08-27,58
2005-08-28 - 2005-09-03,71
2005-09-04 - 2005-09-10,68
2005-09-11 - 2005-09-17,59
2005-09-18 - 2005-09-24,59
2005-09-25 - 2005-10-01,69
2005-10-02 - 2005-10-08,65
2005-10-09 - 2005-10-15,67
2005-10-16 - 2005-10-22,65
2005-10-23 - 2005-10-29,60
2005-10-30 - 2005-11-05,64
2005-11-06 - 2005-11-12,59
2005-11-13 - 2005-11-19,52
2005-11-20 - 2005-11-26,56
2005-11-27 - 2005-12-03,62
