Web Search interest: tyc
Worldwide 2004 - present

Interest over time
Week,tyc
2004-01-04 - 2004-01-10,7
2004-01-11 - 2004-01-17,8
2004-01-18 - 2004-01-24,7
2004-01-25 - 2004-01-31,7
2004-02-01 - 2004-02-07,8
2004-02-08 - 2004-02-14,10
2004-02-15 - 2004-02-21,12
2004-02-22 - 2004-02-28,9
2004-02-29 - 2004-03-06,10
2004-03-07 - 2004-03-13,7
2004-03-14 - 2004-03-20,8
2004-03-21 - 2004-03-27,23
2004-03-28 - 2004-04-03,13
2004-04-04 - 2004-04-10,11
2004-04-11 - 2004-04-17,11
2004-04-18 - 2004-04-24,9
2004-04-25 - 2004-05-01,13
2004-05-02 - 2004-05-08,9
2004-05-09 - 2004-05-15,8
2004-05-16 - 2004-05-22,15
2004-05-23 - 2004-05-29,9
2004-05-30 - 2004-06-05,15
2004-06-06 - 2004-06-12,9
2004-06-13 - 2004-06-19,10
2004-06-20 - 2004-06-26,9
2004-06-27 - 2004-07-03,11
2004-07-04 - 2004-07-10,9
2004-07-11 - 2004-07-17,12
2004-07-18 - 2004-07-24,10
2004-07-25 - 2004-07-31,9
2004-08-01 - 2004-08-07,10
2004-08-08 - 2004-08-14,27
2004-08-15 - 2004-08-21,46
2004-08-22 - 2004-08-28,68
2004-08-29 - 2004-09-04,12
2004-09-05 - 2004-09-11,10
2004-09-12 - 2004-09-18,11
2004-09-19 - 2004-09-25,14
2004-09-26 - 2004-10-02,14
2004-10-03 - 2004-10-09,12
2004-10-10 - 2004-10-16,13
2004-10-17 - 2004-10-23,12
2004-10-24 - 2004-10-30,14
2004-10-31 - 2004-11-06,12
2004-11-07 - 2004-11-13,19
2004-11-14 - 2004-11-20,13
2004-11-21 - 2004-11-27,10
2004-11-28 - 2004-12-04,9
2004-12-05 - 2004-12-11,11
2004-12-12 - 2004-12-18,11
2004-12-19 - 2004-12-25,8
2004-12-26 - 2005-01-01,12
2005-01-02 - 2005-01-08,9
2005-01-09 - 2005-01-15,9
