Web Search interest: ual
Worldwide 2004 - present

Interest over time
Week,ual
2004-01-04 - 2004-01-10,55
2004-01-11 - 2004-01-17,65
2004-01-18 - 2004-01-24,58
2004-01-25 - 2004-01-31,64
2004-02-01 - 2004-02-07,66
2004-02-08 - 2004-02-14,59
2004-02-15 - 2004-02-21,61
2004-02-22 - 2004-02-28,61
2004-02-29 - 2004-03-06,65
2004-03-07 - 2004-03-13,58
2004-03-14 - 2004-03-20,60
2004-03-21 - 2004-03-27,62
2004-03-28 - 2004-04-03,56
2004-04-04 - 2004-04-10,57
2004-04-11 - 2004-04-17,67
2004-04-18 - 2004-04-24,55
2004-04-25 - 2004-05-01,53
2004-05-02 - 2004-05-08,59
2004-05-09 - 2004-05-15,49
2004-05-16 - 2004-05-22,58
2004-05-23 - 2004-05-29,55
2004-05-30 - 2004-06-05,65
2004-06-06 - 2004-06-12,59
2004-06-13 - 2004-06-19,62
2004-06-20 - 2004-06-26,56
2004-06-27 - 2004-07-03,62
2004-07-04 - 2004-07-10,62
2004-07-11 - 2004-07-17,62
2004-07-18 - 2004-07-24,62
2004-07-25 - 2004-07-31,70
2004-08-01 - 2004-08-07,64
2004-08-08 - 2004-08-14,63
2004-08-15 - 2004-08-21,58
2004-08-22 - 2004-08-28,60
2004-08-29 - 2004-09-04,65
2004-09-05 - 2004-09-11,58
2004-09-12 - 2004-09-18,64
2004-09-19 - 2004-09-25,72
2004-09-26 - 2004-10-02,65
2004-10-03 - 2004-10-09,54
2004-10-10 - 2004-10-16,60
2004-10-17 - 2004-10-23,63
2004-10-24 - 2004-10-30,47
2004-10-31 - 2004-11-06,59
2004-11-07 - 2004-11-13,52
2004-11-14 - 2004-11-20,58
2004-11-21 - 2004-11-27,54
2004-11-28 - 2004-12-04,47
2004-12-05 - 2004-12-11,61
2004-12-12 - 2004-12-18,54
2004-12-19 - 2004-12-25,60
2004-12-26 - 2005-01-01,70
2005-01-02 - 2005-01-08,66
2005-01-09 - 2005-01-15,67
2005-01-16 - 2005-01-22,61
2005-01-23 - 2005-01-29,56
2005-01-30 - 2005-02-05,59
2005-02-06 - 2005-02-12,65
2005-02-13 - 2005-02-19,64
2005-02-20 - 2005-02-26,60
2005-02-27 - 2005-03-05,53
2005-03-06 - 2005-03-12,60
2005-03-13 - 2005-03-19,60
2005-03-20 - 2005-03-26,54
2005-03-27 - 2005-04-02,57
2005-04-03 - 2005-04-09,56
