Web Search interest: unh
Worldwide 2004 - present

Interest over time
Week,unh
2004-01-04 - 2004-01-10,66
2004-01-11 - 2004-01-17,56
2004-01-18 - 2004-01-24,67
2004-01-25 - 2004-01-31,58
2004-02-01 - 2004-02-07,54
2004-02-08 - 2004-02-14,62
2004-02-15 - 2004-02-21,59
2004-02-22 - 2004-02-28,46
2004-02-29 - 2004-03-06,76
2004-03-07 - 2004-03-13,76
2004-03-14 - 2004-03-20,61
2004-03-21 - 2004-03-27,80
2004-03-28 - 2004-04-03,64
2004-04-04 - 2004-04-10,69
2004-04-11 - 2004-04-17,56
2004-04-18 - 2004-04-24,61
2004-04-25 - 2004-05-01,58
2004-05-02 - 2004-05-08,58
2004-05-09 - 2004-05-15,46
2004-05-16 - 2004-05-22,51
2004-05-23 - 2004-05-29,52
2004-05-30 - 2004-06-05,47
2004-06-06 - 2004-06-12,45
2004-06-13 - 2004-06-19,49
2004-06-20 - 2004-06-26,48
2004-06-27 - 2004-07-03,38
2004-07-04 - 2004-07-10,40
2004-07-11 - 2004-07-17,38
2004-07-18 - 2004-07-24,44
2004-07-25 - 2004-07-31,37
2004-08-01 - 2004-08-07,43
2004-08-08 - 2004-08-14,57
2004-08-15 - 2004-08-21,63
2004-08-22 - 2004-08-28,60
2004-08-29 - 2004-09-04,81
2004-09-05 - 2004-09-11,64
2004-09-12 - 2004-09-18,75
2004-09-19 - 2004-09-25,70
2004-09-26 - 2004-10-02,65
2004-10-03 - 2004-10-09,69
2004-10-10 - 2004-10-16,63
2004-10-17 - 2004-10-23,57
2004-10-24 - 2004-10-30,63
2004-10-31 - 2004-11-06,61
2004-11-07 - 2004-11-13,63
2004-11-14 - 2004-11-20,65
2004-11-21 - 2004-11-27,74
2004-11-28 - 2004-12-04,85
2004-12-05 - 2004-12-11,74
2004-12-12 - 2004-12-18,60
2004-12-19 - 2004-12-25,38
2004-12-26 - 2005-01-01,52
2005-01-02 - 2005-01-08,59
2005-01-09 - 2005-01-15,59
2005-01-16 - 2005-01-22,62
2005-01-23 - 2005-01-29,58
2005-01-30 - 2005-02-05,62
2005-02-06 - 2005-02-12,61
2005-02-13 - 2005-02-19,61
2005-02-20 - 2005-02-26,59
2005-02-27 - 2005-03-05,66
2005-03-06 - 2005-03-12,65
2005-03-13 - 2005-03-19,49
2005-03-20 - 2005-03-26,76
2005-03-27 - 2005-04-02,71
2005-04-03 - 2005-04-09,72
2005-04-10 - 2005-04-16,60
2005-04-17 - 2005-04-23,67
2005-04-24 - 2005-04-30,57
2005-05-01 - 2005-05-07,72
2005-05-08 - 2005-05-14,53
2005-05-15 - 2005-05-21,51
2005-05-22 - 2005-05-28,58
2005-05-29 - 2005-06-04,45
2005-06-05 - 2005-06-11,50
2005-06-12 - 2005-06-18,50
2005-06-19 - 2005-06-25,49
2005-06-26 - 2005-07-02,44
2005-07-03 - 2005-07-09,51
2005-07-10 - 2005-07-16,44
2005-07-17 - 2005-07-23,55
2005-07-24 - 2005-07-30,56
2005-07-31 - 2005-08-06,56
2005-08-07 - 2005-08-13,57
2005-08-14 - 2005-08-20,61
2005-08-21 - 2005-08-27,68
2005-08-28 - 2005-09-03,76
2005-09-04 - 2005-09-10,68
2005-09-11 - 2005-09-17,75
2005-09-18 - 2005-09-24,76
2005-09-25 - 2005-10-01,79
2005-10-02 - 2005-10-08,79
2005-10-09 - 2005-10-15,79
2005-10-16 - 2005-10-22,77
2005-10-23 - 2005-10-29,90
2005-10-30 - 2005-11-05,83
2005-11-06 - 2005-11-12,81
2005-11-13 - 2005-11-19,83
2005-11-20 - 2005-11-26,78
2005-11-27 - 2005-12-03,100
2005-12-04 - 2005-12-10,83
2005-12-11 - 2005-12-17,79
2005-12-18 - 2005-12-24,61
2005-12-25 - 2005-12-31,65
2006-01-01 - 2006-01-07,71
2006-01-08 - 2006-01-14,82
2006-01-15 - 2006-01-21,78
2006-01-22 - 2006-01-28,85
2006-01-29 - 2006-02-04,94
2006-02-05 - 2006-02-11,78
2006-02-12 - 2006-02-18,74
2006-02-19 - 2006-02-25,71
2006-02-26 - 2006-03-04,73
2006-03-05 - 2006-03-11,71
2006-03-12 - 2006-03-18,70
2006-03-19 - 2006-03-25,73
2006-03-26 - 2006-04-01,78
