Web Search interest: vtr
Worldwide 2004 - present

Interest over time
Week,vtr
2004-01-04 - 2004-01-10,47
2004-01-11 - 2004-01-17,48
2004-01-18 - 2004-01-24,61
2004-01-25 - 2004-01-31,55
2004-02-01 - 2004-02-07,50
2004-02-08 - 2004-02-14,55
2004-02-15 - 2004-02-21,50
2004-02-22 - 2004-02-28,53
2004-02-29 - 2004-03-06,57
2004-03-07 - 2004-03-13,56
2004-03-14 - 2004-03-20,58
2004-03-21 - 2004-03-27,47
2004-03-28 - 2004-04-03,53
2004-04-04 - 2004-04-10,54
2004-04-11 - 2004-04-17,50
2004-04-18 - 2004-04-24,63
2004-04-25 - 2004-05-01,59
2004-05-02 - 2004-05-08,54
2004-05-09 - 2004-05-15,55
2004-05-16 - 2004-05-22,62
2004-05-23 - 2004-05-29,58
2004-05-30 - 2004-06-05,59
2004-06-06 - 2004-06-12,61
2004-06-13 - 2004-06-19,59
2004-06-20 - 2004-06-26,58
2004-06-27 - 2004-07-03,57
2004-07-04 - 2004-07-10,59
2004-07-11 - 2004-07-17,63
2004-07-18 - 2004-07-24,53
2004-07-25 - 2004-07-31,58
2004-08-01 - 2004-08-07,63
2004-08-08 - 2004-08-14,61
2004-08-15 - 2004-08-21,56
2004-08-22 - 2004-08-28,56
2004-08-29 - 2004-09-04,61
2004-09-05 - 2004-09-11,56
2004-09-12 - 2004-09-18,44
2004-09-19 - 2004-09-25,55
2004-09-26 - 2004-10-02,58
2004-10-03 - 2004-10-09,52
2004-10-10 - 2004-10-16,53
2004-10-17 - 2004-10-23,56
2004-10-24 - 2004-10-30,59
2004-10-31 - 2004-11-06,55
2004-11-07 - 2004-11-13,54
2004-11-14 - 2004-11-20,51
2004-11-21 - 2004-11-27,50
2004-11-28 - 2004-12-04,48
2004-12-05 - 2004-12-11,44
2004-12-12 - 2004-12-18,45
2004-12-19 - 2004-12-25,48
2004-12-26 - 2005-01-01,51
2005-01-02 - 2005-01-08,43
2005-01-09 - 2005-01-15,48
2005-01-16 - 2005-01-22,52
2005-01-23 - 2005-01-29,48
2005-01-30 - 2005-02-05,54
2005-02-06 - 2005-02-12,49
2005-02-13 - 2005-02-19,52
2005-02-20 - 2005-02-26,56
2005-02-27 - 2005-03-05,51
2005-03-06 - 2005-03-12,55
2005-03-13 - 2005-03-19,53
2005-03-20 - 2005-03-26,62
2005-03-27 - 2005-04-02,57
2005-04-03 - 2005-04-09,55
2005-04-10 - 2005-04-16,56
2005-04-17 - 2005-04-23,56
2005-04-24 - 2005-04-30,60
2005-05-01 - 2005-05-07,61
2005-05-08 - 2005-05-14,58
2005-05-15 - 2005-05-21,54
2005-05-22 - 2005-05-28,58
2005-05-29 - 2005-06-04,62
2005-06-05 - 2005-06-11,59
2005-06-12 - 2005-06-18,61
2005-06-19 - 2005-06-25,64
2005-06-26 - 2005-07-02,65
2005-07-03 - 2005-07-09,66
2005-07-10 - 2005-07-16,65
2005-07-17 - 2005-07-23,60
2005-07-24 - 2005-07-30,63
2005-07-31 - 2005-08-06,63
2005-08-07 - 2005-08-13,61
2005-08-14 - 2005-08-20,68
2005-08-21 - 2005-08-27,68
2005-08-28 - 2005-09-03,67
2005-09-04 - 2005-09-10,64
2005-09-11 - 2005-09-17,55
2005-09-18 - 2005-09-24,60
2005-09-25 - 2005-10-01,62
2005-10-02 - 2005-10-08,58
2005-10-09 - 2005-10-15,61
2005-10-16 - 2005-10-22,61
2005-10-23 - 2005-10-29,54
2005-10-30 - 2005-11-05,55
2005-11-06 - 2005-11-12,58
2005-11-13 - 2005-11-19,58
2005-11-20 - 2005-11-26,53
2005-11-27 - 2005-12-03,58
2005-12-04 - 2005-12-10,53
2005-12-11 - 2005-12-17,52
2005-12-18 - 2005-12-24,56
2005-12-25 - 2005-12-31,59
2006-01-01 - 2006-01-07,55
2006-01-08 - 2006-01-14,49
2006-01-15 - 2006-01-21,51
2006-01-22 - 2006-01-28,53
2006-01-29 - 2006-02-04,55
2006-02-05 - 2006-02-11,49
2006-02-12 - 2006-02-18,51
2006-02-19 - 2006-02-25,59
2006-02-26 - 2006-03-04,58
2006-03-05 - 2006-03-11,62
2006-03-12 - 2006-03-18,64
2006-03-19 - 2006-03-25,64
2006-03-26 - 2006-04-01,67
2006-04-02 - 2006-04-08,64
2006-04-09 - 2006-04-15,63
2006-04-16 - 2006-04-22,70
2006-04-23 - 2006-04-29,70
2006-04-30 - 2006-05-06,66
2006-05-07 - 2006-05-13,71
2006-05-14 - 2006-05-20,68
2006-05-21 - 2006-05-27,76
2006-05-28 - 2006-06-03,65
2006-06-04 - 2006-06-10,74
2006-06-11 - 2006-06-17,77
2006-06-18 - 2006-06-24,73
2006-06-25 - 2006-07-01,72
2006-07-02 - 2006-07-08,80
2006-07-09 - 2006-07-15,68
2006-07-16 - 2006-07-22,72
2006-07-23 - 2006-07-29,69
2006-07-30 - 2006-08-05,71
2006-08-06 - 2006-08-12,71
2006-08-13 - 2006-08-19,73
2006-08-20 - 2006-08-26,73
2006-08-27 - 2006-09-02,65
2006-09-03 - 2006-09-09,63
2006-09-10 - 2006-09-16,69
2006-09-17 - 2006-09-23,59
2006-09-24 - 2006-09-30,69
2006-10-01 - 2006-10-07,65
2006-10-08 - 2006-10-14,69
2006-10-15 - 2006-10-21,64
2006-10-22 - 2006-10-28,64
2006-10-29 - 2006-11-04,63
2006-11-05 - 2006-11-11,60
2006-11-12 - 2006-11-18,60
2006-11-19 - 2006-11-25,61
2006-11-26 - 2006-12-02,57
2006-12-03 - 2006-12-09,56
2006-12-10 - 2006-12-16,61
2006-12-17 - 2006-12-23,56
2006-12-24 - 2006-12-30,62
2006-12-31 - 2007-01-06,57
2007-01-07 - 2007-01-13,58
2007-01-14 - 2007-01-20,58
2007-01-21 - 2007-01-27,60
2007-01-28 - 2007-02-03,62
2007-02-04 - 2007-02-10,60
2007-02-11 - 2007-02-17,60
2007-02-18 - 2007-02-24,65
2007-02-25 - 2007-03-03,65
2007-03-04 - 2007-03-10,69
2007-03-11 - 2007-03-17,70
2007-03-18 - 2007-03-24,65
2007-03-25 - 2007-03-31,69
2007-04-01 - 2007-04-07,68
2007-04-08 - 2007-04-14,71
2007-04-15 - 2007-04-21,69
2007-04-22 - 2007-04-28,72
2007-04-29 - 2007-05-05,74
2007-05-06 - 2007-05-12,70
2007-05-13 - 2007-05-19,67
2007-05-20 - 2007-05-26,70
2007-05-27 - 2007-06-02,73
2007-06-03 - 2007-06-09,72
2007-06-10 - 2007-06-16,70
2007-06-17 - 2007-06-23,68
2007-06-24 - 2007-06-30,66
2007-07-01 - 2007-07-07,72
2007-07-08 - 2007-07-14,71
2007-07-15 - 2007-07-21,75
2007-07-22 - 2007-07-28,72
2007-07-29 - 2007-08-04,75
2007-08-05 - 2007-08-11,68
2007-08-12 - 2007-08-18,64
2007-08-19 - 2007-08-25,71
2007-08-26 - 2007-09-01,71
2007-09-02 - 2007-09-08,75
2007-09-09 - 2007-09-15,67
2007-09-16 - 2007-09-22,58
2007-09-23 - 2007-09-29,70
2007-09-30 - 2007-10-06,68
2007-10-07 - 2007-10-13,67
2007-10-14 - 2007-10-20,60
2007-10-21 - 2007-10-27,60
2007-10-28 - 2007-11-03,62
2007-11-04 - 2007-11-10,67
2007-11-11 - 2007-11-17,59
2007-11-18 - 2007-11-24,62
2007-11-25 - 2007-12-01,62
2007-12-02 - 2007-12-08,59
2007-12-09 - 2007-12-15,60
2007-12-16 - 2007-12-22,60
2007-12-23 - 2007-12-29,68
2007-12-30 - 2008-01-05,65
2008-01-06 - 2008-01-12,60
2008-01-13 - 2008-01-19,64
2008-01-20 - 2008-01-26,64
2008-01-27 - 2008-02-02,64
2008-02-03 - 2008-02-09,61
2008-02-10 - 2008-02-16,64
2008-02-17 - 2008-02-23,63
2008-02-24 - 2008-03-01,89
2008-03-02 - 2008-03-08,100
2008-03-09 - 2008-03-15,91
2008-03-16 - 2008-03-22,90
2008-03-23 - 2008-03-29,85
2008-03-30 - 2008-04-05,84
2008-04-06 - 2008-04-12,79
2008-04-13 - 2008-04-19,92
2008-04-20 - 2008-04-26,88
2008-04-27 - 2008-05-03,81
2008-05-04 - 2008-05-10,76
2008-05-11 - 2008-05-17,85
2008-05-18 - 2008-05-24,83
2008-05-25 - 2008-05-31,80
2008-06-01 - 2008-06-07,81
2008-06-08 - 2008-06-14,75
2008-06-15 - 2008-06-21,77
2008-06-22 - 2008-06-28,77
2008-06-29 - 2008-07-05,80
2008-07-06 - 2008-07-12,78
2008-07-13 - 2008-07-19,75
2008-07-20 - 2008-07-26,78
2008-07-27 - 2008-08-02,79
2008-08-03 - 2008-08-09,81
2008-08-10 - 2008-08-16,76
2008-08-17 - 2008-08-23,76
2008-08-24 - 2008-08-30,77
2008-08-31 - 2008-09-06,71
2008-09-07 - 2008-09-13,68
2008-09-14 - 2008-09-20,59
2008-09-21 - 2008-09-27,72
2008-09-28 - 2008-10-04,73
2008-10-05 - 2008-10-11,71
2008-10-12 - 2008-10-18,66
2008-10-19 - 2008-10-25,71
2008-10-26 - 2008-11-01,66
2008-11-02 - 2008-11-08,80
2008-11-09 - 2008-11-15,79
2008-11-16 - 2008-11-22,73
2008-11-23 - 2008-11-29,77
2008-11-30 - 2008-12-06,78
2008-12-07 - 2008-12-13,68
2008-12-14 - 2008-12-20,69
2008-12-21 - 2008-12-27,69
2008-12-28 - 2009-01-03,70
2009-01-04 - 2009-01-10,73
2009-01-11 - 2009-01-17,73
2009-01-18 - 2009-01-24,73
2009-01-25 - 2009-01-31,75
2009-02-01 - 2009-02-07,73
2009-02-08 - 2009-02-14,67
2009-02-15 - 2009-02-21,75
2009-02-22 - 2009-02-28,77
2009-03-01 - 2009-03-07,84
2009-03-08 - 2009-03-14,92
2009-03-15 - 2009-03-21,82
2009-03-22 - 2009-03-28,78
2009-03-29 - 2009-04-04,78
2009-04-05 - 2009-04-11,82
2009-04-12 - 2009-04-18,82
2009-04-19 - 2009-04-25,81
2009-04-26 - 2009-05-02,75
2009-05-03 - 2009-05-09,76
2009-05-10 - 2009-05-16,74
2009-05-17 - 2009-05-23,78
2009-05-24 - 2009-05-30,76
2009-05-31 - 2009-06-06,75
2009-06-07 - 2009-06-13,75
2009-06-14 - 2009-06-20,72
2009-06-21 - 2009-06-27,73
2009-06-28 - 2009-07-04,75
2009-07-05 - 2009-07-11,74
2009-07-12 - 2009-07-18,71
2009-07-19 - 2009-07-25,78
2009-07-26 - 2009-08-01,79
2009-08-02 - 2009-08-08,78
2009-08-09 - 2009-08-15,77
2009-08-16 - 2009-08-22,86
2009-08-23 - 2009-08-29,75
2009-08-30 - 2009-09-05,73
2009-09-06 - 2009-09-12,69
2009-09-13 - 2009-09-19,60
2009-09-20 - 2009-09-26,65
2009-09-27 - 2009-10-03,64
2009-10-04 - 2009-10-10,63
2009-10-11 - 2009-10-17,60
2009-10-18 - 2009-10-24,63
2009-10-25 - 2009-10-31,63
2009-11-01 - 2009-11-07,63
2009-11-08 - 2009-11-14,61
2009-11-15 - 2009-11-21,61
2009-11-22 - 2009-11-28,62
2009-11-29 - 2009-12-05,60
2009-12-06 - 2009-12-12,54
2009-12-13 - 2009-12-19,53
2009-12-20 - 2009-12-26,54
2009-12-27 - 2010-01-02,57
2010-01-03 - 2010-01-09,59
2010-01-10 - 2010-01-16,56
2010-01-17 - 2010-01-23,58
2010-01-24 - 2010-01-30,59
2010-01-31 - 2010-02-06,69
2010-02-07 - 2010-02-13,66
2010-02-14 - 2010-02-20,60
2010-02-21 - 2010-02-27,61
2010-02-28 - 2010-03-06,64
2010-03-07 - 2010-03-13,69
2010-03-14 - 2010-03-20,72
2010-03-21 - 2010-03-27,73
2010-03-28 - 2010-04-03,72
2010-04-04 - 2010-04-10,73
2010-04-11 - 2010-04-17,70
2010-04-18 - 2010-04-24,74
2010-04-25 - 2010-05-01,71
2010-05-02 - 2010-05-08,69
2010-05-09 - 2010-05-15,70
2010-05-16 - 2010-05-22,73
2010-05-23 - 2010-05-29,80
2010-05-30 - 2010-06-05,77
2010-06-06 - 2010-06-12,81
2010-06-13 - 2010-06-19,78
2010-06-20 - 2010-06-26,72
2010-06-27 - 2010-07-03,72
2010-07-04 - 2010-07-10,76
2010-07-11 - 2010-07-17,71
2010-07-18 - 2010-07-24,76
2010-07-25 - 2010-07-31,80
2010-08-01 - 2010-08-07,78
2010-08-08 - 2010-08-14,73
2010-08-15 - 2010-08-21,74
2010-08-22 - 2010-08-28,71
2010-08-29 - 2010-09-04,71
2010-09-05 - 2010-09-11,73
2010-09-12 - 2010-09-18,63
2010-09-19 - 2010-09-25,69
2010-09-26 - 2010-10-02,72
2010-10-03 - 2010-10-09,66
2010-10-10 - 2010-10-16,66
2010-10-17 - 2010-10-23,65
2010-10-24 - 2010-10-30,66
2010-10-31 - 2010-11-06,68
2010-11-07 - 2010-11-13,64
2010-11-14 - 2010-11-20,64
2010-11-21 - 2010-11-27,64
2010-11-28 - 2010-12-04,65
2010-12-05 - 2010-12-11,61
2010-12-12 - 2010-12-18,63
2010-12-19 - 2010-12-25,59
2010-12-26 - 2011-01-01,61
2011-01-02 - 2011-01-08,64
2011-01-09 - 2011-01-15,60
2011-01-16 - 2011-01-22,62
2011-01-23 - 2011-01-29,63
2011-01-30 - 2011-02-05,65
2011-02-06 - 2011-02-12,60
2011-02-13 - 2011-02-19,63
2011-02-20 - 2011-02-26,63
2011-02-27 - 2011-03-05,72
2011-03-06 - 2011-03-12,72
2011-03-13 - 2011-03-19,71
2011-03-20 - 2011-03-26,74
2011-03-27 - 2011-04-02,74
2011-04-03 - 2011-04-09,72
2011-04-10 - 2011-04-16,73
2011-04-17 - 2011-04-23,72
2011-04-24 - 2011-04-30,72
2011-05-01 - 2011-05-07,74
2011-05-08 - 2011-05-14,70
2011-05-15 - 2011-05-21,73
2011-05-22 - 2011-05-28,72
2011-05-29 - 2011-06-04,71
2011-06-05 - 2011-06-11,72
2011-06-12 - 2011-06-18,74
2011-06-19 - 2011-06-25,73
2011-06-26 - 2011-07-02,70
2011-07-03 - 2011-07-09,72
2011-07-10 - 2011-07-16,72
2011-07-17 - 2011-07-23,71
2011-07-24 - 2011-07-30,76
2011-07-31 - 2011-08-06,74
2011-08-07 - 2011-08-13,75
2011-08-14 - 2011-08-20,71
2011-08-21 - 2011-08-27,69
2011-08-28 - 2011-09-03,69
2011-09-04 - 2011-09-10,63
2011-09-11 - 2011-09-17,65
2011-09-18 - 2011-09-24,67
2011-09-25 - 2011-10-01,71
2011-10-02 - 2011-10-08,76
2011-10-09 - 2011-10-15,70
2011-10-16 - 2011-10-22,68
2011-10-23 - 2011-10-29,65
2011-10-30 - 2011-11-05,65
2011-11-06 - 2011-11-12,70
2011-11-13 - 2011-11-19,65
2011-11-20 - 2011-11-26,65
2011-11-27 - 2011-12-03,66
2011-12-04 - 2011-12-10,62
2011-12-11 - 2011-12-17,66
2011-12-18 - 2011-12-24,61
2011-12-25 - 2011-12-31,67
2012-01-01 - 2012-01-07,68
2012-01-08 - 2012-01-14,65
2012-01-15 - 2012-01-21,69
2012-01-22 - 2012-01-28,68
2012-01-29 - 2012-02-04,67
2012-02-05 - 2012-02-11,64
2012-02-12 - 2012-02-18,62
2012-02-19 - 2012-02-25,65
2012-02-26 - 2012-03-03,73
2012-03-04 - 2012-03-10,77
2012-03-11 - 2012-03-17,76
2012-03-18 - 2012-03-24,75
2012-03-25 - 2012-03-31,68
2012-04-01 - 2012-04-07,63
2012-04-08 - 2012-04-14,64
2012-04-15 - 2012-04-21,64
2012-04-22 - 2012-04-28,63
2012-04-29 - 2012-05-05,68
2012-05-06 - 2012-05-12,66
2012-05-13 - 2012-05-19,80
2012-05-20 - 2012-05-26,74
2012-05-27 - 2012-06-02,74
2012-06-03 - 2012-06-09,69
2012-06-10 - 2012-06-16,70
2012-06-17 - 2012-06-23,69
2012-06-24 - 2012-06-30,68
2012-07-01 - 2012-07-07,66
2012-07-08 - 2012-07-14,65
2012-07-15 - 2012-07-21,63
2012-07-22 - 2012-07-28,66
2012-07-29 - 2012-08-04,65
2012-08-05 - 2012-08-11,65
2012-08-12 - 2012-08-18,63
2012-08-19 - 2012-08-25,66
2012-08-26 - 2012-09-01,62
2012-09-02 - 2012-09-08,64
2012-09-09 - 2012-09-15,65
2012-09-16 - 2012-09-22,49
2012-09-23 - 2012-09-29,62
2012-09-30 - 2012-10-06,65
2012-10-07 - 2012-10-13,58
2012-10-14 - 2012-10-20,58
2012-10-21 - 2012-10-27,63
2012-10-28 - 2012-11-03,52
2012-11-04 - 2012-11-10,59
2012-11-11 - 2012-11-17,56
2012-11-18 - 2012-11-24,55
2012-11-25 - 2012-12-01,53
2012-12-02 - 2012-12-08,53
2012-12-09 - 2012-12-15,56
2012-12-16 - 2012-12-22,50
2012-12-23 - 2012-12-29,53
2012-12-30 - 2013-01-05,50
2013-01-06 - 2013-01-12,50
2013-01-13 - 2013-01-19,54
2013-01-20 - 2013-01-26,56
2013-01-27 - 2013-02-02,54
2013-02-03 - 2013-02-09,60
2013-02-10 - 2013-02-16,57
2013-02-17 - 2013-02-23,50
2013-02-24 - 2013-03-02,53
2013-03-03 - 2013-03-09,57
2013-03-10 - 2013-03-16,56
2013-03-17 - 2013-03-23,54
2013-03-24 - 2013-03-30,51
2013-03-31 - 2013-04-06,55
2013-04-07 - 2013-04-13,54
2013-04-14 - 2013-04-20,55
2013-04-21 - 2013-04-27,54
2013-04-28 - 2013-05-04,53
2013-05-05 - 2013-05-11,53
2013-05-12 - 2013-05-18,49
2013-05-19 - 2013-05-25,51
2013-05-26 - 2013-06-01,54
2013-06-02 - 2013-06-08,53
2013-06-09 - 2013-06-15,51
2013-06-16 - 2013-06-22,52
2013-06-23 - 2013-06-29,54
2013-06-30 - 2013-07-06,58
2013-07-07 - 2013-07-13,54
2013-07-14 - 2013-07-20,52
2013-07-21 - 2013-07-27,54
2013-07-28 - 2013-08-03,55
2013-08-04 - 2013-08-10,54
2013-08-11 - 2013-08-17,50
2013-08-18 - 2013-08-24,52
2013-08-25 - 2013-08-31,53
2013-09-01 - 2013-09-07,52
2013-09-08 - 2013-09-14,48
2013-09-15 - 2013-09-21,38
2013-09-22 - 2013-09-28,49
2013-09-29 - 2013-10-05,53
2013-10-06 - 2013-10-12,51
2013-10-13 - 2013-10-19,50
2013-10-20 - 2013-10-26,47
2013-10-27 - 2013-11-02,47
2013-11-03 - 2013-11-09,50
2013-11-10 - 2013-11-16,47
2013-11-17 - 2013-11-23,46
2013-11-24 - 2013-11-30,47
2013-12-01 - 2013-12-07,46
2013-12-08 - 2013-12-14,45
2013-12-15 - 2013-12-21,44
2013-12-22 - 2013-12-28,46
2013-12-29 - 2014-01-04,46
2014-01-05 - 2014-01-11,49
2014-01-12 - 2014-01-18,48
2014-01-19 - 2014-01-25,49
2014-01-26 - 2014-02-01,49
2014-02-02 - 2014-02-08,51
2014-02-09 - 2014-02-15,50
2014-02-16 - 2014-02-22,49
2014-02-23 - 2014-03-01,53
2014-03-02 - 2014-03-08,56
2014-03-09 - 2014-03-15,56
2014-03-16 - 2014-03-22,54
2014-03-23 - 2014-03-29,56
2014-03-30 - 2014-04-05,55
2014-04-06 - 2014-04-12,55
2014-04-13 - 2014-04-19,50
