Web Search interest: wfm
Worldwide 2004 - present

Interest over time
Week,wfm
2004-01-04 - 2004-01-10,63
2004-01-11 - 2004-01-17,64
2004-01-18 - 2004-01-24,43
2004-01-25 - 2004-01-31,75
2004-02-01 - 2004-02-07,73
2004-02-08 - 2004-02-14,90
2004-02-15 - 2004-02-21,87
2004-02-22 - 2004-02-28,51
2004-02-29 - 2004-03-06,62
2004-03-07 - 2004-03-13,45
2004-03-14 - 2004-03-20,52
2004-03-21 - 2004-03-27,81
2004-03-28 - 2004-04-03,57
2004-04-04 - 2004-04-10,44
2004-04-11 - 2004-04-17,41
2004-04-18 - 2004-04-24,90
2004-04-25 - 2004-05-01,79
2004-05-02 - 2004-05-08,83
2004-05-09 - 2004-05-15,67
2004-05-16 - 2004-05-22,64
2004-05-23 - 2004-05-29,51
2004-05-30 - 2004-06-05,83
2004-06-06 - 2004-06-12,56
2004-06-13 - 2004-06-19,47
2004-06-20 - 2004-06-26,67
2004-06-27 - 2004-07-03,48
2004-07-04 - 2004-07-10,38
2004-07-11 - 2004-07-17,66
2004-07-18 - 2004-07-24,50
2004-07-25 - 2004-07-31,73
2004-08-01 - 2004-08-07,86
2004-08-08 - 2004-08-14,67
2004-08-15 - 2004-08-21,56
2004-08-22 - 2004-08-28,57
2004-08-29 - 2004-09-04,55
2004-09-05 - 2004-09-11,68
2004-09-12 - 2004-09-18,49
2004-09-19 - 2004-09-25,60
2004-09-26 - 2004-10-02,63
2004-10-03 - 2004-10-09,46
2004-10-10 - 2004-10-16,87
2004-10-17 - 2004-10-23,62
2004-10-24 - 2004-10-30,53
2004-10-31 - 2004-11-06,64
2004-11-07 - 2004-11-13,99
2004-11-14 - 2004-11-20,60
2004-11-21 - 2004-11-27,66
2004-11-28 - 2004-12-04,52
2004-12-05 - 2004-12-11,51
2004-12-12 - 2004-12-18,48
2004-12-19 - 2004-12-25,32
2004-12-26 - 2005-01-01,22
2005-01-02 - 2005-01-08,52
2005-01-09 - 2005-01-15,56
2005-01-16 - 2005-01-22,69
2005-01-23 - 2005-01-29,65
2005-01-30 - 2005-02-05,64
2005-02-06 - 2005-02-12,55
2005-02-13 - 2005-02-19,64
2005-02-20 - 2005-02-26,61
2005-02-27 - 2005-03-05,50
2005-03-06 - 2005-03-12,58
2005-03-13 - 2005-03-19,52
2005-03-20 - 2005-03-26,46
2005-03-27 - 2005-04-02,49
2005-04-03 - 2005-04-09,52
2005-04-10 - 2005-04-16,58
2005-04-17 - 2005-04-23,54
2005-04-24 - 2005-04-30,42
2005-05-01 - 2005-05-07,60
2005-05-08 - 2005-05-14,74
2005-05-15 - 2005-05-21,48
2005-05-22 - 2005-05-28,50
2005-05-29 - 2005-06-04,49
2005-06-05 - 2005-06-11,55
2005-06-12 - 2005-06-18,61
2005-06-19 - 2005-06-25,64
2005-06-26 - 2005-07-02,48
2005-07-03 - 2005-07-09,51
2005-07-10 - 2005-07-16,55
2005-07-17 - 2005-07-23,47
2005-07-24 - 2005-07-30,78
2005-07-31 - 2005-08-06,60
2005-08-07 - 2005-08-13,45
2005-08-14 - 2005-08-20,46
2005-08-21 - 2005-08-27,81
2005-08-28 - 2005-09-03,44
2005-09-04 - 2005-09-10,63
2005-09-11 - 2005-09-17,63
2005-09-18 - 2005-09-24,54
2005-09-25 - 2005-10-01,53
2005-10-02 - 2005-10-08,59
2005-10-09 - 2005-10-15,46
2005-10-16 - 2005-10-22,42
2005-10-23 - 2005-10-29,41
2005-10-30 - 2005-11-05,40
2005-11-06 - 2005-11-12,50
2005-11-13 - 2005-11-19,42
2005-11-20 - 2005-11-26,43
2005-11-27 - 2005-12-03,42
2005-12-04 - 2005-12-10,57
2005-12-11 - 2005-12-17,43
2005-12-18 - 2005-12-24,54
2005-12-25 - 2005-12-31,39
2006-01-01 - 2006-01-07,81
2006-01-08 - 2006-01-14,52
2006-01-15 - 2006-01-21,60
2006-01-22 - 2006-01-28,47
2006-01-29 - 2006-02-04,55
2006-02-05 - 2006-02-11,51
2006-02-12 - 2006-02-18,57
2006-02-19 - 2006-02-25,70
2006-02-26 - 2006-03-04,44
2006-03-05 - 2006-03-11,60
2006-03-12 - 2006-03-18,52
2006-03-19 - 2006-03-25,43
2006-03-26 - 2006-04-01,61
2006-04-02 - 2006-04-08,41
2006-04-09 - 2006-04-15,32
2006-04-16 - 2006-04-22,52
2006-04-23 - 2006-04-29,49
2006-04-30 - 2006-05-06,49
2006-05-07 - 2006-05-13,36
2006-05-14 - 2006-05-20,61
2006-05-21 - 2006-05-27,58
2006-05-28 - 2006-06-03,49
2006-06-04 - 2006-06-10,48
2006-06-11 - 2006-06-17,42
2006-06-18 - 2006-06-24,60
2006-06-25 - 2006-07-01,49
2006-07-02 - 2006-07-08,50
2006-07-09 - 2006-07-15,49
2006-07-16 - 2006-07-22,51
2006-07-23 - 2006-07-29,40
2006-07-30 - 2006-08-05,47
2006-08-06 - 2006-08-12,58
2006-08-13 - 2006-08-19,41
2006-08-20 - 2006-08-26,46
2006-08-27 - 2006-09-02,56
2006-09-03 - 2006-09-09,48
2006-09-10 - 2006-09-16,59
2006-09-17 - 2006-09-23,47
2006-09-24 - 2006-09-30,57
2006-10-01 - 2006-10-07,33
2006-10-08 - 2006-10-14,42
2006-10-15 - 2006-10-21,53
2006-10-22 - 2006-10-28,50
2006-10-29 - 2006-11-04,46
2006-11-05 - 2006-11-11,49
2006-11-12 - 2006-11-18,46
2006-11-19 - 2006-11-25,38
2006-11-26 - 2006-12-02,44
2006-12-03 - 2006-12-09,45
2006-12-10 - 2006-12-16,49
2006-12-17 - 2006-12-23,47
2006-12-24 - 2006-12-30,41
2006-12-31 - 2007-01-06,48
2007-01-07 - 2007-01-13,52
2007-01-14 - 2007-01-20,48
2007-01-21 - 2007-01-27,50
2007-01-28 - 2007-02-03,38
2007-02-04 - 2007-02-10,43
2007-02-11 - 2007-02-17,44
2007-02-18 - 2007-02-24,40
2007-02-25 - 2007-03-03,46
2007-03-04 - 2007-03-10,52
2007-03-11 - 2007-03-17,43
2007-03-18 - 2007-03-24,31
2007-03-25 - 2007-03-31,43
2007-04-01 - 2007-04-07,48
2007-04-08 - 2007-04-14,38
2007-04-15 - 2007-04-21,53
2007-04-22 - 2007-04-28,51
2007-04-29 - 2007-05-05,51
2007-05-06 - 2007-05-12,57
2007-05-13 - 2007-05-19,37
2007-05-20 - 2007-05-26,45
2007-05-27 - 2007-06-02,52
2007-06-03 - 2007-06-09,48
2007-06-10 - 2007-06-16,47
2007-06-17 - 2007-06-23,48
2007-06-24 - 2007-06-30,42
2007-07-01 - 2007-07-07,52
2007-07-08 - 2007-07-14,47
2007-07-15 - 2007-07-21,39
2007-07-22 - 2007-07-28,49
2007-07-29 - 2007-08-04,41
2007-08-05 - 2007-08-11,39
2007-08-12 - 2007-08-18,43
2007-08-19 - 2007-08-25,41
2007-08-26 - 2007-09-01,40
2007-09-02 - 2007-09-08,47
2007-09-09 - 2007-09-15,48
2007-09-16 - 2007-09-22,43
2007-09-23 - 2007-09-29,46
2007-09-30 - 2007-10-06,44
2007-10-07 - 2007-10-13,46
2007-10-14 - 2007-10-20,42
2007-10-21 - 2007-10-27,39
2007-10-28 - 2007-11-03,41
2007-11-04 - 2007-11-10,39
2007-11-11 - 2007-11-17,42
2007-11-18 - 2007-11-24,43
2007-11-25 - 2007-12-01,38
2007-12-02 - 2007-12-08,47
2007-12-09 - 2007-12-15,32
2007-12-16 - 2007-12-22,38
2007-12-23 - 2007-12-29,26
2007-12-30 - 2008-01-05,32
2008-01-06 - 2008-01-12,48
2008-01-13 - 2008-01-19,56
2008-01-20 - 2008-01-26,53
2008-01-27 - 2008-02-02,49
2008-02-03 - 2008-02-09,36
2008-02-10 - 2008-02-16,42
2008-02-17 - 2008-02-23,38
2008-02-24 - 2008-03-01,38
2008-03-02 - 2008-03-08,49
2008-03-09 - 2008-03-15,40
2008-03-16 - 2008-03-22,48
2008-03-23 - 2008-03-29,40
2008-03-30 - 2008-04-05,40
2008-04-06 - 2008-04-12,36
2008-04-13 - 2008-04-19,48
2008-04-20 - 2008-04-26,38
2008-04-27 - 2008-05-03,37
2008-05-04 - 2008-05-10,40
2008-05-11 - 2008-05-17,40
2008-05-18 - 2008-05-24,42
2008-05-25 - 2008-05-31,44
2008-06-01 - 2008-06-07,44
2008-06-08 - 2008-06-14,34
2008-06-15 - 2008-06-21,47
2008-06-22 - 2008-06-28,43
2008-06-29 - 2008-07-05,51
2008-07-06 - 2008-07-12,43
2008-07-13 - 2008-07-19,42
2008-07-20 - 2008-07-26,45
2008-07-27 - 2008-08-02,46
2008-08-03 - 2008-08-09,41
2008-08-10 - 2008-08-16,43
2008-08-17 - 2008-08-23,47
2008-08-24 - 2008-08-30,50
2008-08-31 - 2008-09-06,49
2008-09-07 - 2008-09-13,46
2008-09-14 - 2008-09-20,45
2008-09-21 - 2008-09-27,38
2008-09-28 - 2008-10-04,45
2008-10-05 - 2008-10-11,51
2008-10-12 - 2008-10-18,42
2008-10-19 - 2008-10-25,44
2008-10-26 - 2008-11-01,42
2008-11-02 - 2008-11-08,46
2008-11-09 - 2008-11-15,46
2008-11-16 - 2008-11-22,48
2008-11-23 - 2008-11-29,37
2008-11-30 - 2008-12-06,40
2008-12-07 - 2008-12-13,42
2008-12-14 - 2008-12-20,36
2008-12-21 - 2008-12-27,30
2008-12-28 - 2009-01-03,31
2009-01-04 - 2009-01-10,38
2009-01-11 - 2009-01-17,42
2009-01-18 - 2009-01-24,39
2009-01-25 - 2009-01-31,38
2009-02-01 - 2009-02-07,35
2009-02-08 - 2009-02-14,47
2009-02-15 - 2009-02-21,40
2009-02-22 - 2009-02-28,39
2009-03-01 - 2009-03-07,41
2009-03-08 - 2009-03-14,44
2009-03-15 - 2009-03-21,41
2009-03-22 - 2009-03-28,41
2009-03-29 - 2009-04-04,28
2009-04-05 - 2009-04-11,41
2009-04-12 - 2009-04-18,39
2009-04-19 - 2009-04-25,38
2009-04-26 - 2009-05-02,38
2009-05-03 - 2009-05-09,46
2009-05-10 - 2009-05-16,37
2009-05-17 - 2009-05-23,42
2009-05-24 - 2009-05-30,48
2009-05-31 - 2009-06-06,40
2009-06-07 - 2009-06-13,35
2009-06-14 - 2009-06-20,46
2009-06-21 - 2009-06-27,40
2009-06-28 - 2009-07-04,35
2009-07-05 - 2009-07-11,41
2009-07-12 - 2009-07-18,43
2009-07-19 - 2009-07-25,47
2009-07-26 - 2009-08-01,39
2009-08-02 - 2009-08-08,38
2009-08-09 - 2009-08-15,45
2009-08-16 - 2009-08-22,40
2009-08-23 - 2009-08-29,43
2009-08-30 - 2009-09-05,39
2009-09-06 - 2009-09-12,41
2009-09-13 - 2009-09-19,32
2009-09-20 - 2009-09-26,40
2009-09-27 - 2009-10-03,37
2009-10-04 - 2009-10-10,41
2009-10-11 - 2009-10-17,38
2009-10-18 - 2009-10-24,40
2009-10-25 - 2009-10-31,43
2009-11-01 - 2009-11-07,36
2009-11-08 - 2009-11-14,39
2009-11-15 - 2009-11-21,38
2009-11-22 - 2009-11-28,31
2009-11-29 - 2009-12-05,34
2009-12-06 - 2009-12-12,38
2009-12-13 - 2009-12-19,39
2009-12-20 - 2009-12-26,35
2009-12-27 - 2010-01-02,29
2010-01-03 - 2010-01-09,34
2010-01-10 - 2010-01-16,42
2010-01-17 - 2010-01-23,35
2010-01-24 - 2010-01-30,43
2010-01-31 - 2010-02-06,38
2010-02-07 - 2010-02-13,38
2010-02-14 - 2010-02-20,45
2010-02-21 - 2010-02-27,35
2010-02-28 - 2010-03-06,37
2010-03-07 - 2010-03-13,41
2010-03-14 - 2010-03-20,35
2010-03-21 - 2010-03-27,35
2010-03-28 - 2010-04-03,34
2010-04-04 - 2010-04-10,42
2010-04-11 - 2010-04-17,37
2010-04-18 - 2010-04-24,35
2010-04-25 - 2010-05-01,36
2010-05-02 - 2010-05-08,37
2010-05-09 - 2010-05-15,39
2010-05-16 - 2010-05-22,42
2010-05-23 - 2010-05-29,38
2010-05-30 - 2010-06-05,42
2010-06-06 - 2010-06-12,39
2010-06-13 - 2010-06-19,36
2010-06-20 - 2010-06-26,40
2010-06-27 - 2010-07-03,35
2010-07-04 - 2010-07-10,31
2010-07-11 - 2010-07-17,39
2010-07-18 - 2010-07-24,40
2010-07-25 - 2010-07-31,34
2010-08-01 - 2010-08-07,35
2010-08-08 - 2010-08-14,45
2010-08-15 - 2010-08-21,37
2010-08-22 - 2010-08-28,37
2010-08-29 - 2010-09-04,38
2010-09-05 - 2010-09-11,36
2010-09-12 - 2010-09-18,35
2010-09-19 - 2010-09-25,39
2010-09-26 - 2010-10-02,38
2010-10-03 - 2010-10-09,39
2010-10-10 - 2010-10-16,43
2010-10-17 - 2010-10-23,36
2010-10-24 - 2010-10-30,32
2010-10-31 - 2010-11-06,34
2010-11-07 - 2010-11-13,35
2010-11-14 - 2010-11-20,38
2010-11-21 - 2010-11-27,32
2010-11-28 - 2010-12-04,34
2010-12-05 - 2010-12-11,43
2010-12-12 - 2010-12-18,35
2010-12-19 - 2010-12-25,29
2010-12-26 - 2011-01-01,29
2011-01-02 - 2011-01-08,34
2011-01-09 - 2011-01-15,35
2011-01-16 - 2011-01-22,35
2011-01-23 - 2011-01-29,40
2011-01-30 - 2011-02-05,41
2011-02-06 - 2011-02-12,36
2011-02-13 - 2011-02-19,33
2011-02-20 - 2011-02-26,34
2011-02-27 - 2011-03-05,37
2011-03-06 - 2011-03-12,39
2011-03-13 - 2011-03-19,34
2011-03-20 - 2011-03-26,37
2011-03-27 - 2011-04-02,33
2011-04-03 - 2011-04-09,44
2011-04-10 - 2011-04-16,37
2011-04-17 - 2011-04-23,30
2011-04-24 - 2011-04-30,31
2011-05-01 - 2011-05-07,33
2011-05-08 - 2011-05-14,43
2011-05-15 - 2011-05-21,41
2011-05-22 - 2011-05-28,41
2011-05-29 - 2011-06-04,41
2011-06-05 - 2011-06-11,39
2011-06-12 - 2011-06-18,36
2011-06-19 - 2011-06-25,42
2011-06-26 - 2011-07-02,37
2011-07-03 - 2011-07-09,41
2011-07-10 - 2011-07-16,46
2011-07-17 - 2011-07-23,39
2011-07-24 - 2011-07-30,47
2011-07-31 - 2011-08-06,47
2011-08-07 - 2011-08-13,43
2011-08-14 - 2011-08-20,45
2011-08-21 - 2011-08-27,38
2011-08-28 - 2011-09-03,43
2011-09-04 - 2011-09-10,39
2011-09-11 - 2011-09-17,38
2011-09-18 - 2011-09-24,42
2011-09-25 - 2011-10-01,43
2011-10-02 - 2011-10-08,44
2011-10-09 - 2011-10-15,39
2011-10-16 - 2011-10-22,39
2011-10-23 - 2011-10-29,43
2011-10-30 - 2011-11-05,47
2011-11-06 - 2011-11-12,41
2011-11-13 - 2011-11-19,42
2011-11-20 - 2011-11-26,35
2011-11-27 - 2011-12-03,41
2011-12-04 - 2011-12-10,38
2011-12-11 - 2011-12-17,39
2011-12-18 - 2011-12-24,33
2011-12-25 - 2011-12-31,32
2012-01-01 - 2012-01-07,39
2012-01-08 - 2012-01-14,47
2012-01-15 - 2012-01-21,43
2012-01-22 - 2012-01-28,44
2012-01-29 - 2012-02-04,42
2012-02-05 - 2012-02-11,52
2012-02-12 - 2012-02-18,39
2012-02-19 - 2012-02-25,46
2012-02-26 - 2012-03-03,45
2012-03-04 - 2012-03-10,39
2012-03-11 - 2012-03-17,45
2012-03-18 - 2012-03-24,42
2012-03-25 - 2012-03-31,40
2012-04-01 - 2012-04-07,33
2012-04-08 - 2012-04-14,37
2012-04-15 - 2012-04-21,38
2012-04-22 - 2012-04-28,42
2012-04-29 - 2012-05-05,46
2012-05-06 - 2012-05-12,42
2012-05-13 - 2012-05-19,39
2012-05-20 - 2012-05-26,42
2012-05-27 - 2012-06-02,43
2012-06-03 - 2012-06-09,42
2012-06-10 - 2012-06-16,44
2012-06-17 - 2012-06-23,41
2012-06-24 - 2012-06-30,45
2012-07-01 - 2012-07-07,39
2012-07-08 - 2012-07-14,45
2012-07-15 - 2012-07-21,47
2012-07-22 - 2012-07-28,55
2012-07-29 - 2012-08-04,40
2012-08-05 - 2012-08-11,42
2012-08-12 - 2012-08-18,40
2012-08-19 - 2012-08-25,39
2012-08-26 - 2012-09-01,44
2012-09-02 - 2012-09-08,41
2012-09-09 - 2012-09-15,43
2012-09-16 - 2012-09-22,46
2012-09-23 - 2012-09-29,46
2012-09-30 - 2012-10-06,43
2012-10-07 - 2012-10-13,43
2012-10-14 - 2012-10-20,43
2012-10-21 - 2012-10-27,40
2012-10-28 - 2012-11-03,41
2012-11-04 - 2012-11-10,45
2012-11-11 - 2012-11-17,41
2012-11-18 - 2012-11-24,40
2012-11-25 - 2012-12-01,43
2012-12-02 - 2012-12-08,39
2012-12-09 - 2012-12-15,43
2012-12-16 - 2012-12-22,43
2012-12-23 - 2012-12-29,36
2012-12-30 - 2013-01-05,40
2013-01-06 - 2013-01-12,43
2013-01-13 - 2013-01-19,42
2013-01-20 - 2013-01-26,39
2013-01-27 - 2013-02-02,43
2013-02-03 - 2013-02-09,39
2013-02-10 - 2013-02-16,63
2013-02-17 - 2013-02-23,50
2013-02-24 - 2013-03-02,47
2013-03-03 - 2013-03-09,45
2013-03-10 - 2013-03-16,43
2013-03-17 - 2013-03-23,43
2013-03-24 - 2013-03-30,44
2013-03-31 - 2013-04-06,42
2013-04-07 - 2013-04-13,44
2013-04-14 - 2013-04-20,43
2013-04-21 - 2013-04-27,45
2013-04-28 - 2013-05-04,44
2013-05-05 - 2013-05-11,72
2013-05-12 - 2013-05-18,53
2013-05-19 - 2013-05-25,51
2013-05-26 - 2013-06-01,63
2013-06-02 - 2013-06-08,58
2013-06-09 - 2013-06-15,48
2013-06-16 - 2013-06-22,51
2013-06-23 - 2013-06-29,44
2013-06-30 - 2013-07-06,46
2013-07-07 - 2013-07-13,51
2013-07-14 - 2013-07-20,47
2013-07-21 - 2013-07-27,49
2013-07-28 - 2013-08-03,54
2013-08-04 - 2013-08-10,46
2013-08-11 - 2013-08-17,42
2013-08-18 - 2013-08-24,47
2013-08-25 - 2013-08-31,49
2013-09-01 - 2013-09-07,44
2013-09-08 - 2013-09-14,46
2013-09-15 - 2013-09-21,41
2013-09-22 - 2013-09-28,41
2013-09-29 - 2013-10-05,46
2013-10-06 - 2013-10-12,50
2013-10-13 - 2013-10-19,45
2013-10-20 - 2013-10-26,55
2013-10-27 - 2013-11-02,46
2013-11-03 - 2013-11-09,66
2013-11-10 - 2013-11-16,54
2013-11-17 - 2013-11-23,51
2013-11-24 - 2013-11-30,44
2013-12-01 - 2013-12-07,45
2013-12-08 - 2013-12-14,44
2013-12-15 - 2013-12-21,44
2013-12-22 - 2013-12-28,39
2013-12-29 - 2014-01-04,40
2014-01-05 - 2014-01-11,53
2014-01-12 - 2014-01-18,52
2014-01-19 - 2014-01-25,50
2014-01-26 - 2014-02-01,51
2014-02-02 - 2014-02-08,53
2014-02-09 - 2014-02-15,74
2014-02-16 - 2014-02-22,47
2014-02-23 - 2014-03-01,45
2014-03-02 - 2014-03-08,49
2014-03-09 - 2014-03-15,47
2014-03-16 - 2014-03-22,46
2014-03-23 - 2014-03-29,45
2014-03-30 - 2014-04-05,52
2014-04-06 - 2014-04-12,48
2014-04-13 - 2014-04-19,52
2014-04-20 - 2014-04-26,46
2014-04-27 - 2014-05-03,54
2014-05-04 - 2014-05-10,100
2014-05-11 - 2014-05-17,65
2014-05-18 - 2014-05-24,62
2014-05-25 - 2014-05-31,56
2014-06-01 - 2014-06-07,59
2014-06-08 - 2014-06-14,61
2014-06-15 - 2014-06-21,59
2014-06-22 - 2014-06-28,61
2014-06-29 - 2014-07-05,58
2014-07-06 - 2014-07-12,52
2014-07-13 - 2014-07-19,58
2014-07-20 - 2014-07-26,58
2014-07-27 - 2014-08-02,91
2014-08-03 - 2014-08-09,67
2014-08-10 - 2014-08-16,57
2014-08-17 - 2014-08-23,60
2014-08-24 - 2014-08-30,62
2014-08-31 - 2014-09-06,52
2014-09-07 - 2014-09-13,59
2014-09-14 - 2014-09-20,62
2014-09-21 - 2014-09-27,56
2014-09-28 - 2014-10-04,63
2014-10-05 - 2014-10-11,64
2014-10-12 - 2014-10-18,56
2014-10-19 - 2014-10-25,57
2014-10-26 - 2014-11-01,56
2014-11-02 - 2014-11-08,84
2014-11-09 - 2014-11-15,73
2014-11-16 - 2014-11-22,62
2014-11-23 - 2014-11-29,54
2014-11-30 - 2014-12-06,59
2014-12-07 - 2014-12-13,55
2014-12-14 - 2014-12-20,51
2014-12-21 - 2014-12-27,45
2014-12-28 - 2015-01-03,50
2015-01-04 - 2015-01-10,54
2015-01-11 - 2015-01-17,60
2015-01-18 - 2015-01-24,58
2015-01-25 - 2015-01-31,55
2015-02-01 - 2015-02-07,54
2015-02-08 - 2015-02-14,72
2015-02-15 - 2015-02-21,61
2015-02-22 - 2015-02-28,64
2015-03-01 - 2015-03-07,57
2015-03-08 - 2015-03-14,52
2015-03-15 - 2015-03-21,59
2015-03-22 - 2015-03-28,67
2015-03-29 - 2015-04-04,61
2015-04-05 - 2015-04-11,60
2015-04-12 - 2015-04-18,59
2015-04-19 - 2015-04-25,50
2015-04-26 - 2015-05-02,61
2015-05-03 - 2015-05-09,86
2015-05-10 - 2015-05-16,67
2015-05-17 - 2015-05-23,59
2015-05-24 - 2015-05-30,58
2015-05-31 - 2015-06-06,58
2015-06-07 - 2015-06-13,62
2015-06-14 - 2015-06-20,55
2015-06-21 - 2015-06-27,59
2015-06-28 - 2015-07-04,63
2015-07-05 - 2015-07-11,55
2015-07-12 - 2015-07-18,55
2015-07-19 - 2015-07-25,51
2015-07-26 - 2015-08-01,73
2015-08-02 - 2015-08-08,64
2015-08-09 - 2015-08-15,62
2015-08-16 - 2015-08-22,58
2015-08-23 - 2015-08-29,61
2015-08-30 - 2015-09-05,56
2015-09-06 - 2015-09-12,54
2015-09-13 - 2015-09-19,57
2015-09-20 - 2015-09-26,54
2015-09-27 - 2015-10-03,63
2015-10-04 - 2015-10-10,58
2015-10-11 - 2015-10-17,54
2015-10-18 - 2015-10-24,51
2015-10-25 - 2015-10-31,62
2015-11-01 - 2015-11-07,81
2015-11-08 - 2015-11-14,60
2015-11-15 - 2015-11-21,59
2015-11-22 - 2015-11-28,49
2015-11-29 - 2015-12-05,51
2015-12-06 - 2015-12-12,61
2015-12-13 - 2015-12-19,55
2015-12-20 - 2015-12-26,46
2015-12-27 - 2016-01-02,50
2016-01-03 - 2016-01-09,53
2016-01-10 - 2016-01-16,52
2016-01-17 - 2016-01-23,55
2016-01-24 - 2016-01-30,54
2016-01-31 - 2016-02-06,51
2016-02-07 - 2016-02-13,59
2016-02-14 - 2016-02-20,53
2016-02-21 - 2016-02-27,53
2016-02-28 - 2016-03-05,54
2016-03-06 - 2016-03-12,53
2016-03-13 - 2016-03-19,54
2016-03-20 - 2016-03-26,47
2016-03-27 - 2016-04-02,50
2016-04-03 - 2016-04-09,57
2016-04-10 - 2016-04-16,53
2016-04-17 - 2016-04-23,55
2016-04-24 - 2016-04-30,49


Top regions for wfm
Region,wfm
Poland,100
Mexico,57
Netherlands,50
Canada,39
Colombia,30
United States,30
India,21
Germany,21
Philippines,20
Belgium,20
Australia,18
Italy,15
United Kingdom,12
Russia,10
Japan,8
Spain,7
Brazil,5
France,4


Top cities for wfm
City,wfm
Superior (United States),100
Austin (United States),13
Poznan (Poland),9
Mexico City (Mexico),8
Warsaw (Poland),7
Wroclaw (Poland),7
Katowice (Poland),6
Krakow (Poland),5
Vancouver (Canada),3
Boston (United States),3
Amsterdam (Netherlands),3
San Francisco (United States),3
Toronto (Canada),3
New York (United States),3
Bangalore (India),3



Top searches for wfm
wfm stock,100
wfm radio,55
wfm shoppers,50
la wfm,25
wfm call,25
workforce management,25
wfm stock price,20
wfm 96.9,20
wfm login,20
wfm kuchnie,20
wfm people,20
wfm jobs,15
what is wfm,15
wfm yahoo,15
wfm software,15
wfm meble,15
wfm 125,15
