Web Search interest: wmt
Worldwide 2004 - present

Interest over time
Week,wmt
2004-01-04 - 2004-01-10,28
2004-01-11 - 2004-01-17,32
2004-01-18 - 2004-01-24,27
2004-01-25 - 2004-01-31,28
2004-02-01 - 2004-02-07,35
2004-02-08 - 2004-02-14,30
2004-02-15 - 2004-02-21,25
2004-02-22 - 2004-02-28,28
2004-02-29 - 2004-03-06,41
2004-03-07 - 2004-03-13,45
2004-03-14 - 2004-03-20,19
2004-03-21 - 2004-03-27,31
2004-03-28 - 2004-04-03,25
2004-04-04 - 2004-04-10,29
2004-04-11 - 2004-04-17,19
2004-04-18 - 2004-04-24,18
2004-04-25 - 2004-05-01,18
2004-05-02 - 2004-05-08,28
2004-05-09 - 2004-05-15,25
2004-05-16 - 2004-05-22,25
2004-05-23 - 2004-05-29,25
2004-05-30 - 2004-06-05,21
2004-06-06 - 2004-06-12,22
2004-06-13 - 2004-06-19,23
2004-06-20 - 2004-06-26,30
2004-06-27 - 2004-07-03,24
2004-07-04 - 2004-07-10,17
2004-07-11 - 2004-07-17,26
2004-07-18 - 2004-07-24,19
2004-07-25 - 2004-07-31,23
2004-08-01 - 2004-08-07,22
2004-08-08 - 2004-08-14,15
2004-08-15 - 2004-08-21,23
2004-08-22 - 2004-08-28,17
2004-08-29 - 2004-09-04,19
2004-09-05 - 2004-09-11,16
2004-09-12 - 2004-09-18,26
2004-09-19 - 2004-09-25,21
2004-09-26 - 2004-10-02,28
2004-10-03 - 2004-10-09,19
2004-10-10 - 2004-10-16,17
2004-10-17 - 2004-10-23,24
2004-10-24 - 2004-10-30,17
2004-10-31 - 2004-11-06,24
2004-11-07 - 2004-11-13,29
2004-11-14 - 2004-11-20,28
2004-11-21 - 2004-11-27,24
2004-11-28 - 2004-12-04,30
2004-12-05 - 2004-12-11,25
2004-12-12 - 2004-12-18,31
2004-12-19 - 2004-12-25,21
2004-12-26 - 2005-01-01,26
2005-01-02 - 2005-01-08,35
2005-01-09 - 2005-01-15,19
2005-01-16 - 2005-01-22,23
2005-01-23 - 2005-01-29,18
2005-01-30 - 2005-02-05,24
2005-02-06 - 2005-02-12,23
2005-02-13 - 2005-02-19,32
2005-02-20 - 2005-02-26,20
2005-02-27 - 2005-03-05,25
