Web Search interest: xlnx
Worldwide 2004 - present

Interest over time
Week,xlnx
2004-01-04 - 2004-01-10,48
2004-01-11 - 2004-01-17,29
2004-01-18 - 2004-01-24,79
2004-01-25 - 2004-01-31,29
2004-02-01 - 2004-02-07,30
2004-02-08 - 2004-02-14,42
2004-02-15 - 2004-02-21,49
2004-02-22 - 2004-02-28,55
2004-02-29 - 2004-03-06,46
2004-03-07 - 2004-03-13,67
2004-03-14 - 2004-03-20,54
2004-03-21 - 2004-03-27,51
2004-03-28 - 2004-04-03,27
2004-04-04 - 2004-04-10,29
2004-04-11 - 2004-04-17,25
2004-04-18 - 2004-04-24,25
2004-04-25 - 2004-05-01,25
2004-05-02 - 2004-05-08,51
2004-05-09 - 2004-05-15,50
2004-05-16 - 2004-05-22,50
2004-05-23 - 2004-05-29,50
2004-05-30 - 2004-06-05,39
2004-06-06 - 2004-06-12,25
2004-06-13 - 2004-06-19,25
2004-06-20 - 2004-06-26,77
2004-06-27 - 2004-07-03,26
2004-07-04 - 2004-07-10,26
2004-07-11 - 2004-07-17,26
2004-07-18 - 2004-07-24,26
2004-07-25 - 2004-07-31,26
2004-08-01 - 2004-08-07,26
2004-08-08 - 2004-08-14,39
2004-08-15 - 2004-08-21,51
2004-08-22 - 2004-08-28,24
2004-08-29 - 2004-09-04,24
2004-09-05 - 2004-09-11,24
2004-09-12 - 2004-09-18,44
2004-09-19 - 2004-09-25,33
2004-09-26 - 2004-10-02,44
2004-10-03 - 2004-10-09,22
2004-10-10 - 2004-10-16,26
2004-10-17 - 2004-10-23,43
2004-10-24 - 2004-10-30,25
2004-10-31 - 2004-11-06,32
2004-11-07 - 2004-11-13,51
2004-11-14 - 2004-11-20,36
2004-11-21 - 2004-11-27,21
2004-11-28 - 2004-12-04,20
2004-12-05 - 2004-12-11,30
2004-12-12 - 2004-12-18,41
2004-12-19 - 2004-12-25,24
2004-12-26 - 2005-01-01,57
2005-01-02 - 2005-01-08,60
2005-01-09 - 2005-01-15,25
2005-01-16 - 2005-01-22,38
2005-01-23 - 2005-01-29,18
2005-01-30 - 2005-02-05,37
2005-02-06 - 2005-02-12,25
2005-02-13 - 2005-02-19,27
2005-02-20 - 2005-02-26,19
2005-02-27 - 2005-03-05,36
2005-03-06 - 2005-03-12,29
2005-03-13 - 2005-03-19,17
2005-03-20 - 2005-03-26,28
2005-03-27 - 2005-04-02,16
2005-04-03 - 2005-04-09,51
2005-04-10 - 2005-04-16,100
2005-04-17 - 2005-04-23,40
2005-04-24 - 2005-04-30,28
2005-05-01 - 2005-05-07,43
2005-05-08 - 2005-05-14,65
2005-05-15 - 2005-05-21,27
2005-05-22 - 2005-05-28,17
2005-05-29 - 2005-06-04,33
2005-06-05 - 2005-06-11,49
2005-06-12 - 2005-06-18,38
2005-06-19 - 2005-06-25,51
2005-06-26 - 2005-07-02,17
2005-07-03 - 2005-07-09,28
2005-07-10 - 2005-07-16,39
2005-07-17 - 2005-07-23,50
2005-07-24 - 2005-07-30,44
2005-07-31 - 2005-08-06,33
2005-08-07 - 2005-08-13,55
2005-08-14 - 2005-08-20,33
2005-08-21 - 2005-08-27,31
