Web Search interest: yum
Worldwide 2004 - present

Interest over time
Week,yum
2004-01-04 - 2004-01-10,42
2004-01-11 - 2004-01-17,45
2004-01-18 - 2004-01-24,47
2004-01-25 - 2004-01-31,41
2004-02-01 - 2004-02-07,44
2004-02-08 - 2004-02-14,43
2004-02-15 - 2004-02-21,56
2004-02-22 - 2004-02-28,50
2004-02-29 - 2004-03-06,52
2004-03-07 - 2004-03-13,52
2004-03-14 - 2004-03-20,54
2004-03-21 - 2004-03-27,57
2004-03-28 - 2004-04-03,52
2004-04-04 - 2004-04-10,49
2004-04-11 - 2004-04-17,52
2004-04-18 - 2004-04-24,43
2004-04-25 - 2004-05-01,51
2004-05-02 - 2004-05-08,50
2004-05-09 - 2004-05-15,50
2004-05-16 - 2004-05-22,57
2004-05-23 - 2004-05-29,57
2004-05-30 - 2004-06-05,49
2004-06-06 - 2004-06-12,49
2004-06-13 - 2004-06-19,49
2004-06-20 - 2004-06-26,53
2004-06-27 - 2004-07-03,52
2004-07-04 - 2004-07-10,61
2004-07-11 - 2004-07-17,63
2004-07-18 - 2004-07-24,52
2004-07-25 - 2004-07-31,52
2004-08-01 - 2004-08-07,54
2004-08-08 - 2004-08-14,58
2004-08-15 - 2004-08-21,60
2004-08-22 - 2004-08-28,57
2004-08-29 - 2004-09-04,53
2004-09-05 - 2004-09-11,54
2004-09-12 - 2004-09-18,57
2004-09-19 - 2004-09-25,60
2004-09-26 - 2004-10-02,54
2004-10-03 - 2004-10-09,59
2004-10-10 - 2004-10-16,59
2004-10-17 - 2004-10-23,57
2004-10-24 - 2004-10-30,57
2004-10-31 - 2004-11-06,50
2004-11-07 - 2004-11-13,67
2004-11-14 - 2004-11-20,62
2004-11-21 - 2004-11-27,58
2004-11-28 - 2004-12-04,56
2004-12-05 - 2004-12-11,63
2004-12-12 - 2004-12-18,60
2004-12-19 - 2004-12-25,69
2004-12-26 - 2005-01-01,68
2005-01-02 - 2005-01-08,64
2005-01-09 - 2005-01-15,70
2005-01-16 - 2005-01-22,66
2005-01-23 - 2005-01-29,62
2005-01-30 - 2005-02-05,69
2005-02-06 - 2005-02-12,70
2005-02-13 - 2005-02-19,72
2005-02-20 - 2005-02-26,70
2005-02-27 - 2005-03-05,62
2005-03-06 - 2005-03-12,67
2005-03-13 - 2005-03-19,71
2005-03-20 - 2005-03-26,70
2005-03-27 - 2005-04-02,63
2005-04-03 - 2005-04-09,63
2005-04-10 - 2005-04-16,62
2005-04-17 - 2005-04-23,69
2005-04-24 - 2005-04-30,68
2005-05-01 - 2005-05-07,72
2005-05-08 - 2005-05-14,71
2005-05-15 - 2005-05-21,68
2005-05-22 - 2005-05-28,68
2005-05-29 - 2005-06-04,69
2005-06-05 - 2005-06-11,66
2005-06-12 - 2005-06-18,81
2005-06-19 - 2005-06-25,79
2005-06-26 - 2005-07-02,76
2005-07-03 - 2005-07-09,74
2005-07-10 - 2005-07-16,77
2005-07-17 - 2005-07-23,75
2005-07-24 - 2005-07-30,76
2005-07-31 - 2005-08-06,79
2005-08-07 - 2005-08-13,83
2005-08-14 - 2005-08-20,85
2005-08-21 - 2005-08-27,80
2005-08-28 - 2005-09-03,78
2005-09-04 - 2005-09-10,100
2005-09-11 - 2005-09-17,78
2005-09-18 - 2005-09-24,78
2005-09-25 - 2005-10-01,75
2005-10-02 - 2005-10-08,86
2005-10-09 - 2005-10-15,88
2005-10-16 - 2005-10-22,80
2005-10-23 - 2005-10-29,76
2005-10-30 - 2005-11-05,77
2005-11-06 - 2005-11-12,79
2005-11-13 - 2005-11-19,75
2005-11-20 - 2005-11-26,75
2005-11-27 - 2005-12-03,76
2005-12-04 - 2005-12-10,75
2005-12-11 - 2005-12-17,73
2005-12-18 - 2005-12-24,73
2005-12-25 - 2005-12-31,75
2006-01-01 - 2006-01-07,78
2006-01-08 - 2006-01-14,77
2006-01-15 - 2006-01-21,77
2006-01-22 - 2006-01-28,77
2006-01-29 - 2006-02-04,77
2006-02-05 - 2006-02-11,80
2006-02-12 - 2006-02-18,74
2006-02-19 - 2006-02-25,73
2006-02-26 - 2006-03-04,76
2006-03-05 - 2006-03-11,64
2006-03-12 - 2006-03-18,71
2006-03-19 - 2006-03-25,84
2006-03-26 - 2006-04-01,78
2006-04-02 - 2006-04-08,79
2006-04-09 - 2006-04-15,76
2006-04-16 - 2006-04-22,76
2006-04-23 - 2006-04-29,72
2006-04-30 - 2006-05-06,72
2006-05-07 - 2006-05-13,73
2006-05-14 - 2006-05-20,74
2006-05-21 - 2006-05-27,69
2006-05-28 - 2006-06-03,71
2006-06-04 - 2006-06-10,70
2006-06-11 - 2006-06-17,67
2006-06-18 - 2006-06-24,69
2006-06-25 - 2006-07-01,68
2006-07-02 - 2006-07-08,69
2006-07-09 - 2006-07-15,71
2006-07-16 - 2006-07-22,72
2006-07-23 - 2006-07-29,69
2006-07-30 - 2006-08-05,73
2006-08-06 - 2006-08-12,71
2006-08-13 - 2006-08-19,71
2006-08-20 - 2006-08-26,67
2006-08-27 - 2006-09-02,70
2006-09-03 - 2006-09-09,70
2006-09-10 - 2006-09-16,69
2006-09-17 - 2006-09-23,69
2006-09-24 - 2006-09-30,70
2006-10-01 - 2006-10-07,75
2006-10-08 - 2006-10-14,71
2006-10-15 - 2006-10-21,62
2006-10-22 - 2006-10-28,85
2006-10-29 - 2006-11-04,75
2006-11-05 - 2006-11-11,71
2006-11-12 - 2006-11-18,70
2006-11-19 - 2006-11-25,65
2006-11-26 - 2006-12-02,69
2006-12-03 - 2006-12-09,73
2006-12-10 - 2006-12-16,67
2006-12-17 - 2006-12-23,68
2006-12-24 - 2006-12-30,64
2006-12-31 - 2007-01-06,62
2007-01-07 - 2007-01-13,64
2007-01-14 - 2007-01-20,67
2007-01-21 - 2007-01-27,65
2007-01-28 - 2007-02-03,64
2007-02-04 - 2007-02-10,67
2007-02-11 - 2007-02-17,71
2007-02-18 - 2007-02-24,69
2007-02-25 - 2007-03-03,67
2007-03-04 - 2007-03-10,65
2007-03-11 - 2007-03-17,63
2007-03-18 - 2007-03-24,62
2007-03-25 - 2007-03-31,63
2007-04-01 - 2007-04-07,64
2007-04-08 - 2007-04-14,64
2007-04-15 - 2007-04-21,59
2007-04-22 - 2007-04-28,58
2007-04-29 - 2007-05-05,63
2007-05-06 - 2007-05-12,63
2007-05-13 - 2007-05-19,58
2007-05-20 - 2007-05-26,59
2007-05-27 - 2007-06-02,60
2007-06-03 - 2007-06-09,64
2007-06-10 - 2007-06-16,59
2007-06-17 - 2007-06-23,59
2007-06-24 - 2007-06-30,59
2007-07-01 - 2007-07-07,61
2007-07-08 - 2007-07-14,64
2007-07-15 - 2007-07-21,62
2007-07-22 - 2007-07-28,65
2007-07-29 - 2007-08-04,60
2007-08-05 - 2007-08-11,60
2007-08-12 - 2007-08-18,56
2007-08-19 - 2007-08-25,57
2007-08-26 - 2007-09-01,58
2007-09-02 - 2007-09-08,59
2007-09-09 - 2007-09-15,63
2007-09-16 - 2007-09-22,63
2007-09-23 - 2007-09-29,55
2007-09-30 - 2007-10-06,54
2007-10-07 - 2007-10-13,62
2007-10-14 - 2007-10-20,58
2007-10-21 - 2007-10-27,58
2007-10-28 - 2007-11-03,56
2007-11-04 - 2007-11-10,60
2007-11-11 - 2007-11-17,70
2007-11-18 - 2007-11-24,60
2007-11-25 - 2007-12-01,58
2007-12-02 - 2007-12-08,58
2007-12-09 - 2007-12-15,56
